Group	Species_name	GC_content	GC_Stretch
Aves	Colius_striatus	44.12	3.55555555555556
Aves	Nipponia_nippon	40.46	3.3
Aves	Anser_cygnoides	38.25	3.42424242424242
Aves	Aythya_fuligula	39.21	3.41176470588235
Aves	Apteryx_rowi	39.90	3.475
Aves	Falco_naumanni	39.60	3.4
Aves	Leptosomus_discolor	40.37	3.42105263157895
Aves	Antrostomus_carolinensis	41.04	3.5609756097561
Carnivora	Felis_catus	58.87	4.06756756756757
Carnivora	Canis_lupus	51.85	3.57627118644068
Carnivora	Meles_meles	57.28	3.85294117647059
Carnivora	Enhydra_lutris	55.88	3.90909090909091
Carnivora	Vulpes_lagopus	51.95	3.62068965517241
Carnivora	Acinonyx_jubatus	58.58	4.02739726027397
Carnivora	Puma_yagouaroundi	58.48	4.01369863013699
Carnivora	Mustela_putorius	56.40	3.80597014925373
Carnivora	Callorhinus_ursinus	54.88	3.79032258064516
Carnivora	Lontra_canadensis	56.35	3.95588235294118
Carnivora	Prionailurus_viverrinus	58.77	4.05479452054795
Carnivora	Zalophus_californianus	54.78	3.61538461538462
Carnivora	Odobenus_rosmarus	53.51	3.66101694915254
Carnivora	Mirounga_angustirostris	54.48	3.67213114754098
Carnivora	Panthera_leo	58.97	4.09459459459459
Carnivora	Ursus_americanus	57.59	3.79166666666667
Carnivora	Lynx_canadensis	58.38	4.05555555555556
Carnivora	Ursus_arctos	57.59	3.83333333333333
Carnivora	Mirounga_leonina	54.68	3.67213114754098
Carnivora	Prionailurus_bengalensis	59.06	4.16666666666667
Carnivora	Halichoerus_grypus	55.21	3.72727272727273
Carnivora	Panthera_tigris	58.87	4.08108108108108
Carnivora	Neomonachus_schauinslandi	54.00	3.68852459016393
Carnivora	Vulpes_vulpes	52.65	3.73529411764706
Carnivora	Leopardus_geoffroyi	59.25	4.08860759493671
Carnivora	Phoca_vitulina	55.01	3.72307692307692
Carnivora	Suricata_suricatta	60.53	4.07407407407407
Carnivora	Puma_concolor	58.19	4.01369863013699
Carnivora	Panthera_uncia	59.06	4.16438356164384
Carnivora	Panthera_pardus	58.67	4.06849315068493
Carnivora	Neofelis_nebulosa	59.45	4.24657534246575
Carnivora	Lynx_rufus	58.67	4.05479452054795
Carnivora	Eumetopias_jubatus	54.78	3.63076923076923
Carnivora	Neogale_vison	57.38	3.86111111111111
Carnivora	Leptonychotes_weddellii	54.40	3.74603174603175
Carnivora	Ailuropoda_melanoleuca	57.69	3.88235294117647
Carnivora	Ursus_thibetanus	57.50	3.81944444444444
Carnivora	Mustela_erminea	56.01	3.8030303030303
Carnivora	Ursus_maritimus	57.59	3.83333333333333
Carnivora	Lutra_lutra	56.21	3.83333333333333
Carnivora	Nyctereutes_procyonoides	51.95	3.60344827586207
Carnivora	Hyaena_hyaena	57.74	3.94736842105263
Chiroptera	Myotis_myotis	55.10	3.64179104477612
Chiroptera	Miniopterus_natalensis	53.51	3.71428571428571
Chiroptera	Pipistrellus_pipistrellus	57.09	3.82857142857143
Chiroptera	Pteropus_giganteus	56.95	3.89705882352941
Chiroptera	Pteronotus_parnellii	52.87	3.6551724137931
Chiroptera	Phyllostomus_hastatus	60.55	4.15584415584416
Chiroptera	Desmodus_rotundus	53.35	3.53448275862069
Chiroptera	Myotis_davidii	55.20	3.63235294117647
Chiroptera	Pteropus_alecto	56.44	3.96969696969697
Chiroptera	Artibeus_jamaicensis	53.28	3.63768115942029
Chiroptera	Sturnira_hondurensis	52.33	3.60344827586207
Chiroptera	Myotis_lucifugus	56.27	3.7
Chiroptera	Aeorestes_cinereus	57.09	3.78378378378378
Chiroptera	Rousettus_aegyptiacus	58.11	3.86486486486486
Chiroptera	Megaderma_lyra	58.28	3.9041095890411
Chiroptera	Phyllostomus_discolor	59.06	3.89156626506024
Chiroptera	Myotis_brandtii	55.49	3.64705882352941
Chiroptera	Pteropus_vampyrus	56.47	3.88732394366197
Chiroptera	Pipistrellus_kuhlii	56.57	3.82926829268293
Chiroptera	Rhinolophus_ferrumequinum	56.45	3.89705882352941
Chiroptera	Hipposideros_armiger	56.45	3.87323943661972
Chiroptera	Molossus_molossus	53.37	3.57575757575758
Eulipotyphla	Sorex_araneus	54.22	3.87692307692308
Eulipotyphla	Sorex_fumeus	51.41	3.60655737704918
Eulipotyphla	Galemys_pyrenaicus	51.24	3.69811320754717
Eulipotyphla	Condylura_cristata	48.47	3.6
Eulipotyphla	Uropsilus_gracilis	50.20	3.58490566037736
Eulipotyphla	Erinaceus_europaeus	62.20	4.17073170731707
Eulipotyphla	Suncus_etruscus	45.59	3.3695652173913
Eulipotyphla	Talpa_occidentalis	49.08	3.58490566037736
Eulipotyphla	Solenodon_paradoxus	50.64	3.70175438596491
Lagomorpha	Sylvilagus_bachmani	58.75	3.87142857142857
Lagomorpha	Oryctolagus_cuniculus	58.64	3.88372093023256
Lagomorpha	Ochotona_princeps	54.49	3.6271186440678
Lagomorpha	Lepus_timidus	58.55	3.84931506849315
Lagomorpha	Lepus_americanus	59.14	3.84415584415584
Lagomorpha	Ochotona_curzoniae	54.20	3.78181818181818
Metatheria_Monotremata	Vombatus_ursinus	45.61	3.53061224489796
Metatheria_Monotremata	Trichosurus_vulpecula	43.79	3.52173913043478
Metatheria_Monotremata	Phascolarctos_cinereus	45.81	3.46938775510204
Metatheria_Monotremata	Dromiciops_gliroides	48.43	3.54237288135593
Metatheria_Monotremata	Ornithorhynchus_anatinus	50.77	3.67307692307692
Metatheria_Monotremata	Tachyglossus_aculeatus	49.71	3.69090909090909
Metatheria_Monotremata	Thylacinus_cynocephalus	46.24	3.38461538461538
Metatheria_Monotremata	Gracilinanus_agilis	51.83	3.75862068965517
Metatheria_Monotremata	Monodelphis_domestica	51.27	3.61016949152542
Metatheria_Monotremata	Antechinus_flavipes	44.93	3.48936170212766
Perissodactyla	Equus_przewalskii	51.22	3.55357142857143
Perissodactyla	Equus_quagga	51.42	3.57142857142857
Perissodactyla	Equus_caballus	51.32	3.55357142857143
Perissodactyla	Dicerorhinus_sumatrensis	51.56	3.63333333333333
Perissodactyla	Tapirus_indicus	51.56	3.63333333333333
Perissodactyla	Ceratotherium_simum	51.85	3.67796610169492
Perissodactyla	Diceros_bicornis	51.85	3.66666666666667
Perissodactyla	Equus_asinus	51.42	3.58928571428571
Perissodactyla	Rhinoceros_unicornis	52.14	3.68852459016393
Pholidota	Manis_crassicaudata	51.56	3.52631578947368
Pholidota	Manis_javanica	51.36	3.52631578947368
Pholidota	Manis_pentadactyla	52.63	3.6551724137931
Pholidota	Phataginus_tricuspis	52.34	3.58333333333333
Primates	Callithrix_jacchus	51.08	3.51785714285714
Primates	Hylobates_moloch	50.05	3.5
Primates	Pan_troglodytes	49.85	3.44897959183673
Primates	Rhinopithecus_bieti	49.52	3.49019607843137
Primates	Pongo_pygmaeus	49.85	3.5
Primates	Macaca_thibetana	50.00	3.48
Primates	Saimiri_boliviensis	52.06	3.55
Primates	Cercocebus_atys	49.14	3.54716981132075
Primates	Cebus_capucinus	51.27	3.62962962962963
Primates	Rhinopithecus_roxellana	49.65	3.47272727272727
Primates	Symphalangus_syndactylus	50.15	3.49019607843137
Primates	Sapajus_apella	51.27	3.59259259259259
Primates	Trachypithecus_francoisi	49.39	3.49056603773585
Primates	Colobus_angolensis	49.22	3.52941176470588
Primates	Piliocolobus_tephrosceles	49.83	3.5
Primates	Chlorocebus_sabaeus	49.42	3.48
Primates	Macaca_nemestrina	49.91	3.59615384615385
Primates	Nycticebus_coucang	49.26	3.64285714285714
Primates	Macaca_mulatta	49.83	3.50943396226415
Primates	Gorilla_gorilla	49.66	3.44897959183673
Primates	Mandrillus_leucophaeus	49.15	3.46296296296296
Primates	Pongo_abelii	49.85	3.5
Primates	Carlito_syrichta	50.49	3.66666666666667
Primates	Theropithecus_gelada	49.32	3.42857142857143
Primates	Aotus_nancymaae	51.08	3.45454545454545
Primates	Microcebus_murinus	51.90	3.52
Primates	Propithecus_coquereli	51.31	3.54166666666667
Primates	Otolemur_garnettii	49.85	3.60416666666667
Primates	Lemur_catta	52.48	3.74
Primates	Pan_paniscus	49.66	3.44897959183673
Primates	Macaca_fascicularis	50.00	3.47058823529412
Primates	Nomascus_leucogenys	49.66	3.46
Primates	Prolemur_simus	52.19	3.74
Primates	Papio_anubis	49.71	3.48
Primates	Homo_sapiens	49.85	3.44897959183673
Rodentia	Peromyscus_maniculatus	47.62	3.36
Rodentia	Mus_caroli	46.69	3.41304347826087
Rodentia	Onychomys_torridus	47.23	3.33333333333333
Rodentia	Cavia_porcellus	58.81	3.74358974358974
Rodentia	Cricetulus_griseus	46.74	3.30434782608696
Rodentia	Meriones_unguiculatus	45.97	3.32558139534884
Rodentia	Marmota_marmota	51.96	3.59649122807018
Rodentia	Cavia_aperea	59.10	3.7375
Rodentia	Marmota_flaviventris	51.96	3.6
Rodentia	Castor_canadensis	52.03	3.52542372881356
Rodentia	Jaculus_jaculus	48.73	3.41666666666667
Rodentia	Acomys_russatus	50.95	3.46551724137931
Rodentia	Rattus_norvegicus	48.67	3.42
Rodentia	Dipodomys_spectabilis	73.68	5.48148148148148
Rodentia	Perognathus_longimembris	71.76	5.29896907216495
Rodentia	Marmota_monax	52.16	3.60344827586207
Rodentia	Nannospalax_galili	50.57	3.5531914893617
Rodentia	Mastomys_coucha	45.59	3.44186046511628
Rodentia	Spermophilus_dauricus	51.67	3.61818181818182
Rodentia	Fukomys_damarensis	60.02	4.05405405405405
Rodentia	Mesocricetus_auratus	47.58	3.35185185185185
Rodentia	Phodopus_roborovskii	47.52	3.36363636363636
Rodentia	Microtus_ochrogaster	48.44	3.41304347826087
Rodentia	Heterocephalus_glaber	57.59	3.72857142857143
Rodentia	Microtus_oregoni	48.33	3.36170212765957
Rodentia	Grammomys_surdaster	48.65	3.38181818181818
Rodentia	Mus_spicilegus	46.61	3.42857142857143
Rodentia	Mus_pahari	46.43	3.375
Rodentia	Arvicanthis_niloticus	46.97	3.35555555555556
Rodentia	Ictidomys_tridecemlineatus	51.17	3.67307692307692
Rodentia	Mus_spretus	46.15	3.40816326530612
Rodentia	Sciurus_carolinensis	53.33	3.6031746031746
Rodentia	Chinchilla_lanigera	58.17	3.94285714285714
Rodentia	Urocitellus_parryii	52.06	3.60714285714286
Rodentia	Psammomys_obesus	46.16	3.34090909090909
Rodentia	Chionomys_nivalis	48.34	3.39583333333333
Rodentia	Octodon_degus	56.98	3.74137931034483
Rodentia	Microtus_fortis	49.22	3.38
Rodentia	Peromyscus_californicus	47.14	3.3
Rodentia	Mus_musculus	46.69	3.43478260869565
Rodentia	Arvicola_amphibius	49.27	3.44230769230769
Rodentia	Peromyscus_leucopus	47.33	3.30612244897959
Rodentia	Apodemus_sylvaticus	46.15	3.3921568627451
Squamata	Eublepharis_macularius	43.12	3.425
Squamata	Ptyas_mucosa	35.42	3.38888888888889
Squamata	Python_bivittatus	37.50	3.27272727272727
Squamata	Thamnophis_sirtalis	35.18	3.38095238095238
Squamata	Thamnophis_elegans	35.28	3.38095238095238
Squamata	Crotalus_tigris	37.22	3.53846153846154
Squamata	Pantherophis_guttatus	35.77	3.47368421052632
Squamata	Hemicordylus_capensis	39.30	3.34375
Squamata	Pituophis_catenifer	35.48	3.5
Squamata	Zootoca_vivipara	43.17	3.30434782608696
Squamata	Pogona_vitticeps	37.19	3.46875
Squamata	Pantherophis_obsoletus	35.58	3.5
Squamata	Salvator_merianae	37.98	3.45714285714286
Squamata	Lacerta_agilis	43.62	3.4468085106383
Squamata	Gekko_japonicus	42.09	3.36111111111111
Squamata	Sceloporus_undulatus	38.26	3.31034482758621
Squamata	Phrynosoma_platyrhinos	38.89	3.36666666666667
Squamata	Podarcis_raffonei	42.82	3.30612244897959
Squamata	Sphaerodactylus_townsendi	44.86	3.5531914893617
Squamata	Sphenodon_punctatus	38.55	3.35294117647059
Squamata	Vipera_berus	36.83	3.28
Squamata	Bothrops_jararaca	36.93	3.37037037037037
Squamata	Aspidoscelis_marmoratus	38.57	3.27906976744186
Squamata	Anolis_carolinensis	38.73	3.34615384615385
Squamata	Euleptes_europaea	44.77	3.41666666666667
Squamata	Python_molurus	37.50	3.27272727272727
Squamata	Paroedura_picta	46.84	3.36363636363636
Squamata	Podarcis_muralis	42.72	3.34883720930233
Squamata	Protobothrops_mucrosquamatus	36.93	3.41666666666667
Squamata	Ahaetulla_prasina	35.57	3.36842105263158
Squamata	Varanus_komodoensis	38.36	3.25
Testudines	Gopherus_flavomarginatus	38.86	3.625
Testudines	Mauremys_mutica	39.73	3.62857142857143
Testudines	Malaclemys_terrapin	39.44	3.61764705882353
Testudines	Pelodiscus_sinensis	39.05	3.61290322580645
Testudines	Mauremys_reevesii	39.63	3.71875
Testudines	Caretta_caretta	39.05	3.75
Testudines	Chelonoidis_abingdonii	39.15	3.5
Testudines	Chrysemys_picta	39.34	3.63636363636364
Testudines	Chelonia_mydas	39.05	3.6875
Testudines	Trachemys_scripta	38.95	3.63636363636364
Testudines	Terrapene_carolina	39.34	3.55882352941176
Testudines	Dermochelys_coriacea	34.17	3.3125
Xenarthra	Tamandua_tetradactyla	49.12	3.61224489795918
Xenarthra	Choloepus_didactylus	50.10	3.53571428571429
Xenarthra	Myrmecophaga_tridactyla	49.42	3.57692307692308
Xenarthra	Choloepus_hoffmanni	50.00	3.52727272727273
Xenarthra	Dasypus_novemcinctus	61.23	3.92307692307692
