Species_name	Group	GNAS	GNAL	GNAI1	GNAI2	GNAI3	GoA	GoB	GNAZ	GNA11	GNA14	GNA15	GNAQ	GNA12	GNA13	Barr1_GRK2	Barr2	Barr2_GRK2
Falco_rusticolus	Aves	0.515	0.427	0.993	0.84	0.992	0.536	0.911	0.849	0.249	0.835	0.344	0.514	0.571	0.373	0.722	0.495	0.501
Falco_tinnunculus	Aves	0.52	0.439	0.993	0.841	0.993	0.529	0.91	0.85	0.25	0.837	0.341	0.511	0.572	0.375	0.737	0.495	0.501
Gavia_stellata	Aves	0.516	0.387	0.994	0.848	0.993	0.632	0.907	0.853	0.255	0.815	0.344	0.514	0.554	0.372	0.671	0.496	0.501
Gymnogyps_californianus	Aves	0.489	0.359	0.994	0.851	0.994	0.691	0.91	0.854	0.249	0.847	0.34	0.498	0.562	0.358	0.682	0.495	0.501
Haliaeetus_albicilla	Aves	0.581	0.407	0.994	0.848	0.993	0.716	0.904	0.848	0.264	0.817	0.328	0.505	0.584	0.41	0.644	0.495	0.5
Haliaeetus_leucocephalus	Aves	0.581	0.407	0.994	0.848	0.993	0.716	0.904	0.848	0.264	0.817	0.328	0.505	0.584	0.41	0.644	0.495	0.5
Harpia_harpyja	Aves	0.61	0.413	0.994	0.851	0.992	0.691	0.901	0.845	0.263	0.818	0.336	0.497	0.575	0.418	0.608	0.496	0.5
Heteronetta_atricapilla	Aves	0.459	0.354	0.99	0.835	0.992	0.605	0.922	0.848	0.239	0.826	0.342	0.535	0.604	0.448	0.666	0.495	0.5
Leptosomus_discolor	Aves	0.513	0.377	0.995	0.847	0.995	0.627	0.917	0.849	0.257	0.855	0.325	0.513	0.572	0.407	0.719	0.495	0.501
Mesitornis_unicolor	Aves	0.506	0.448	0.994	0.843	0.996	0.474	0.898	0.846	0.254	0.817	0.332	0.478	0.564	0.366	0.747	0.496	0.501
Nettapus_auritus	Aves	0.487	0.361	0.995	0.84	0.992	0.663	0.93	0.849	0.247	0.851	0.366	0.533	0.608	0.438	0.777	0.495	0.501
Nipponia_nippon	Aves	0.567	0.365	0.994	0.846	0.994	0.524	0.905	0.847	0.258	0.832	0.32	0.482	0.584	0.375	0.736	0.496	0.501
Nothoprocta_perdicaria	Aves	0.373	0.343	0.996	0.866	0.99	0.878	0.908	0.86	0.231	0.784	0.301	0.433	0.48	0.34	0.718	0.496	0.5
Opisthocomus_hoazin	Aves	0.506	0.396	0.996	0.862	0.995	0.77	0.913	0.852	0.253	0.821	0.319	0.505	0.558	0.377	0.709	0.496	0.501
Pelecanus_crispus	Aves	0.513	0.318	0.993	0.845	0.996	0.596	0.927	0.848	0.251	0.875	0.328	0.542	0.594	0.444	0.708	0.496	0.501
Phaethon_lepturus	Aves	0.506	0.328	0.995	0.853	0.993	0.684	0.909	0.85	0.25	0.816	0.356	0.496	0.532	0.384	0.645	0.496	0.5
Phalacrocorax_carbo	Aves	0.494	0.304	0.994	0.838	0.992	0.614	0.914	0.85	0.249	0.807	0.342	0.499	0.532	0.346	0.656	0.495	0.5
Pterocles_gutturalis	Aves	0.472	0.341	0.995	0.857	0.993	0.608	0.902	0.858	0.238	0.798	0.329	0.482	0.562	0.356	0.669	0.496	0.501
Pygoscelis_adeliae	Aves	0.484	0.273	0.995	0.849	0.995	0.723	0.925	0.858	0.26	0.845	0.341	0.515	0.559	0.397	0.716	0.495	0.501
Rhynochetos_jubatus	Aves	0.473	0.296	0.992	0.833	0.995	0.485	0.919	0.851	0.249	0.865	0.314	0.51	0.557	0.412	0.669	0.494	0.501
Rissa_tridactyla	Aves	0.468	0.312	0.993	0.851	0.992	0.793	0.929	0.861	0.256	0.834	0.338	0.522	0.555	0.352	0.741	0.495	0.501
Spheniscus_demersus	Aves	0.489	0.311	0.992	0.84	0.995	0.673	0.925	0.852	0.254	0.837	0.32	0.528	0.599	0.469	0.762	0.495	0.501
Stictonetta_naevosa	Aves	0.454	0.414	0.995	0.84	0.995	0.672	0.928	0.839	0.259	0.8	0.318	0.542	0.611	0.455	0.714	0.495	0.5
Struthio_camelus	Aves	0.55	0.467	0.99	0.847	0.993	0.328	0.891	0.853	0.236	0.816	0.324	0.479	0.582	0.332	0.835	0.496	0.501
Tauraco_erythrolophus	Aves	0.437	0.411	0.995	0.835	0.997	0.688	0.925	0.853	0.258	0.796	0.348	0.522	0.578	0.38	0.703	0.495	0.501
Tinamus_guttatus	Aves	0.481	0.504	0.995	0.862	0.991	0.631	0.901	0.851	0.238	0.756	0.319	0.459	0.532	0.351	0.718	0.496	0.5
Acinonyx_jubatus	Carnivora	0.17	0.213	1.0	0.898	0.998	0.986	0.94	0.881	0.201	0.894	0.264	0.444	0.554	0.429	0.772	0.497	0.501
Ailuropoda_melanoleuca	Carnivora	0.244	0.227	1.0	0.911	0.999	0.978	0.947	0.889	0.21	0.877	0.324	0.468	0.497	0.353	0.851	0.497	0.501
Callorhinus_ursinus	Carnivora	0.147	0.193	1.0	0.92	0.999	0.989	0.945	0.886	0.212	0.861	0.298	0.483	0.519	0.404	0.767	0.497	0.501
Canis_lupus	Carnivora	0.17	0.192	0.999	0.903	0.999	0.979	0.952	0.886	0.202	0.87	0.273	0.496	0.519	0.385	0.706	0.497	0.501
Enhydra_lutris	Carnivora	0.171	0.205	1.0	0.904	0.999	0.985	0.947	0.882	0.199	0.855	0.297	0.473	0.498	0.408	0.786	0.498	0.501
Eumetopias_jubatus	Carnivora	0.187	0.249	0.999	0.907	0.999	0.985	0.938	0.883	0.207	0.879	0.296	0.486	0.485	0.399	0.758	0.497	0.501
Felis_catus	Carnivora	0.171	0.222	1.0	0.899	0.998	0.985	0.939	0.881	0.2	0.893	0.266	0.441	0.549	0.42	0.751	0.498	0.501
Halichoerus_grypus	Carnivora	0.165	0.201	1.0	0.921	1.0	0.993	0.943	0.893	0.215	0.86	0.317	0.462	0.519	0.404	0.824	0.498	0.501
Hyaena_hyaena	Carnivora	0.287	0.136	1.0	0.912	1.0	1.0	0.973	0.889	0.302	0.681	0.182	0.368	0.614	0.243	0.765	0.498	0.501
Leopardus_geoffroyi	Carnivora	0.221	0.169	1.0	0.916	0.999	0.999	0.964	0.901	0.226	0.881	0.334	0.448	0.653	0.462	0.841	0.498	0.501
Leptonychotes_weddellii	Carnivora	0.169	0.22	0.999	0.912	0.999	0.992	0.945	0.884	0.205	0.872	0.281	0.492	0.498	0.433	0.755	0.497	0.501
Lontra_canadensis	Carnivora	0.202	0.177	1.0	0.927	0.999	0.997	0.959	0.902	0.207	0.813	0.357	0.455	0.569	0.358	0.828	0.499	0.501
Lutra_lutra	Carnivora	0.163	0.197	0.999	0.904	0.999	0.966	0.935	0.88	0.185	0.839	0.283	0.457	0.44	0.348	0.743	0.498	0.501
Lynx_canadensis	Carnivora	0.171	0.218	1.0	0.904	0.998	0.986	0.935	0.883	0.197	0.892	0.267	0.437	0.529	0.388	0.775	0.498	0.501
Lynx_rufus	Carnivora	0.174	0.226	1.0	0.9	0.998	0.986	0.938	0.882	0.199	0.89	0.26	0.435	0.543	0.407	0.776	0.498	0.501
Meles_meles	Carnivora	0.182	0.174	0.999	0.902	0.998	0.972	0.94	0.876	0.191	0.866	0.274	0.47	0.471	0.353	0.819	0.497	0.501
Mirounga_angustirostris	Carnivora	0.161	0.176	0.999	0.916	0.999	0.98	0.937	0.881	0.206	0.86	0.254	0.473	0.511	0.393	0.766	0.497	0.501
Mirounga_leonina	Carnivora	0.161	0.176	0.999	0.916	0.999	0.98	0.937	0.881	0.206	0.86	0.254	0.473	0.511	0.393	0.766	0.497	0.501
Mustela_erminea	Carnivora	0.186	0.275	0.999	0.901	0.998	0.959	0.932	0.881	0.192	0.825	0.291	0.451	0.464	0.349	0.788	0.498	0.501
Mustela_putorius	Carnivora	0.189	0.275	0.999	0.896	0.998	0.961	0.935	0.879	0.19	0.85	0.295	0.457	0.482	0.362	0.799	0.498	0.501
Neofelis_nebulosa	Carnivora	0.188	0.221	1.0	0.899	0.998	0.987	0.939	0.883	0.201	0.886	0.258	0.432	0.563	0.395	0.79	0.498	0.501
Neogale_vison	Carnivora	0.164	0.248	0.999	0.911	0.998	0.982	0.934	0.883	0.195	0.827	0.287	0.451	0.471	0.371	0.791	0.498	0.501
Neomonachus_schauinslandi	Carnivora	0.159	0.221	0.999	0.906	0.999	0.979	0.939	0.882	0.203	0.863	0.272	0.481	0.494	0.402	0.748	0.497	0.501
Nyctereutes_procyonoides	Carnivora	0.165	0.203	0.999	0.904	0.999	0.979	0.948	0.885	0.199	0.877	0.272	0.483	0.504	0.37	0.719	0.497	0.501
Odobenus_rosmarus	Carnivora	0.161	0.196	0.999	0.909	0.999	0.984	0.939	0.882	0.203	0.868	0.276	0.479	0.49	0.394	0.725	0.497	0.501
Panthera_leo	Carnivora	0.171	0.213	1.0	0.901	0.998	0.986	0.939	0.882	0.201	0.894	0.263	0.438	0.55	0.399	0.785	0.498	0.501
Panthera_pardus	Carnivora	0.171	0.213	1.0	0.901	0.998	0.986	0.939	0.882	0.201	0.894	0.263	0.438	0.55	0.399	0.785	0.498	0.501
Panthera_tigris	Carnivora	0.171	0.213	1.0	0.901	0.998	0.986	0.939	0.882	0.201	0.894	0.263	0.438	0.55	0.399	0.785	0.498	0.501
Panthera_uncia	Carnivora	0.171	0.213	1.0	0.901	0.998	0.986	0.939	0.882	0.201	0.894	0.263	0.438	0.55	0.399	0.785	0.498	0.501
Phoca_vitulina	Carnivora	0.167	0.206	1.0	0.922	1.0	0.993	0.944	0.892	0.215	0.864	0.318	0.469	0.524	0.408	0.815	0.498	0.501
Prionailurus_bengalensis	Carnivora	0.176	0.227	1.0	0.902	0.998	0.987	0.936	0.883	0.2	0.89	0.259	0.43	0.539	0.378	0.788	0.498	0.501
Prionailurus_viverrinus	Carnivora	0.17	0.213	1.0	0.898	0.998	0.986	0.94	0.881	0.201	0.894	0.264	0.444	0.554	0.429	0.772	0.497	0.501
Puma_concolor	Carnivora	0.168	0.212	1.0	0.897	0.998	0.986	0.941	0.881	0.202	0.892	0.264	0.449	0.554	0.428	0.758	0.497	0.501
Puma_yagouaroundi	Carnivora	0.17	0.213	1.0	0.898	0.998	0.986	0.94	0.881	0.201	0.894	0.264	0.444	0.554	0.429	0.772	0.497	0.501
Suricata_suricatta	Carnivora	0.145	0.245	1.0	0.912	0.998	0.98	0.926	0.879	0.183	0.876	0.287	0.387	0.47	0.372	0.655	0.498	0.5
Ursus_americanus	Carnivora	0.228	0.201	1.0	0.915	0.998	0.985	0.952	0.89	0.214	0.859	0.321	0.47	0.52	0.345	0.843	0.498	0.501
Ursus_arctos	Carnivora	0.228	0.201	1.0	0.915	0.998	0.985	0.952	0.89	0.214	0.859	0.321	0.47	0.52	0.345	0.843	0.498	0.501
Ursus_maritimus	Carnivora	0.228	0.201	1.0	0.915	0.998	0.985	0.952	0.89	0.214	0.859	0.321	0.47	0.52	0.345	0.843	0.498	0.501
Ursus_thibetanus	Carnivora	0.228	0.206	1.0	0.916	0.998	0.984	0.952	0.891	0.211	0.85	0.326	0.472	0.52	0.339	0.847	0.498	0.501
Vulpes_lagopus	Carnivora	0.161	0.196	0.999	0.904	0.999	0.98	0.951	0.885	0.199	0.884	0.272	0.494	0.497	0.383	0.711	0.497	0.501
Vulpes_vulpes	Carnivora	0.275	0.126	1.0	0.914	0.999	1.0	0.973	0.894	0.267	0.733	0.214	0.425	0.524	0.259	0.815	0.497	0.501
Zalophus_californianus	Carnivora	0.187	0.249	0.999	0.907	0.999	0.985	0.938	0.883	0.207	0.879	0.296	0.486	0.485	0.399	0.758	0.497	0.501
Aeorestes_cinereus	Chiroptera	0.147	0.207	0.999	0.905	0.999	0.973	0.931	0.876	0.217	0.816	0.251	0.453	0.42	0.369	0.773	0.498	0.501
Artibeus_jamaicensis	Chiroptera	0.353	0.135	1.0	0.917	0.997	1.0	0.967	0.879	0.307	0.351	0.169	0.366	0.527	0.145	0.731	0.498	0.501
Desmodus_rotundus	Chiroptera	0.26	0.171	0.999	0.9	0.998	0.977	0.941	0.877	0.229	0.849	0.261	0.504	0.541	0.334	0.769	0.496	0.501
Hipposideros_armiger	Chiroptera	0.203	0.288	1.0	0.908	0.996	0.949	0.931	0.886	0.222	0.789	0.332	0.465	0.458	0.282	0.817	0.498	0.501
Megaderma_lyra	Chiroptera	0.198	0.245	0.999	0.904	0.998	0.966	0.925	0.886	0.197	0.841	0.208	0.461	0.429	0.329	0.789	0.497	0.501
Miniopterus_natalensis	Chiroptera	0.202	0.149	0.999	0.878	0.998	0.945	0.944	0.878	0.209	0.844	0.273	0.505	0.561	0.391	0.525	0.496	0.5
Molossus_molossus	Chiroptera	0.212	0.193	0.999	0.886	0.999	0.852	0.938	0.876	0.212	0.89	0.24	0.51	0.532	0.349	0.706	0.495	0.501
Myotis_brandtii	Chiroptera	0.157	0.185	0.999	0.893	0.999	0.97	0.94	0.873	0.224	0.848	0.221	0.478	0.471	0.41	0.806	0.496	0.501
Myotis_davidii	Chiroptera	0.174	0.232	0.999	0.89	0.999	0.965	0.932	0.871	0.231	0.845	0.214	0.475	0.504	0.446	0.766	0.496	0.501
Myotis_lucifugus	Chiroptera	0.153	0.201	0.999	0.896	0.999	0.97	0.934	0.873	0.223	0.839	0.21	0.464	0.461	0.404	0.776	0.497	0.501
Myotis_myotis	Chiroptera	0.161	0.189	0.999	0.894	0.999	0.97	0.942	0.877	0.228	0.858	0.218	0.478	0.5	0.425	0.794	0.497	0.501
Phyllostomus_discolor	Chiroptera	0.347	0.159	1.0	0.929	1.0	1.0	0.969	0.89	0.307	0.634	0.169	0.35	0.709	0.192	0.836	0.5	0.501
Phyllostomus_hastatus	Chiroptera	0.154	0.267	1.0	0.901	0.999	0.988	0.923	0.896	0.224	0.857	0.242	0.412	0.59	0.313	0.863	0.499	0.501
Pipistrellus_kuhlii	Chiroptera	0.342	0.09	1.0	0.931	1.0	1.0	0.972	0.893	0.315	0.652	0.161	0.414	0.508	0.191	0.758	0.497	0.501
