# klumpy find_klumps --subject MED11_ELP5.All.read.fq --query SRR25741339.4564582.fa
Sequence	Seq_Length	Klump	Klump_Start	Klump_End	Query	Kmer_Count	Direction
SRR25741334.56493	7977	Klump1	3	7847	SRR25741339.4564582	554	F
SRR25741334.56493	7977	Klump2	4	7937	SRR25741339.4564582	1571	R
SRR25741334.471873	20430	Klump1	11	20426	SRR25741339.4564582	3427	F
SRR25741334.471873	20430	Klump2	12915	20426	SRR25741339.4564582	416	R
SRR25741334.471873	20430	Klump3	8138	10136	SRR25741339.4564582	282	R
SRR25741334.471873	20430	Klump4	217	1605	SRR25741339.4564582	130	R
SRR25741339.583790	14719	Klump1	58	3139	SRR25741339.4564582	50	F
SRR25741339.583790	14719	Klump2	6016	6032	SRR25741339.4564582	1	F
SRR25741339.583790	14719	Klump3	8999	9921	SRR25741339.4564582	18	F
SRR25741339.583790	14719	Klump4	10952	14656	SRR25741339.4564582	66	F
SRR25741339.583790	14719	Klump5	10761	14712	SRR25741339.4564582	32	R
SRR25741339.583790	14719	Klump6	9096	9118	SRR25741339.4564582	3	R
SRR25741339.583790	14719	Klump7	6079	6095	SRR25741339.4564582	1	R
SRR25741339.583790	14719	Klump8	1567	3539	SRR25741339.4564582	23	R
SRR25741339.2807961	4516	Klump1	352	4516	SRR25741339.4564582	332	F
SRR25741339.2807961	4516	Klump2	718	4501	SRR25741339.4564582	103	R
SRR25741339.4564582	27258	Klump1	1	27258	SRR25741339.4564582	27242	F
SRR25741339.4564582	27258	Klump2	26116	26133	SRR25741339.4564582	2	R
SRR25741339.4564582	27258	Klump3	15286	22439	SRR25741339.4564582	189	R
SRR25741339.4564582	27258	Klump4	8315	14205	SRR25741339.4564582	372	R
SRR25741339.4564582	27258	Klump5	1235	2163	SRR25741339.4564582	64	R
SRR25741339.4813019	16913	Klump1	442	8165	SRR25741339.4564582	186	F
SRR25741339.4813019	16913	Klump2	9837	16912	SRR25741339.4564582	257	F
SRR25741339.4813019	16913	Klump3	11462	15881	SRR25741339.4564582	73	R
SRR25741339.4813019	16913	Klump4	9303	10443	SRR25741339.4564582	31	R
SRR25741339.4813019	16913	Klump5	7713	8167	SRR25741339.4564582	10	R
SRR25741339.4813019	16913	Klump6	3188	6188	SRR25741339.4564582	93	R
SRR25741339.5276512	19004	Klump1	1179	1334	SRR25741339.4564582	7	F
SRR25741339.5276512	19004	Klump2	2655	18885	SRR25741339.4564582	2175	F
SRR25741339.5276512	19004	Klump3	11173	18803	SRR25741339.4564582	270	R
SRR25741339.5276512	19004	Klump4	4077	4886	SRR25741339.4564582	61	R
SRR25741339.5276512	19004	Klump5	1310	1326	SRR25741339.4564582	1	R
SRR25741339.5276512	19004	Klump6	304	320	SRR25741339.4564582	1	R
SRR25741339.5276513	20960	Klump1	122	7774	SRR25741339.4564582	411	F
SRR25741339.5276513	20960	Klump2	14193	15000	SRR25741339.4564582	87	F
SRR25741339.5276513	20960	Klump3	17622	18398	SRR25741339.4564582	3	F
SRR25741339.5276513	20960	Klump4	20307	20950	SRR25741339.4564582	23	F
SRR25741339.5276513	20960	Klump5	19171	20865	SRR25741339.4564582	15	R
SRR25741339.5276513	20960	Klump6	1	16485	SRR25741339.4564582	2213	R
SRR25741339.5276514	21207	Klump1	9	1895	SRR25741339.4564582	14	F
SRR25741339.5276514	21207	Klump2	3044	3267	SRR25741339.4564582	3	F
SRR25741339.5276514	21207	Klump3	4660	21080	SRR25741339.4564582	1961	F
SRR25741339.5276514	21207	Klump4	20616	20644	SRR25741339.4564582	10	R
SRR25741339.5276514	21207	Klump5	13312	19279	SRR25741339.4564582	263	R
SRR25741339.5276514	21207	Klump6	6001	6892	SRR25741339.4564582	64	R
SRR25741339.5276514	21207	Klump7	1	627	SRR25741339.4564582	25	R
SRR25741339.5276515	20672	Klump1	325	7648	SRR25741339.4564582	366	F
SRR25741339.5276515	20672	Klump2	14024	14876	SRR25741339.4564582	56	F
SRR25741339.5276515	20672	Klump3	18626	18659	SRR25741339.4564582	2	F
SRR25741339.5276515	20672	Klump4	20021	20657	SRR25741339.4564582	21	F
SRR25741339.5276515	20672	Klump5	19061	20627	SRR25741339.4564582	19	R
SRR25741339.5276515	20672	Klump6	17525	17541	SRR25741339.4564582	1	R
SRR25741339.5276515	20672	Klump7	7	16184	SRR25741339.4564582	1955	R
SRR25741339.5276516	21161	Klump1	49	2196	SRR25741339.4564582	31	F
SRR25741339.5276516	21161	Klump2	3229	3579	SRR25741339.4564582	3	F
SRR25741339.5276516	21161	Klump3	4709	21150	SRR25741339.4564582	1956	F
SRR25741339.5276516	21161	Klump4	13241	20614	SRR25741339.4564582	331	R
SRR25741339.5276516	21161	Klump5	6029	6939	SRR25741339.4564582	53	R
SRR25741339.5276516	21161	Klump6	49	438	SRR25741339.4564582	23	R
SRR25741339.5276517	21300	Klump1	317	8190	SRR25741339.4564582	393	F
SRR25741339.5276517	21300	Klump2	14612	15483	SRR25741339.4564582	61	F
SRR25741339.5276517	21300	Klump3	17917	17933	SRR25741339.4564582	1	F
SRR25741339.5276517	21300	Klump4	20014	21295	SRR25741339.4564582	13	F
SRR25741339.5276517	21300	Klump5	17844	21299	SRR25741339.4564582	23	R
SRR25741339.5276517	21300	Klump6	89	16773	SRR25741339.4564582	2044	R
SRR25741339.5276518	21339	Klump1	56	1764	SRR25741339.4564582	26	F
SRR25741339.5276518	21339	Klump2	2974	3248	SRR25741339.4564582	2	F
SRR25741339.5276518	21339	Klump3	4707	21246	SRR25741339.4564582	1794	F
SRR25741339.5276518	21339	Klump4	13476	21116	SRR25741339.4564582	311	R
SRR25741339.5276518	21339	Klump5	5492	6932	SRR25741339.4564582	59	R
SRR25741339.5276518	21339	Klump6	3653	3669	SRR25741339.4564582	1	R
SRR25741339.5276518	21339	Klump7	9	1546	SRR25741339.4564582	22	R
SRR25741339.5276519	21151	Klump1	129	7898	SRR25741339.4564582	303	F
SRR25741339.5276519	21151	Klump2	11414	11430	SRR25741339.4564582	1	F
SRR25741339.5276519	21151	Klump3	14293	15831	SRR25741339.4564582	67	F
SRR25741339.5276519	21151	Klump4	20472	21106	SRR25741339.4564582	19	F
SRR25741339.5276519	21151	Klump5	20784	21099	SRR25741339.4564582	8	R
SRR25741339.5276519	21151	Klump6	19476	19495	SRR25741339.4564582	4	R
SRR25741339.5276519	21151	Klump7	17958	17975	SRR25741339.4564582	2	R
SRR25741339.5276519	21151	Klump8	59	16406	SRR25741339.4564582	1821	R
SRR25741339.5276520	21408	Klump1	11	3215	SRR25741339.4564582	21	F
SRR25741339.5276520	21408	Klump2	4855	21278	SRR25741339.4564582	1445	F
SRR25741339.5276520	21408	Klump3	20708	21210	SRR25741339.4564582	9	R
SRR25741339.5276520	21408	Klump4	13410	19453	SRR25741339.4564582	244	R
SRR25741339.5276520	21408	Klump5	5987	6818	SRR25741339.4564582	47	R
SRR25741339.5276520	21408	Klump6	4225	4241	SRR25741339.4564582	1	R
SRR25741339.5276520	21408	Klump7	9	2315	SRR25741339.4564582	23	R
SRR25741339.5276521	22579	Klump1	546	773	SRR25741339.4564582	8	F
SRR25741339.5276521	22579	Klump2	1850	7881	SRR25741339.4564582	263	F
SRR25741339.5276521	22579	Klump3	15193	16552	SRR25741339.4564582	30	F
SRR25741339.5276521	22579	Klump4	17973	17989	SRR25741339.4564582	1	F
SRR25741339.5276521	22579	Klump5	22102	22489	SRR25741339.4564582	12	F
SRR25741339.5276521	22579	Klump6	21336	22491	SRR25741339.4564582	17	R
SRR25741339.5276521	22579	Klump7	20044	20204	SRR25741339.4564582	2	R
SRR25741339.5276521	22579	Klump8	12934	17418	SRR25741339.4564582	160	R
SRR25741339.5276521	22579	Klump9	112	10216	SRR25741339.4564582	1095	R
SRR25741339.5449091	31701	Klump1	498	840	SRR25741339.4564582	2	F
SRR25741339.5449091	31701	Klump2	1869	3347	SRR25741339.4564582	3	F
SRR25741339.5449091	31701	Klump3	4545	4563	SRR25741339.4564582	3	F
SRR25741339.5449091	31701	Klump4	5938	12511	SRR25741339.4564582	112	F
SRR25741339.5449091	31701	Klump5	14312	22838	SRR25741339.4564582	243	F
SRR25741339.5449091	31701	Klump6	24315	25665	SRR25741339.4564582	15	F
SRR25741339.5449091	31701	Klump7	27645	27672	SRR25741339.4564582	8	F
SRR25741339.5449091	31701	Klump8	30027	31619	SRR25741339.4564582	47	F
SRR25741339.5449091	31701	Klump9	31425	31441	SRR25741339.4564582	1	R
SRR25741339.5449091	31701	Klump10	27529	27674	SRR25741339.4564582	10	R
SRR25741339.5449091	31701	Klump11	19298	22166	SRR25741339.4564582	44	R
SRR25741339.5449091	31701	Klump12	16255	17352	SRR25741339.4564582	9	R
SRR25741339.5449091	31701	Klump13	7160	8063	SRR25741339.4564582	18	R
SRR25741339.5449091	31701	Klump14	815	831	SRR25741339.4564582	1	R
SRR25741339.6628111	8394	Klump1	335	8254	SRR25741339.4564582	447	F
SRR25741339.6628111	8394	Klump2	1424	8293	SRR25741339.4564582	109	R
SRR25741339.7616559	20698	Klump1	890	908	SRR25741339.4564582	3	F
SRR25741339.7616559	20698	Klump2	2522	20361	SRR25741339.4564582	936	F
SRR25741339.7616559	20698	Klump3	16189	20569	SRR25741339.4564582	75	R
SRR25741339.7616559	20698	Klump4	12048	13442	SRR25741339.4564582	95	R
SRR25741339.7616559	20698	Klump5	2952	4745	SRR25741339.4564582	66	R
SRR25741339.7616560	20265	Klump1	125	341	SRR25741339.4564582	16	F
SRR25741339.7616560	20265	Klump2	1884	4498	SRR25741339.4564582	57	F
SRR25741339.7616560	20265	Klump3	6538	9230	SRR25741339.4564582	104	F
SRR25741339.7616560	20265	Klump4	15754	17326	SRR25741339.4564582	55	F
SRR25741339.7616560	20265	Klump5	121	18523	SRR25741339.4564582	988	R
SRR25741339.7616561	20860	Klump1	1240	1256	SRR25741339.4564582	1	F
SRR25741339.7616561	20860	Klump2	2606	15524	SRR25741339.4564582	727	F
SRR25741339.7616561	20860	Klump3	16579	17514	SRR25741339.4564582	18	F
SRR25741339.7616561	20860	Klump4	18620	20790	SRR25741339.4564582	165	F
SRR25741339.7616561	20860	Klump5	16633	20646	SRR25741339.4564582	62	R
SRR25741339.7616561	20860	Klump6	12092	13476	SRR25741339.4564582	103	R
SRR25741339.7616561	20860	Klump7	3379	4762	SRR25741339.4564582	48	R
SRR25741339.7616562	20512	Klump1	102	4554	SRR25741339.4564582	99	F
SRR25741339.7616562	20512	Klump2	7385	8793	SRR25741339.4564582	128	F
SRR25741339.7616562	20512	Klump3	15936	17462	SRR25741339.4564582	64	F
SRR25741339.7616562	20512	Klump4	57	18122	SRR25741339.4564582	1100	R
SRR25741339.7616563	21167	Klump1	1652	1669	SRR25741339.4564582	2	F
SRR25741339.7616563	21167	Klump2	2761	21090	SRR25741339.4564582	872	F
SRR25741339.7616563	21167	Klump3	20836	21117	SRR25741339.4564582	4	R
SRR25741339.7616563	21167	Klump4	15799	19672	SRR25741339.4564582	83	R
SRR25741339.7616563	21167	Klump5	12313	14662	SRR25741339.4564582	77	R
SRR25741339.7616563	21167	Klump6	1721	5035	SRR25741339.4564582	70	R
SRR25741339.7616564	20466	Klump1	126	5641	SRR25741339.4564582	90	F
SRR25741339.7616564	20466	Klump2	7410	8818	SRR25741339.4564582	155	F
SRR25741339.7616564	20466	Klump3	15956	17248	SRR25741339.4564582	54	F
SRR25741339.7616564	20466	Klump4	224	18141	SRR25741339.4564582	980	R
SRR25741339.7616565	20814	Klump1	1674	17649	SRR25741339.4564582	759	F
SRR25741339.7616565	20814	Klump2	18745	20706	SRR25741339.4564582	185	F
SRR25741339.7616565	20814	Klump3	17632	20610	SRR25741339.4564582	56	R
SRR25741339.7616565	20814	Klump4	16254	16603	SRR25741339.4564582	7	R
SRR25741339.7616565	20814	Klump5	11541	13500	SRR25741339.4564582	86	R
SRR25741339.7616565	20814	Klump6	3424	4838	SRR25741339.4564582	37	R
SRR25741339.7616566	20702	Klump1	124	2155	SRR25741339.4564582	52	F
SRR25741339.7616566	20702	Klump2	7559	8795	SRR25741339.4564582	110	F
SRR25741339.7616566	20702	Klump3	15959	17737	SRR25741339.4564582	65	F
SRR25741339.7616566	20702	Klump4	20641	20657	SRR25741339.4564582	1	F
SRR25741339.7616566	20702	Klump5	6349	18058	SRR25741339.4564582	543	R
SRR25741339.7616566	20702	Klump6	120	3051	SRR25741339.4564582	158	R
SRR25741339.7616567	20933	Klump1	691	708	SRR25741339.4564582	2	F
SRR25741339.7616567	20933	Klump2	2445	20579	SRR25741339.4564582	788	F
SRR25741339.7616567	20933	Klump3	16510	20558	SRR25741339.4564582	67	R
SRR25741339.7616567	20933	Klump4	12014	13470	SRR25741339.4564582	98	R
SRR25741339.7616567	20933	Klump5	3345	4739	SRR25741339.4564582	50	R
SRR25741339.7616567	20933	Klump6	692	1417	SRR25741339.4564582	6	R
SRR25741339.7616568	6621	Klump1	129	4222	SRR25741339.4564582	71	F
SRR25741339.7616568	6621	Klump2	6597	6613	SRR25741339.4564582	1	F
SRR25741339.7616568	6621	Klump3	335	6441	SRR25741339.4564582	153	R
SRR25741339.8468176	24174	Klump1	142	1490	SRR25741339.4564582	14	F
SRR25741339.8468176	24174	Klump2	4527	16478	SRR25741339.4564582	316	F
SRR25741339.8468176	24174	Klump3	18158	19498	SRR25741339.4564582	108	F
SRR25741339.8468176	24174	Klump4	85	24097	SRR25741339.4564582	1479	R
SRR25741339.8468177	15059	Klump1	16	14901	SRR25741339.4564582	1021	F
SRR25741339.8468177	15059	Klump2	9029	14868	SRR25741339.4564582	173	R
SRR25741339.8468177	15059	Klump3	7051	7067	SRR25741339.4564582	1	R
SRR25741339.8468177	15059	Klump4	4047	6016	SRR25741339.4564582	140	R
SRR25741339.10397968	14634	Klump1	756	14476	SRR25741339.4564582	1807	F
SRR25741339.10397968	14634	Klump2	3863	14538	SRR25741339.4564582	449	R
SRR25741339.10993638	19636	Klump1	502	9215	SRR25741339.4564582	198	F
SRR25741339.10993638	19636	Klump2	10205	11614	SRR25741339.4564582	15	F
SRR25741339.10993638	19636	Klump3	12866	19410	SRR25741339.4564582	136	F
SRR25741339.10993638	19636	Klump4	14554	19419	SRR25741339.4564582	69	R
SRR25741339.10993638	19636	Klump5	12870	12886	SRR25741339.4564582	1	R
SRR25741339.10993638	19636	Klump6	10342	10743	SRR25741339.4564582	10	R
SRR25741339.10993638	19636	Klump7	5482	9050	SRR25741339.4564582	80	R
SRR25741347.1940069	14299	Klump1	90	3024	SRR25741339.4564582	72	F
SRR25741347.1940069	14299	Klump2	4157	7376	SRR25741339.4564582	81	F
SRR25741347.1940069	14299	Klump3	8693	8711	SRR25741339.4564582	3	F
SRR25741347.1940069	14299	Klump4	10425	11880	SRR25741339.4564582	132	F
SRR25741347.1940069	14299	Klump5	67	14244	SRR25741339.4564582	594	R
SRR25741347.1940070	15836	Klump1	53	4006	SRR25741339.4564582	248	F
SRR25741347.1940070	15836	Klump2	5113	15810	SRR25741339.4564582	681	F
SRR25741347.1940070	15836	Klump3	5873	15812	SRR25741339.4564582	293	R
SRR25741347.1940070	15836	Klump4	2291	4075	SRR25741339.4564582	100	R
SRR25741347.2514844	20541	Klump1	1290	1803	SRR25741339.4564582	6	F
SRR25741347.2514844	20541	Klump2	3087	7975	SRR25741339.4564582	743	F
SRR25741347.2514844	20541	Klump3	9544	20510	SRR25741339.4564582	2211	F
SRR25741347.2514844	20541	Klump4	12969	20219	SRR25741339.4564582	458	R
SRR25741347.2514844	20541	Klump5	4403	5144	SRR25741339.4564582	73	R
SRR25741347.2514844	20541	Klump6	2610	2680	SRR25741339.4564582	4	R
SRR25741347.2900868	29238	Klump1	16	6459	SRR25741339.4564582	244	F
SRR25741347.2900868	29238	Klump2	7738	7992	SRR25741339.4564582	2	F
SRR25741347.2900868	29238	Klump3	13663	14500	SRR25741339.4564582	14	F
SRR25741347.2900868	29238	Klump4	16070	17005	SRR25741339.4564582	21	F
SRR25741347.2900868	29238	Klump5	18738	20202	SRR25741339.4564582	11	F
SRR25741347.2900868	29238	Klump6	21328	21809	SRR25741339.4564582	4	F
SRR25741347.2900868	29238	Klump7	23408	23425	SRR25741339.4564582	2	F
SRR25741347.2900868	29238	Klump8	24427	24450	SRR25741339.4564582	2	F
SRR25741347.2900868	29238	Klump9	24523	24717	SRR25741339.4564582	6	R
SRR25741347.2900868	29238	Klump10	18932	21811	SRR25741339.4564582	36	R
SRR25741347.2900868	29238	Klump11	16067	17001	SRR25741339.4564582	11	R
SRR25741347.2900868	29238	Klump12	13429	13910	SRR25741339.4564582	3	R
SRR25741347.2900868	29238	Klump13	7979	8728	SRR25741339.4564582	8	R
SRR25741347.2900868	29238	Klump14	396	6458	SRR25741339.4564582	84	R
SRR25741347.4522765	22700	Klump1	11	3326	SRR25741339.4564582	122	F
SRR25741347.4522765	22700	Klump2	6432	10139	SRR25741339.4564582	114	F
SRR25741347.4522765	22700	Klump3	11299	18199	SRR25741339.4564582	263	F
SRR25741347.4522765	22700	Klump4	20315	22403	SRR25741339.4564582	181	F
SRR25741347.4522765	22700	Klump5	3787	22477	SRR25741339.4564582	1286	R
SRR25741347.4522765	22700	Klump6	23	1043	SRR25741339.4564582	14	R
SRR25741347.4556794	34523	Klump1	1040	30061	SRR25741339.4564582	2038	F
SRR25741347.4556794	34523	Klump2	31330	32927	SRR25741339.4564582	23	F
SRR25741347.4556794	34523	Klump3	31594	32801	SRR25741339.4564582	13	R
SRR25741347.4556794	34523	Klump4	28840	29952	SRR25741339.4564582	19	R
SRR25741347.4556794	34523	Klump5	27657	27673	SRR25741339.4564582	1	R
SRR25741347.4556794	34523	Klump6	25030	25304	SRR25741339.4564582	18	R
SRR25741347.4556794	34523	Klump7	14416	23998	SRR25741339.4564582	370	R
SRR25741347.4556794	34523	Klump8	10509	11967	SRR25741339.4564582	96	R
SRR25741347.4556794	34523	Klump9	1546	3252	SRR25741339.4564582	44	R
SRR25741347.5393826	13479	Klump1	55	13479	SRR25741339.4564582	1778	F
SRR25741347.5393826	13479	Klump2	4683	13151	SRR25741339.4564582	397	R
SRR25741347.5951257	8467	Klump1	26	3469	SRR25741339.4564582	228	F
SRR25741347.5951257	8467	Klump2	4513	8463	SRR25741339.4564582	214	F
SRR25741347.5951257	8467	Klump3	6351	7750	SRR25741339.4564582	98	R
SRR25741347.5951257	8467	Klump4	2869	3398	SRR25741339.4564582	3	R
SRR25741347.5951257	8467	Klump5	83	1502	SRR25741339.4564582	126	R
SRR25741347.6217119	21751	Klump1	397	13703	SRR25741339.4564582	933	F
SRR25741347.6217119	21751	Klump2	15743	17008	SRR25741339.4564582	22	F
SRR25741347.6217119	21751	Klump3	18408	19637	SRR25741339.4564582	17	F
SRR25741347.6217119	21751	Klump4	21495	21519	SRR25741339.4564582	2	F
SRR25741347.6217119	21751	Klump5	21472	21493	SRR25741339.4564582	6	R
SRR25741347.6217119	21751	Klump6	18059	20088	SRR25741339.4564582	13	R
SRR25741347.6217119	21751	Klump7	16152	16998	SRR25741339.4564582	9	R
SRR25741347.6217119	21751	Klump8	13098	14699	SRR25741339.4564582	28	R
SRR25741347.6217119	21751	Klump9	11934	11950	SRR25741339.4564582	1	R
SRR25741347.6217119	21751	Klump10	402	9615	SRR25741339.4564582	250	R
SRR25741347.7318563	11321	Klump1	33	11278	SRR25741339.4564582	496	F
SRR25741347.7318563	11321	Klump2	3143	11069	SRR25741339.4564582	218	R
SRR25741347.7318563	11321	Klump3	33	1121	SRR25741339.4564582	11	R
SRR25741347.7345009	20753	Klump1	442	708	SRR25741339.4564582	12	F
SRR25741347.7345009	20753	Klump2	1771	7741	SRR25741339.4564582	456	F
SRR25741347.7345009	20753	Klump3	12336	12353	SRR25741339.4564582	2	F
SRR25741347.7345009	20753	Klump4	13863	14767	SRR25741339.4564582	93	F
SRR25741347.7345009	20753	Klump5	20211	20729	SRR25741339.4564582	18	F
SRR25741347.7345009	20753	Klump6	18993	20584	SRR25741339.4564582	21	R
SRR25741347.7345009	20753	Klump7	17737	17753	SRR25741339.4564582	1	R
SRR25741347.7345009	20753	Klump8	209	16085	SRR25741339.4564582	2420	R
SRR25741347.7345010	26126	Klump1	9	2285	SRR25741339.4564582	52	F
SRR25741347.7345010	26126	Klump2	3802	3818	SRR25741339.4564582	1	F
SRR25741347.7345010	26126	Klump3	4860	20232	SRR25741339.4564582	2569	F
SRR25741347.7345010	26126	Klump4	25284	25300	SRR25741339.4564582	1	R
SRR25741347.7345010	26126	Klump5	13140	20147	SRR25741339.4564582	438	R
SRR25741347.7345010	26126	Klump6	5353	7009	SRR25741339.4564582	71	R
SRR25741347.7345010	26126	Klump7	3570	3587	SRR25741339.4564582	2	R
SRR25741347.7345010	26126	Klump8	2164	2183	SRR25741339.4564582	4	R
SRR25741347.7345010	26126	Klump9	33	781	SRR25741339.4564582	44	R
SRR25741347.7418783	21815	Klump1	1153	21786	SRR25741339.4564582	983	F
SRR25741347.7418783	21815	Klump2	14959	21815	SRR25741339.4564582	136	R
SRR25741347.7418783	21815	Klump3	10471	11888	SRR25741339.4564582	86	R
SRR25741347.7418783	21815	Klump4	1867	3172	SRR25741339.4564582	55	R
SRR25741347.7418784	8716	Klump1	6	1730	SRR25741339.4564582	57	F
SRR25741347.7418784	8716	Klump2	2803	6949	SRR25741339.4564582	121	F
SRR25741347.7418784	8716	Klump3	112	8604	SRR25741339.4564582	374	R
SRR25741347.7820705	23932	Klump1	2751	10943	SRR25741339.4564582	223	F
SRR25741347.7820705	23932	Klump2	12230	17810	SRR25741339.4564582	283	F
SRR25741347.7820705	23932	Klump3	21825	21841	SRR25741339.4564582	1	F
SRR25741347.7820705	23932	Klump4	1	23885	SRR25741339.4564582	2239	R
SRR25741347.8364897	18454	Klump1	140	157	SRR25741339.4564582	2	F
SRR25741347.8364897	18454	Klump2	1241	18444	SRR25741339.4564582	1670	F
SRR25741347.8364897	18454	Klump3	18160	18436	SRR25741339.4564582	15	R
SRR25741347.8364897	18454	Klump4	16481	16668	SRR25741339.4564582	6	R
SRR25741347.8364897	18454	Klump5	11389	15419	SRR25741339.4564582	108	R
SRR25741347.8364897	18454	Klump6	3561	10305	SRR25741339.4564582	300	R
SRR25741347.8364898	18277	Klump1	198	14629	SRR25741339.4564582	302	F
SRR25741347.8364898	18277	Klump2	16803	18232	SRR25741339.4564582	109	R
SRR25741347.8364898	18277	Klump3	14	15207	SRR25741339.4564582	1161	R
SRR25741347.8364899	18923	Klump1	91	16840	SRR25741339.4564582	1044	F
SRR25741347.8364899	18923	Klump2	4856	17037	SRR25741339.4564582	273	R
SRR25741347.8364899	18923	Klump3	3849	3865	SRR25741339.4564582	1	R
SRR25741347.9100702	27532	Klump1	792	1417	SRR25741339.4564582	4	F
SRR25741347.9100702	27532	Klump2	4017	4916	SRR25741339.4564582	16	F
