""	"Group"	"Codon.freq"	"Foreground.Species"	"Background.Species"	"ω.value.M0"	"lnL.M0"	"np.M0"	"ω.value.branch.neutral.foreground"	"ω.value.branch.neutral.background"	"lnL.bneutral"	"np.bneutral"	"ω.value.branchfree.foreground"	"ω.value.branchfree.background"	"lnL.bfree"	"np.bfree"	"pvalm0_bfree"	"pavalbne_bfree"	"adjusted_pvalm0_bfree"	"adjusted_pavalbne_bfree"
"11"	"Toxicofera"	"F1x4"	"Crotalus_tigris"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.3303	-5041.113404	35	0.4778	0.33018	-5040.677185	36	0.630092014619863	0.350281250293099	0.835177395249172	0.43362127180091
"12"	"Toxicofera"	"F3x4"	"Crotalus_tigris"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33456	-5051.331231	35	0.47861	0.33448	-5050.89636	36	0.640545076522882	0.351026743838832	0.835177395249172	0.43362127180091
"13"	"Toxicofera"	"F1x4"	"Hydrophis_cyanocinctus"	"Python_molurus,Pseudonaja_textilis,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.31811	-5037.823377	35	0.8072	0.31801	-5037.67385	36	0.0124994822059444	0.584476086417718	0.230332262114803	0.587893505522604
"14"	"Toxicofera"	"F3x4"	"Hydrophis_cyanocinctus"	"Python_molurus,Pseudonaja_textilis,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.32212	-5048.110343	35	0.80894	0.32206	-5047.96352	36	0.0136433951673147	0.587893505522604	0.230332262114803	0.587893505522604
"15"	"Toxicofera"	"F1x4"	"Naja_naja"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.32383	-5039.740116	35	0.6896	0.32397	-5039.452631	36	0.101549134643649	0.448290702070764	0.335425036542658	0.508870526674921
"16"	"Toxicofera"	"F3x4"	"Naja_naja"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.32773	-5049.841705	35	0.71156	0.32788	-5049.600663	36	0.0937120176090989	0.487479863635995	0.335425036542658	0.538793533492416
"17"	"Toxicofera"	"F1x4"	"Pantherophis_guttatus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.33037	-5040.364146	35	999	0.33041	-5040.05648	36	0.224818511427405	0.432787252074945	0.472118873997551	0.504918460754103
"18"	"Toxicofera"	"F3x4"	"Pantherophis_guttatus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33566	-5051.005375	35	1	0.33464	-5050.578009	35	999	0.33467	-5050.265039	36	0.223669411266069	0.428848471251673	0.472118873997551	0.504918460754103
"19"	"Toxicofera"	"F1x4"	"Pantherophis_obsoletus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.33235	-5041.469193	35	1e-04	0.33225	-5040.138768	36	0.252617474341837	0.102845761500444	0.484833824581434	0.151806147259151
"20"	"Toxicofera"	"F3x4"	"Pantherophis_obsoletus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33664	-5051.67001	35	1e-04	0.33656	-5050.354683	36	0.253960574780751	0.104818530250366	0.484833824581434	0.151806147259151
"21"	"Toxicofera"	"F1x4"	"Phrynosoma_platyrhinos"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.33466	-5046.302324	35	0.13905	0.33963	-5039.384753	36	0.0932822056775502	0.000199568500080613	0.335425036542658	0.00117032745681316
"22"	"Toxicofera"	"F3x4"	"Phrynosoma_platyrhinos"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33809	-5055.981562	35	0.14672	0.3435	-5049.803872	36	0.121102345890119	0.000439717479666281	0.335425036542658	0.00153901117883198
"23"	"Toxicofera"	"F1x4"	"Pituophis_catenifer"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.33533	-5043.491606	35	1e-04	0.33494	-5038.153854	36	0.021589125345849	0.00108563604588946	0.230332262114803	0.00302727393209499
"24"	"Toxicofera"	"F3x4"	"Pituophis_catenifer"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33965	-5053.658613	35	1e-04	0.33932	-5048.379964	36	0.0219364059156955	0.00115730243831626	0.230332262114803	0.00302727393209499
"25"	"Toxicofera"	"F1x4"	"Pogona_vitticeps"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus"	0.33137	-5040.793153	35	1	0.32012	-5046.732991	35	0.37978	0.32628	-5040.639856	36	0.579777802691376	0.000481425512913032	0.835177395249172	0.00155537473402672
"26"	"Toxicofera"	"F3x4"	"Pogona_vitticeps"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus"	0.33566	-5051.005375	35	1	0.32374	-5056.487984	35	0.3904	0.33	-5050.82064	36	0.543293305347321	0.000760726139674595	0.835177395249172	0.00228217841902379
"27"	"Toxicofera"	"F1x4"	"Protobothrops_mucrosquamatus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.3325	-5041.818289	35	0.0403	0.33295	-5040.396838	36	0.373306054186027	0.0917783223494087	0.627154171032525	0.151806147259151
"28"	"Toxicofera"	"F3x4"	"Protobothrops_mucrosquamatus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33566	-5051.005375	35	1	0.33677	-5052.008807	35	0.07934	0.33709	-5050.674238	36	0.415758281874413	0.102311423241007	0.671609532258667	0.151806147259151
"29"	"Toxicofera"	"F1x4"	"Pseudonaja_textilis"	"Python_molurus,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33136	-5040.793153	35	1	0.32501	-5038.789567	35	1.86306	0.32459	-5038.581868	36	0.0354665800471822	0.519242331146887	0.264378937475133	0.559184048927417
"30"	"Toxicofera"	"F3x4"	"Pseudonaja_textilis"	"Python_molurus,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33566	-5051.005375	35	1	0.32928	-5049.054091	35	1.70784	0.32897	-5048.881174	36	0.0392872818720818	0.556480928703518	0.264378937475133	0.584304975138694
"31"	"Toxicofera"	"F1x4"	"Ptyas_mucosa"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.33309	-5043.060233	35	0.23991	0.33283	-5040.667481	36	0.616130311678844	0.0287002475960463	0.835177395249172	0.0574004951920926
"32"	"Toxicofera"	"F3x4"	"Ptyas_mucosa"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33735	-5053.229139	35	0.24322	0.33716	-5050.880406	36	0.617118736936929	0.0302071224626366	0.835177395249172	0.0576681428832153
"33"	"Toxicofera"	"F1x4"	"Python_molurus"	"Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.3302	-5046.707336	35	0.19131	0.33974	-5039.893683	36	0.179840696552993	0.000222919515583459	0.419628291956984	0.00117032745681316
"34"	"Toxicofera"	"F3x4"	"Python_molurus"	"Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33454	-5056.987334	35	0.18367	0.34498	-5049.950451	36	0.14635385396439	0.000175778468126358	0.361580109794375	0.00117032745681316
"35"	"Toxicofera"	"F1x4"	"Sceloporus_undulatus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.33559	-5046.582936	35	0.161	0.33896	-5039.575206	36	0.118586269876697	0.000181313718448198	0.335425036542658	0.00117032745681316
"36"	"Toxicofera"	"F3x4"	"Sceloporus_undulatus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33947	-5056.548264	35	0.16425	0.34327	-5049.845746	36	0.127780966301965	0.000250949641377288	0.335425036542658	0.00117109832642734
"37"	"Toxicofera"	"F1x4"	"Thamnophis_elegans"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.33651	-5046.881114	35	0.22181	0.33607	-5040.297876	36	0.319607009745714	0.000285002207912897	0.559312267054999	0.00118662144792114
"38"	"Toxicofera"	"F3x4"	"Thamnophis_elegans"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33566	-5051.005375	35	1	0.34079	-5057.000685	35	0.22352	0.34055	-5050.498551	36	0.314030474534162	0.000310781807788871	0.559312267054999	0.00118662144792114
"39"	"Toxicofera"	"F1x4"	"Varanus_komodoensis"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.32168	-5051.527752	35	0.31373	0.334	-5040.762197	36	0.803499075301274	3.4813495483757e-06	0.843674029066338	7.31083405158897e-05
"40"	"Toxicofera"	"F3x4"	"Varanus_komodoensis"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.32679	-5061.850691	35	0.30994	0.33952	-5050.940962	36	0.719652401129048	2.99546883177348e-06	0.835177395249172	7.31083405158897e-05
"41"	"Toxicofera"	"F1x4"	"Vipera_berus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.33018	-5042.056047	35	0.401	0.33011	-5040.731131	36	0.724689171209403	0.103560840308817	0.835177395249172	0.151806147259151
"42"	"Toxicofera"	"F3x4"	"Vipera_berus"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33428	-5052.189436	35	0.41117	0.33427	-5050.934952	36	0.707441418186072	0.113200040542075	0.835177395249172	0.158480056758905
