Group	Species_name	GC
Carnivora	Phoca_vitulina	61.51
Carnivora	Lontra_canadensis	60.08
Carnivora	Mirounga_leonina	63.70
Carnivora	Halichoerus_grypus	61.64
Carnivora	Hyaena_hyaena	64.01
Carnivora	Puma_yagouaroundi	61.77
Carnivora	Vulpes_lagopus	68.17
Carnivora	Panthera_leo	60.98
Carnivora	Prionailurus_bengalensis	60.85
Carnivora	Neogale_vison	59.27
Carnivora	Leopardus_geoffroyi	60.21
Carnivora	Ursus_americanus	58.86
Carnivora	Mirounga_angustirostris	61.64
Carnivora	Meles_meles	59.78
Carnivora	Lynx_rufus	61.11
Carnivora	Lutra_lutra	59.81
Carnivora	Prionailurus_viverrinus	60.58
Carnivora	Panthera_uncia	61.11
Carnivora	Nyctereutes_procyonoides	57.29
Carnivora	Neofelis_nebulosa	60.08
Carnivora	Mustela_lutreola	59.14
Carnivora	Mustela_nigripes	59.01
Carnivora	Panthera_onca	60.45
Chiroptera	Myotis_brandtii	54.23
Chiroptera	Myotis_lucifugus	51.87
Chiroptera	Myotis_davidii	58.35
Chiroptera	Pteropus_alecto	50.20
Chiroptera	Eptesicus_fuscus	53.87
Chiroptera	Pteropus_vampyrus	49.86
Chiroptera	Rousettus_aegyptiacus	49.67
Chiroptera	Miniopterus_natalensis	53.70
Chiroptera	Hipposideros_armiger	53.89
Chiroptera	Desmodus_rotundus	55.60
Chiroptera	Phyllostomus_discolor	55.07
Chiroptera	Rhinolophus_ferrumequinum	53.23
Chiroptera	Molossus_molossus	50.07
Chiroptera	Myotis_myotis	52.64
Chiroptera	Pipistrellus_kuhlii	54.60
Chiroptera	Sturnira_hondurensis	53.72
Chiroptera	Artibeus_jamaicensis	53.94
Chiroptera	Pteropus_giganteus	50.00
Chiroptera	Phyllostomus_hastatus	54.67
Chiroptera	Pteronotus_parnellii	55.56
Chiroptera	Myotis_daubentonii	52.25
Eulipotyphla	Sorex_araneus	51.63
Eulipotyphla	Condylura_cristata	52.24
Eulipotyphla	Erinaceus_europaeus	51.20
Eulipotyphla	Talpa_occidentalis	52.19
Eulipotyphla	Sorex_fumeus	51.33
Lagomorpha	Oryctolagus_cuniculus	63.91
Lagomorpha	Ochotona_princeps	59.94
Metatheria_Monotremata	Monodelphis_domestica	47.69
Metatheria_Monotremata	Ornithorhynchus_anatinus	69.96
Metatheria_Monotremata	Sarcophilus_harrisii	49.66
Metatheria_Monotremata	Phascolarctos_cinereus	48.81
Metatheria_Monotremata	Vombatus_ursinus	48.26
Metatheria_Monotremata	Trichosurus_vulpecula	50.67
Metatheria_Monotremata	Tachyglossus_aculeatus	71.08
Metatheria_Monotremata	Dromiciops_gliroides	51.45
Metatheria_Monotremata	Gracilinanus_agilis	48.24
Metatheria_Monotremata	Antechinus_flavipes	47.74
Perissodactyla	Equus_caballus	55.91
Perissodactyla	Ceratotherium_simum	57.28
Perissodactyla	Equus_przewalskii	55.91
Perissodactyla	Equus_asinus	55.65
Perissodactyla	Equus_quagga	55.65
Perissodactyla	Diceros_bicornis	57.14
Pholidota	Manis_javanica	55.86
Pholidota	Manis_pentadactyla	56.13
Primates	Homo_sapiens	56.34
Primates	Pan_troglodytes	57.27
Primates	Macaca_mulatta	58.79
Primates	Callithrix_jacchus	55.65
Primates	Pongo_abelii	55.73
Primates	Nomascus_leucogenys	55.33
Primates	Pan_paniscus	56.62
Primates	Papio_anubis	58.57
Primates	Saimiri_boliviensis	57.35
Primates	Gorilla_gorilla	56.34
Primates	Macaca_fascicularis	58.91
Primates	Chlorocebus_sabaeus	58.70
Primates	Carlito_syrichta	55.46
Primates	Rhinopithecus_roxellana	57.85
Primates	Macaca_nemestrina	58.57
Primates	Colobus_angolensis	57.73
Primates	Mandrillus_leucophaeus	58.70
Primates	Cercocebus_atys	58.09
Primates	Aotus_nancymaae	56.88
Primates	Propithecus_coquereli	54.50
Primates	Microcebus_murinus	52.82
Primates	Cebus_imitator	56.30
Primates	Rhinopithecus_bieti	58.09
Primates	Piliocolobus_tephrosceles	58.09
Primates	Theropithecus_gelada	58.57
Primates	Hylobates_moloch	54.84
Primates	Sapajus_apella	56.30
Primates	Trachypithecus_francoisi	58.09
Primates	Lemur_catta	52.58
Primates	Macaca_thibetana	58.67
Primates	Pongo_pygmaeus	56.31
Primates	Symphalangus_syndactylus	55.03
Rodentia	Mus_musculus	53.85
Rodentia	Rattus_norvegicus	52.82
Rodentia	Cricetulus_griseus	53.41
Rodentia	Octodon_degus	52.54
Rodentia	Jaculus_jaculus	54.86
Rodentia	Heterocephalus_glaber	61.94
Rodentia	Cavia_porcellus	57.34
Rodentia	Mesocricetus_auratus	52.99
Rodentia	Ictidomys_tridecemlineatus	49.26
Rodentia	Microtus_ochrogaster	54.41
Rodentia	Chinchilla_lanigera	53.14
Rodentia	Peromyscus_maniculatus	55.86
Rodentia	Nannospalax_galili	51.67
Rodentia	Fukomys_damarensis	54.32
Rodentia	Dipodomys_ordii	52.56
Rodentia	Marmota_marmota	49.07
Rodentia	Castor_canadensis	51.01
Rodentia	Mus_caroli	52.90
Rodentia	Mus_pahari	53.31
Rodentia	Meriones_unguiculatus	64.13
Rodentia	Urocitellus_parryii	49.07
Rodentia	Marmota_flaviventris	48.93
Rodentia	Grammomys_surdaster	53.99
Rodentia	Peromyscus_leucopus	56.54
Rodentia	Mastomys_coucha	54.31
Rodentia	Rattus_rattus	52.82
Rodentia	Arvicanthis_niloticus	53.69
Rodentia	Onychomys_torridus	55.21
Rodentia	Arvicola_amphibius	55.96
Rodentia	Microtus_oregoni	55.60
Rodentia	Dipodomys_spectabilis	53.08
Rodentia	Marmota_monax	48.80
Rodentia	Sciurus_carolinensis	52.08
Rodentia	Perognathus_longimembris	58.69
Rodentia	Myodes_glareolus	54.47
Rodentia	Microtus_fortis	54.48
Rodentia	Acomys_russatus	56.36
Rodentia	Phodopus_roborovskii	52.31
Rodentia	Apodemus_sylvaticus	53.09
Rodentia	Peromyscus_californicus	55.00
Rodentia	Psammomys_obesus	61.96
Rodentia	Chionomys_nivalis	54.65
Rodentia	Peromyscus_eremicus	54.74
Squamata	Anolis_carolinensis	65.16
Squamata	Thamnophis_sirtalis	68.86
Squamata	Thamnophis_elegans	69.13
Squamata	Pantherophis_guttatus	67.21
Squamata	Crotalus_tigris	70.66
Squamata	Sphaerodactylus_townsendi	66.94
Squamata	Eublepharis_macularius	67.54
Squamata	Anolis_sagrei	62.37
Testudines	Mauremys_reevesii	71.20
Testudines	Gopherus_flavomarginatus	71.50
Testudines	Caretta_caretta	73.96
Testudines	Gopherus_evgoodei	72.08
Xenarthra	Dasypus_novemcinctus	55.10
Xenarthra	Choloepus_didactylus	56.84
