species	Residues	Charge	Tiny	Small	Aliphatic	Aromatic	Non_polar	Polar	Charged	Basic	Acidic
Elephantulus_edwardii	85	-5.5	22	40	20	9	36	49	29	12	17
Elephas_maximus_indicus	31	-3.5	6	12	1	8	10	21	11	4	7
Enhydra_lutris_kenyoni	35	-2.0	5	14	5	8	16	19	13	6	7
Eptesicus_fuscus	31	-2.5	6	15	6	7	15	16	8	3	5
Equus_asinus	31	-2.5	5	13	4	7	13	18	10	4	6
Equus_caballus	31	-2.5	5	13	4	7	13	18	10	4	6
Equus_przewalskii	31	-1.5	5	13	4	7	13	18	11	5	6
Equus_quagga	31	-2.5	5	13	4	7	13	18	10	4	6
Erinaceus_europaeus	35	-7.5	7	14	3	10	14	21	16	5	11
Eublepharis_macularius	30	-6.0	5	12	5	7	14	16	12	3	9
Euleptes_europaea	30	-6.0	8	15	4	7	13	17	10	2	8
Eumetopias_jubatus	34	-1.5	10	16	3	7	15	19	11	5	6
Eurypyga_helias	32	-2.5	9	18	5	8	15	17	6	2	4
Falco_biarmicus	32	-2.5	8	20	6	6	14	18	6	2	4
Falco_cherrug	32	-2.5	8	20	6	6	14	18	6	2	4
Falco_naumanni	32	-3.5	8	20	6	6	14	18	7	2	5
Falco_peregrinus	32	-2.5	8	20	6	6	14	18	6	2	4
Falco_rusticolus	32	-2.5	8	20	6	6	14	18	6	2	4
Felis_catus	31	-2.5	9	15	4	8	16	15	10	4	6
Fukomys_damarensis	39	-3.5	8	17	7	8	20	19	13	5	8
Fulmarus_glacialis	32	-1.5	9	16	7	7	14	18	7	3	4
Galeopterus_variegatus	31	-3.0	5	11	2	8	11	20	12	5	7
Gavia_stellata	32	-1.5	9	18	6	7	15	17	7	3	4
Gekko_japonicus	40	-6.0	7	17	7	10	21	19	12	3	9
Geotrypetes_seraphini	42	-5.5	12	21	2	9	13	29	12	4	8
Globicephala_melas	31	-4.0	8	13	5	8	14	17	9	3	6
Gopherus_evgoodei	30	-3.5	7	13	5	6	14	16	9	3	6
Gopherus_flavomarginatus	30	-3.5	8	13	6	6	14	16	9	3	6
Gorilla_gorilla_gorilla	32	-5.5	6	13	3	9	11	21	12	4	8
Gracilinanus_agilis	31	-3.5	4	13	5	6	13	18	13	5	8
Grammomys_surdaster	48	-8.0	9	25	7	8	19	29	17	5	12
Grus_americana	32	-3.5	11	20	5	7	14	18	7	2	5
Gymnogyps_californianus	32	-2.5	10	19	6	7	15	17	6	2	4
Haliaeetus_albicilla	32	-2.5	10	19	5	7	14	18	6	2	4
Haliaeetus_leucocephalus	32	-2.5	10	19	5	7	14	18	6	2	4
Halichoerus_grypus	38	-2.0	10	17	3	9	16	22	13	6	7
Harpia_harpyja	32	-2.5	10	19	6	7	15	17	6	2	4
Hemicordylus_capensis	38	-4.0	9	24	8	8	18	20	9	3	6
Heterocephalus_glaber	30	-4.5	4	12	3	8	13	17	12	4	8
Heteronotia_binoei	30	-3.0	7	14	5	8	15	15	9	3	6
Hippopotamus_amphibius_kiboko	33	-4.0	8	14	5	10	15	18	9	3	6
Hipposideros_armiger	38	-4.0	8	18	5	6	15	23	12	4	8
Homo_sapiens	32	-5.5	7	13	3	9	11	21	12	4	8
Hyaena_hyaena	81	-4.0	23	41	20	9	37	44	26	12	14
Hyla_sarda	30	-7.5	4	12	4	5	14	16	9	1	8
Hylobates_moloch	32	-6.0	6	13	3	9	12	20	11	3	8
Ictidomys_tridecemlineatus	33	-3.5	7	14	4	7	14	19	11	4	7
Jaculus_jaculus	31	-6.0	6	14	6	6	11	20	11	3	8
Kogia_breviceps	31	-3.0	9	14	4	9	15	16	8	3	5
Lacerta_agilis	33	-4.0	13	21	6	7	13	20	9	3	6
Lagenorhynchus_albirostris	31	-4.0	8	13	5	8	14	17	9	3	6
Lagenorhynchus_obliquidens	31	-4.0	8	13	5	8	14	17	9	3	6
Lemur_catta	32	-3.0	7	13	3	8	12	20	12	5	7
Leopardus_geoffroyi	53	-1.0	18	30	12	10	29	24	12	6	6
Leptonychotes_weddellii	34	-1.5	9	16	3	7	16	18	11	5	6
Leptosomus_discolor	32	-1.5	9	19	5	7	13	19	7	3	4
Lipotes_vexillifer	31	-3.0	9	15	4	8	15	16	8	3	5
Lontra_canadensis	51	-3.0	16	28	8	9	22	29	14	6	8
Loxodonta_africana	31	-3.5	6	12	1	8	10	21	11	4	7
Lutra_lutra	30	-3.0	5	13	3	8	11	19	12	5	7
Lynx_canadensis	31	-3.5	8	16	4	7	15	16	11	4	7
Lynx_rufus	31	-3.5	8	16	4	7	15	16	11	4	7
Macaca_fascicularis	33	-6.0	5	13	4	8	12	21	13	4	9
Macaca_mulatta	73	-4.5	20	36	16	11	31	42	21	9	12
Macaca_nemestrina	73	-4.5	20	36	16	11	31	42	21	9	12
Macaca_thibetana_thibetana	33	-6.0	5	13	4	8	12	21	13	4	9
Malaclemys_terrapin_pileata	30	-4.5	5	13	6	5	15	15	8	2	6
Mandrillus_leucophaeus	83	-8.5	23	47	17	15	40	43	19	6	13
Manis_javanica	31	-1.5	8	14	5	7	14	17	7	3	4
Manis_pentadactyla	31	-2.5	8	14	5	7	15	16	8	3	5
Marmota_flaviventris	31	-2.5	7	13	4	6	13	18	10	4	6
Marmota_marmota_marmota	31	-2.5	7	13	4	6	13	18	10	4	6
Marmota_monax	31	-2.5	7	13	4	6	13	18	10	4	6
Mastomys_coucha	48	-7.0	7	25	7	9	20	28	18	6	12
Mauremys_mutica	30	-3.5	5	13	6	5	15	15	9	3	6
Mauremys_reevesii	30	-3.5	5	13	6	5	15	15	9	3	6
Meles_meles	30	-0.5	5	13	3	8	13	17	10	5	5
Meriones_unguiculatus	32	-3.5	4	15	6	5	11	21	13	5	8
Mesocricetus_auratus	40	-8.0	7	18	5	7	15	25	17	5	12
Mesoplodon_densirostris	31	-3.0	10	15	4	8	14	17	8	3	5
Microcebus_murinus	32	-5.0	5	9	3	8	10	22	12	4	8
Microtus_fortis	29	-5.5	4	13	4	5	12	17	13	4	9
Microtus_ochrogaster	31	-6.0	4	13	5	6	12	19	15	5	10
Microtus_oregoni	29	-5.5	4	13	6	4	12	17	13	4	9
Miniopterus_natalensis	31	-2.5	6	13	5	7	13	18	6	2	4
Mirounga_angustirostris	31	-1.5	7	12	3	7	13	18	11	5	6
Mirounga_leonina	31	-1.5	7	12	3	7	13	18	11	5	6
Molossus_molossus	31	-1.0	3	12	5	7	12	19	10	5	5
Monodelphis_domestica	31	-2.5	5	12	5	6	14	17	12	5	7
Monodon_monoceros	31	-3.0	9	15	4	8	15	16	8	3	5
Moschus_berezovskii	31	-3.0	9	14	3	7	11	20	12	5	7
Mus_caroli	41	-4.0	8	18	5	9	16	25	15	6	9
Mus_musculus	41	-4.0	8	18	5	9	16	25	15	6	9
Mus_pahari	48	-5.0	10	23	8	9	21	27	16	6	10
Mustela_erminea	30	-5.5	7	16	3	7	14	16	9	2	7
Mustela_lutreola	30	-5.5	7	16	3	7	14	16	9	2	7
Mustela_nigripes	30	-5.5	7	16	3	7	14	16	9	2	7
Mustela_putorius_furo	30	-5.5	7	16	3	7	14	16	9	2	7
Myotis_brandtii	30	-2.5	4	13	5	6	12	18	10	4	6
Myotis_daubentonii	30	-2.5	4	13	5	6	12	18	10	4	6
Myotis_davidii	30	-2.5	4	13	5	6	12	18	10	4	6
Myotis_lucifugus	30	-2.5	4	14	6	6	12	18	10	4	6
Myotis_myotis	30	-2.5	4	13	5	6	12	18	10	4	6
Nannospalax_galili	37	-5.5	7	14	4	7	14	23	13	4	9
Neofelis_nebulosa	31	-1.5	8	15	4	7	15	16	11	5	6
Neogale_vison	30	-4.5	6	15	3	7	13	17	10	3	7
Neomonachus_schauinslandi	31	-2.5	6	14	2	7	12	19	12	5	7
Neophocaena_asiaeorientalis_asiaeorientalis	31	-3.0	9	15	4	8	15	16	8	3	5
Nipponia_nippon	32	-1.5	10	19	6	7	17	15	5	2	3
Nomascus_leucogenys	32	-6.0	6	13	3	9	12	20	11	3	8
Nothoprocta_perdicaria	31	-5.0	10	19	4	7	13	18	7	1	6
Nyctereutes_procyonoides	31	-3.5	8	14	3	9	11	20	12	5	7
Nycticebus_coucang	97	0.5	32	52	19	14	37	60	28	15	13
Ochotona_curzoniae	32	-6.5	6	12	3	6	12	20	12	3	9
Ochotona_princeps	32	-6.5	6	11	3	6	12	20	12	3	9
Odobenus_rosmarus_divergens	31	-1.5	7	13	2	7	13	18	11	5	6
Odocoileus_virginianus_texanus	31	-3.0	7	15	2	8	13	18	9	3	6
Onychomys_torridus	31	-3.0	5	14	4	6	10	21	12	5	7
Opisthocomus_hoazin	32	-3.5	9	19	5	7	14	18	7	2	5
Orcinus_orca	31	-4.0	8	13	5	8	14	17	9	3	6
Ornithorhynchus_anatinus	30	-5.5	10	19	3	5	10	20	9	2	7
Orycteropus_afer_afer	31	-1.0	7	12	2	9	13	18	10	5	5
Oryctolagus_cuniculus	92	7.0	34	49	21	11	49	43	22	15	7
Oryx_dammah	31	-3.5	8	14	3	8	13	18	7	2	5
Otolemur_garnettii	32	-3.5	7	13	3	7	12	20	11	4	7
Ovis_aries	31	-3.5	8	14	3	8	13	18	7	2	5
Oxyura_jamaicensis	32	-5.0	9	18	7	7	17	15	5	0	5
Pan_paniscus	32	-5.5	6	13	3	9	11	21	12	4	8
Panthera_leo	31	-1.5	8	15	4	7	15	16	11	5	6
Panthera_onca	31	-1.5	8	15	4	7	15	16	11	5	6
Panthera_pardus	31	-1.5	8	15	4	7	15	16	11	5	6
Panthera_tigris	31	-1.5	8	15	4	7	15	16	11	5	6
Panthera_uncia	31	-1.5	8	15	4	7	15	16	11	5	6
Pan_troglodytes	32	-5.5	6	13	3	9	11	21	12	4	8
Papio_anubis	33	-7.0	6	15	4	8	12	21	12	3	9
Pelecanus_crispus	32	-2.5	8	18	6	7	15	17	6	2	4
Pelodiscus_sinensis	30	-6.0	7	15	6	4	14	16	10	2	8
Perognathus_longimembris_pacificus	36	-5.5	9	15	5	5	17	19	13	4	9
Peromyscus_californicus_insignis	38	-4.5	9	19	6	7	15	23	12	4	8
Peromyscus_eremicus	38	-4.5	9	19	6	7	15	23	12	4	8
Peromyscus_leucopus	38	-4.5	9	18	6	7	15	23	12	4	8
Peromyscus_maniculatus_bairdii	38	-4.5	9	19	6	7	15	23	12	4	8
Phacochoerus_africanus	31	-3.5	10	17	4	6	12	19	9	3	6
Phaethon_lepturus	32	-3.0	11	19	5	6	14	18	5	1	4
Phalacrocorax_carbo	31	-3.5	10	19	3	7	13	18	7	2	5
Phascolarctos_cinereus	31	-3.5	3	9	5	6	12	19	13	5	8
Phoca_vitulina	38	-2.0	10	17	3	9	16	22	13	6	7
Phocoena_sinus	31	-3.0	9	15	4	8	15	16	8	3	5
Phodopus_roborovskii	32	-5.0	4	10	5	7	12	20	14	5	9
Phyllostomus_discolor	89	-1.0	29	48	18	13	39	50	30	16	14
Phyllostomus_hastatus	38	-4.0	14	19	4	10	18	20	12	5	7
Physeter_catodon	31	-3.0	8	14	4	9	16	15	8	3	5
Piliocolobus_tephrosceles	73	-8.0	22	37	15	12	30	43	22	8	14
Pipistrellus_kuhlii	86	-1.0	28	43	14	12	34	52	22	11	11
Podarcis_muralis	74	-6.0	26	41	13	14	39	35	17	6	11
Podarcis_raffonei	74	-4.0	26	40	12	14	37	37	19	8	11
Pogona_vitticeps	32	-5.0	8	14	4	8	16	16	9	2	7
Pongo_abelii	32	-5.5	6	13	3	9	11	21	12	4	8
Pongo_pygmaeus	32	-5.5	6	13	3	9	11	21	12	4	8
Prionailurus_bengalensis	31	-2.5	8	16	4	6	14	17	12	5	7
Prionailurus_viverrinus	31	-2.5	8	15	4	8	16	15	10	4	6
Propithecus_coquereli	32	-4.0	6	12	2	8	11	21	13	5	8
Protobothrops_mucrosquamatus	30	-6.0	7	13	4	7	12	18	10	2	8
Psammomys_obesus	32	-3.5	4	15	6	5	11	21	13	5	8
Pterocles_gutturalis	32	-3.5	12	20	6	7	14	18	7	2	5
Pteronotus_parnellii_mesoamericanus	32	-2.5	6	15	6	7	15	17	8	3	5
Pteropus_giganteus	32	-5.0	9	16	5	7	13	19	12	4	8
Pteropus_vampyrus	65	-4.5	21	31	12	13	29	36	19	8	11
Puma_concolor	31	-2.5	8	15	4	8	16	15	10	4	6
Puma_yagouaroundi	31	-2.5	8	15	4	8	16	15	10	4	6
Pygoscelis_adeliae	31	-2.0	10	19	3	6	12	19	6	2	4
Python_bivittatus	44	-2.5	9	20	8	8	20	24	12	5	7
Rattus_norvegicus	41	-4.0	7	20	5	7	16	25	17	7	10
Rattus_rattus	44	-4.0	7	20	6	8	18	26	17	7	10
Rhinatrema_bivittatum	36	-5.0	7	20	9	7	16	20	10	3	7
Rhinolophus_ferrumequinum	38	-3.5	10	20	3	9	14	24	10	4	6
Rhinopithecus_bieti	33	-7.0	6	14	3	9	12	21	12	3	9
Rhinopithecus_roxellana	73	-6.5	22	37	15	12	31	42	21	8	13
Rissa_tridactyla	32	-2.5	8	17	6	7	14	18	8	3	5
Rousettus_aegyptiacus	32	-5.5	6	16	6	6	15	17	13	4	9
Saimiri_boliviensis_boliviensis	29	-3.0	5	9	3	8	10	19	12	5	7
Sapajus_apella	29	-2.0	5	9	3	8	10	19	11	5	6
Sceloporus_undulatus	31	-5.5	7	17	7	5	13	18	11	3	8
Sciurus_carolinensis	31	-4.5	6	10	4	7	14	17	10	3	7
Sorex_araneus	31	-5.5	6	13	4	7	13	18	11	3	8
Sorex_fumeus	34	-6.0	5	13	8	6	13	21	13	4	9
Spea_bombifrons	27	-5.5	5	16	5	4	10	17	9	2	7
Sphaerodactylus_townsendi	30	-5.0	7	13	5	7	13	17	11	3	8
Struthio_camelus_australis	31	-3.5	10	18	6	6	14	17	7	2	5
Sturnira_hondurensis	33	-5.0	8	14	4	8	12	21	12	4	8
Suncus_etruscus	33	-4.5	4	11	2	10	13	20	13	5	8
Suricata_suricatta	31	-4.5	8	16	4	6	15	16	12	4	8
Sus_scrofa	31	-3.5	10	17	4	6	12	19	9	3	6
Symphalangus_syndactylus	32	-6.0	6	13	3	9	12	20	11	3	8
Tachyglossus_aculeatus	30	-5.5	9	19	2	5	10	20	11	3	8
Talpa_occidentalis	33	-5.0	5	12	6	7	12	21	12	4	8
Tauraco_erythrolophus	32	-2.5	10	19	6	7	15	17	6	2	4
Thamnophis_elegans	30	-4.0	6	11	4	8	13	17	10	3	7
Thamnophis_sirtalis	30	-4.0	6	11	4	8	13	17	10	3	7
Theropithecus_gelada	83	-9.5	25	49	19	13	40	43	18	5	13
Tinamus_guttatus	31	-5.0	11	19	5	6	13	18	7	1	6
Trachemys_scripta_elegans	30	-4.5	5	13	6	5	15	15	8	2	6
Trachypithecus_francoisi	73	-8.5	21	37	15	12	31	42	21	7	14
Trichechus_manatus_latirostris	31	-2.0	4	11	1	9	10	21	13	6	7
Trichosurus_vulpecula	31	-4.5	3	10	5	6	12	19	14	5	9
Tupaia_chinensis	31	-1.5	6	11	4	6	11	20	11	5	6
Tursiops_truncatus	31	-4.0	8	13	5	8	14	17	9	3	6
Tyto_alba	32	-3.5	10	19	6	7	15	17	5	1	4
Urocitellus_parryii	31	-2.5	6	13	4	6	13	18	10	4	6
Ursus_americanus	38	-4.0	9	17	4	9	16	22	13	5	8
Ursus_arctos	38	-4.0	9	17	4	9	16	22	13	5	8
Ursus_maritimus	38	-4.0	9	17	4	9	16	22	13	5	8
Varanus_komodoensis	31	-4.5	7	10	6	8	16	15	10	3	7
Vicugna_pacos	32	-3.0	8	14	4	9	13	19	10	4	6
Vombatus_ursinus	31	-4.5	4	11	5	6	12	19	12	4	8
Vulpes_lagopus	31	-3.5	7	13	3	9	12	19	12	5	7
Vulpes_vulpes	72	1.0	26	40	15	13	38	34	17	10	7
Zalophus_californianus	34	-1.5	10	16	3	7	15	19	11	5	6
Zootoca_vivipara	77	-5.0	27	40	16	16	42	35	21	9	12
