Species_name	Group	GNAI1	GNAI2	GNAI3	GoA	GoB	GNAZ
Desmodus rotundus	Chiroptera	0.999	0.9	0.998	0.977	0.941	0.877
Hipposideros armiger	Chiroptera	1	0.908	0.996	0.949	0.931	0.886
Megaderma lyra	Chiroptera	0.999	0.904	0.998	0.966	0.925	0.886
Miniopterus natalensis	Chiroptera	0.999	0.878	0.998	0.945	0.944	0.878
Molossus molossus	Chiroptera	0.999	0.886	0.999	0.852	0.938	0.876
Myotis brandtii	Chiroptera	0.999	0.893	0.999	0.97	0.94	0.873
Myotis davidii	Chiroptera	0.999	0.89	0.999	0.965	0.932	0.871
Myotis lucifugus	Chiroptera	0.999	0.896	0.999	0.97	0.934	0.873
Myotis myotis	Chiroptera	0.999	0.894	0.999	0.97	0.942	0.877
Phyllostomus discolor	Chiroptera	1	0.929	1	1	0.969	0.89
Phyllostomus hastatus	Chiroptera	1	0.901	0.999	0.988	0.923	0.896
Pipistrellus kuhlii	Chiroptera	1	0.931	1	1	0.972	0.893
Pipistrellus pipistrellus	Chiroptera	0.999	0.904	0.999	0.957	0.926	0.883
Pteronotus parnellii	Chiroptera	0.999	0.899	0.999	0.982	0.95	0.877
Pteropus alecto	Chiroptera	0.999	0.901	0.988	0.878	0.867	0.859
Pteropus giganteus	Chiroptera	0.999	0.901	0.995	0.917	0.893	0.877
Pteropus vampyrus	Chiroptera	1	0.912	0.999	1	0.954	0.896
Rhinolophus ferrumequinum	Chiroptera	1	0.914	0.999	0.984	0.928	0.89
Rousettus aegyptiacus	Chiroptera	0.999	0.896	1	0.982	0.923	0.884
Sturnira hondurensis	Chiroptera	0.999	0.9	0.998	0.925	0.934	0.881
Condylura cristata	Eulipotyphla	0.998	0.891	0.998	0.71	0.928	0.866
Erinaceus europaeus	Eulipotyphla	1	0.908	0.999	0.974	0.933	0.885
Galemys pyrenaicus	Eulipotyphla	0.996	0.9	0.998	0.88	0.94	0.865
Solenodon paradoxus	Eulipotyphla	0.998	0.898	0.997	0.975	0.932	0.87
Sorex araneus	Eulipotyphla	1	0.92	0.999	0.948	0.927	0.881
Sorex fumeus	Eulipotyphla	1	0.927	0.999	0.98	0.944	0.889
Suncus etruscus	Eulipotyphla	0.999	0.883	0.999	0.939	0.955	0.883
Talpa occidentalis	Eulipotyphla	0.999	0.894	0.999	0.879	0.922	0.874
Uropsilus gracilis	Eulipotyphla	0.999	0.895	0.998	0.95	0.9	0.868
Lepus americanus	Lagomorpha	0.999	0.904	0.998	0.969	0.93	0.879
Lepus timidus	Lagomorpha	0.999	0.904	0.998	0.956	0.926	0.88
Ochotona curzoniae	Lagomorpha	1	0.901	0.998	0.981	0.934	0.879
Ochotona princeps	Lagomorpha	1	0.907	0.999	0.984	0.925	0.882
Oryctolagus cuniculus	Lagomorpha	1	0.922	0.999	1	0.972	0.874
Sylvilagus bachmani	Lagomorpha	0.999	0.91	0.998	0.984	0.936	0.88
Antechinus flavipes	Metatheria	0.999	0.88	0.997	0.857	0.935	0.887
Dromiciops gliroides	Metatheria	0.989	0.82	0.997	0.565	0.912	0.864
Gracilinanus agilis	Metatheria	0.999	0.876	0.994	0.956	0.934	0.877
Monodelphis domestica	Metatheria	0.999	0.884	0.995	0.933	0.922	0.874
Phascolarctos cinereus	Metatheria	0.997	0.855	0.996	0.898	0.931	0.874
Thylacinus cynocephalus	Metatheria	0.998	0.877	0.991	0.886	0.915	0.876
Trichosurus vulpecula	Metatheria	0.998	0.841	0.995	0.745	0.944	0.877
Vombatus ursinus	Metatheria	0.998	0.851	0.997	0.87	0.934	0.875
Ornithorhynchus anatinus	Monotremata	0.998	0.895	0.998	0.88	0.912	0.887
Tachyglossus aculeatus	Monotremata	0.998	0.89	0.997	0.883	0.912	0.884
Ceratotherium simum	Perissodactyla	0.998	0.897	0.999	0.926	0.954	0.886
Dicerorhinus sumatrensis	Perissodactyla	0.999	0.899	0.999	0.945	0.956	0.883
Diceros bicornis	Perissodactyla	0.998	0.894	0.999	0.922	0.954	0.886
Equus asinus	Perissodactyla	0.999	0.903	0.998	0.894	0.954	0.879
Equus caballus	Perissodactyla	0.999	0.903	0.998	0.894	0.954	0.879
Equus przewalskii	Perissodactyla	0.999	0.903	0.998	0.909	0.955	0.879
Equus quagga	Perissodactyla	0.999	0.903	0.998	0.894	0.954	0.879
Rhinoceros unicornis	Perissodactyla	0.998	0.902	0.998	0.955	0.951	0.886
Tapirus indicus	Perissodactyla	0.999	0.913	0.999	0.963	0.942	0.881
Manis crassicaudata	Pholidota	0.998	0.903	0.997	0.974	0.93	0.878
Manis javanica	Pholidota	0.998	0.905	0.997	0.977	0.931	0.879
Manis pentadactyla	Pholidota	0.998	0.904	0.997	0.974	0.932	0.879
Phataginus tricuspis	Pholidota	0.999	0.899	0.996	0.929	0.926	0.877
Aotus nancymaae	Primates	0.999	0.892	0.999	0.966	0.93	0.868
Callithrix jacchus	Primates	0.999	0.892	0.999	0.963	0.925	0.87
Carlito syrichta	Primates	0.992	0.888	0.996	0.904	0.925	0.855
Cebus capucinus	Primates	0.999	0.89	0.999	0.95	0.93	0.867
Cercocebus atys	Primates	1	0.903	1	1	0.987	0.885
Chlorocebus sabaeus	Primates	0.999	0.903	0.999	0.948	0.95	0.877
Colobus angolensis	Primates	0.999	0.906	0.999	0.953	0.951	0.878
Gorilla gorilla	Primates	0.999	0.904	0.999	0.932	0.945	0.875
Homo sapiens	Primates	0.999	0.906	0.999	0.933	0.948	0.873
Hylobates moloch	Primates	0.999	0.903	0.999	0.927	0.947	0.875
Lemur catta	Primates	0.999	0.896	0.999	0.93	0.928	0.876
Macaca fascicularis	Primates	0.999	0.902	0.999	0.96	0.95	0.878
Macaca mulatta	Primates	1	0.912	1	0.999	0.979	0.905
Macaca nemestrina	Primates	1	0.912	1	0.999	0.979	0.905
Macaca thibetana	Primates	0.999	0.903	0.999	0.959	0.95	0.877
Mandrillus leucophaeus	Primates	1	0.926	1	0.999	0.985	0.911
Microcebus murinus	Primates	0.999	0.894	0.999	0.959	0.953	0.882
Nomascus leucogenys	Primates	0.999	0.903	0.999	0.93	0.948	0.876
Nycticebus coucang	Primates	1	0.919	1	1	0.982	0.888
Otolemur garnettii	Primates	0.999	0.902	0.999	0.941	0.944	0.885
Pan paniscus	Primates	0.999	0.904	0.999	0.932	0.945	0.875
Pan troglodytes	Primates	0.999	0.904	0.999	0.932	0.945	0.875
Papio anubis	Primates	0.999	0.9	0.999	0.957	0.952	0.878
Piliocolobus tephrosceles	Primates	1	0.921	1	0.998	0.979	0.908
Pongo abelii	Primates	0.999	0.904	0.999	0.931	0.944	0.875
Pongo pygmaeus	Primates	0.999	0.904	0.999	0.931	0.944	0.875
Prolemur simus	Primates	0.999	0.892	0.999	0.934	0.93	0.879
Propithecus coquereli	Primates	0.999	0.891	0.999	0.93	0.943	0.879
Rhinopithecus bieti	Primates	0.999	0.903	0.999	0.952	0.95	0.877
Rhinopithecus roxellana	Primates	1	0.914	1	0.999	0.979	0.904
Saimiri boliviensis	Primates	0.999	0.895	0.999	0.966	0.938	0.87
Sapajus apella	Primates	0.999	0.892	0.999	0.949	0.932	0.867
Symphalangus syndactylus	Primates	0.999	0.903	0.999	0.927	0.947	0.875
Theropithecus gelada	Primates	1	0.923	1	0.999	0.983	0.913
Trachypithecus francoisi	Primates	1	0.918	1	0.999	0.98	0.909
Acomys russatus	Rodentia	1	0.922	0.999	0.991	0.926	0.877
Apodemus sylvaticus	Rodentia	1	0.922	0.999	0.994	0.949	0.875
Arvicanthis niloticus	Rodentia	0.999	0.915	0.999	0.982	0.939	0.868
Arvicola amphibius	Rodentia	0.998	0.907	1	0.964	0.931	0.873
Castor canadensis	Rodentia	0.999	0.909	0.998	0.98	0.917	0.874
Cavia aperea	Rodentia	1	0.942	0.999	0.995	0.92	0.884
Cavia porcellus	Rodentia	1	0.942	0.998	0.993	0.918	0.883
Chinchilla lanigera	Rodentia	1	0.931	0.999	0.994	0.942	0.882
Chionomys nivalis	Rodentia	0.997	0.9	1	0.957	0.934	0.873
Cricetulus griseus	Rodentia	0.998	0.901	0.999	0.964	0.926	0.862
Dipodomys spectabilis	Rodentia	1	0.953	0.961	1	0.932	0.844
Fukomys damarensis	Rodentia	1	0.929	0.997	0.997	0.944	0.879
Grammomys surdaster	Rodentia	0.999	0.916	0.999	0.976	0.934	0.87
Heterocephalus glaber	Rodentia	0.999	0.899	0.998	0.984	0.925	0.862
Ictidomys tridecemlineatus	Rodentia	0.996	0.901	0.998	0.951	0.95	0.875
Jaculus jaculus	Rodentia	0.996	0.92	0.998	0.892	0.922	0.865
Marmota flaviventris	Rodentia	0.994	0.906	0.997	0.947	0.94	0.871
Marmota marmota	Rodentia	0.993	0.905	0.996	0.955	0.938	0.873
Marmota monax	Rodentia	0.995	0.906	0.997	0.954	0.937	0.873
Mastomys coucha	Rodentia	1	0.911	1	0.99	0.948	0.888
Meriones unguiculatus	Rodentia	0.999	0.9	1	0.89	0.949	0.877
Mesocricetus auratus	Rodentia	0.999	0.913	1	0.988	0.921	0.86
Microtus fortis	Rodentia	0.997	0.902	1	0.932	0.93	0.87
Microtus ochrogaster	Rodentia	0.998	0.903	1	0.95	0.937	0.873
Microtus oregoni	Rodentia	0.997	0.899	1	0.915	0.932	0.869
Mus caroli	Rodentia	0.999	0.918	0.999	0.989	0.941	0.871
Mus musculus	Rodentia	0.999	0.924	0.998	0.991	0.944	0.872
Mus pahari	Rodentia	1	0.92	0.999	0.995	0.947	0.878
Mus spicilegus	Rodentia	1	0.922	0.998	0.995	0.945	0.876
Mus spretus	Rodentia	1	0.921	0.998	0.995	0.949	0.877
Nannospalax galili	Rodentia	0.999	0.922	0.999	0.981	0.941	0.879
Octodon degus	Rodentia	0.771	0.753	1	0.419	0.606	0.738
Onychomys torridus	Rodentia	0.994	0.901	0.999	0.938	0.909	0.859
Perognathus longimembris	Rodentia	1	0.954	0.993	1	0.922	0.868
Peromyscus californicus	Rodentia	0.998	0.912	0.998	0.973	0.927	0.868
Peromyscus leucopus	Rodentia	0.998	0.912	0.999	0.971	0.928	0.867
Peromyscus maniculatus	Rodentia	0.998	0.911	0.999	0.969	0.924	0.868
Phodopus roborovskii	Rodentia	0.998	0.901	0.999	0.974	0.938	0.865
Psammomys obesus	Rodentia	0.999	0.904	1	0.902	0.949	0.879
Rattus norvegicus	Rodentia	0.999	0.931	0.999	0.989	0.942	0.868
Sciurus carolinensis	Rodentia	0.997	0.911	0.997	0.978	0.93	0.873
Spermophilus dauricus	Rodentia	0.992	0.906	0.995	0.956	0.94	0.871
Urocitellus parryii	Rodentia	0.994	0.903	0.997	0.958	0.947	0.873
Sphenodon punctatus	Sphenodon punctatus	0.999	0.923	0.999	0.996	0.949	0.893
Ahaetulla prasina	Squamata	0.999	0.864	1	0.983	0.96	0.871
Aspidoscelis marmoratus	Squamata	0.992	0.837	0.999	0.967	0.925	0.866
Bothrops jararaca	Squamata	0.999	0.864	1	0.974	0.953	0.874
Crotalus tigris	Squamata	0.999	0.863	1	0.979	0.955	0.87
Gekko japonicus	Squamata	0.999	0.882	0.999	0.986	0.938	0.869
Hemicordylus capensis	Squamata	0.996	0.856	0.999	0.975	0.901	0.871
Lacerta agilis	Squamata	0.999	0.881	0.999	0.994	0.935	0.87
Pantherophis guttatus	Squamata	0.999	0.844	1	0.961	0.959	0.861
Pantherophis obsoletus	Squamata	0.999	0.843	1	0.961	0.96	0.86
Phrynosoma platyrhinos	Squamata	0.998	0.86	0.999	0.976	0.881	0.865
Pituophis catenifer	Squamata	0.999	0.851	1	0.973	0.947	0.842
Podarcis muralis	Squamata	0.998	0.874	1	0.989	0.935	0.866
Podarcis raffonei	Squamata	0.998	0.863	1	0.989	0.939	0.868
Pogona vitticeps	Squamata	0.996	0.842	0.999	0.938	0.933	0.867
Protobothrops mucrosquamatus	Squamata	0.999	0.858	1	0.97	0.954	0.871
Ptyas mucosa	Squamata	1	0.854	1	0.994	0.972	0.869
Python bivittatus	Squamata	0.999	0.86	1	0.967	0.956	0.87
Python molurus	Squamata	0.999	0.86	1	0.967	0.956	0.87
Salvator merianae	Squamata	0.987	0.868	0.999	0.934	0.923	0.871
Sceloporus undulatus	Squamata	0.997	0.842	0.999	0.958	0.894	0.858
Sphaerodactylus townsendi	Squamata	0.997	0.866	0.998	0.935	0.912	0.851
Thamnophis elegans	Squamata	0.997	0.86	1	0.98	0.963	0.872
Thamnophis sirtalis	Squamata	0.997	0.86	1	0.98	0.963	0.872
Varanus komodoensis	Squamata	0.989	0.855	0.998	0.945	0.922	0.85
Vipera berus	Squamata	1	0.86	1	0.982	0.953	0.873
Zootoca vivipara	Squamata	0.999	0.879	0.999	0.995	0.936	0.865
Caretta caretta	Testudines	0.926	0.822	0.998	0.747	0.928	0.857
Chelonia mydas	Testudines	0.934	0.829	0.998	0.749	0.921	0.86
Chelonoidis abingdonii	Testudines	0.944	0.836	0.998	0.682	0.932	0.857
Chrysemys picta	Testudines	0.941	0.838	0.998	0.81	0.93	0.86
Gopherus flavomarginatus	Testudines	0.936	0.833	0.997	0.766	0.94	0.86
Malaclemys terrapin	Testudines	0.941	0.838	0.998	0.81	0.93	0.86
Mauremys mutica	Testudines	0.941	0.837	0.997	0.853	0.931	0.858
Mauremys reevesii	Testudines	0.934	0.837	0.997	0.821	0.93	0.86
Pelodiscus sinensis	Testudines	0.957	0.855	0.997	0.899	0.931	0.857
Terrapene carolina	Testudines	0.935	0.832	0.997	0.824	0.932	0.861
Trachemys scripta	Testudines	0.936	0.834	0.998	0.821	0.93	0.86
Choloepus didactylus	Xenarthra	0.999	0.894	0.999	0.968	0.94	0.868
Choloepus hoffmanni	Xenarthra	0.999	0.894	0.999	0.966	0.941	0.868
Dasypus novemcinctus	Xenarthra	1	0.912	0.999	0.999	0.959	0.901
Myrmecophaga tridactyla	Xenarthra	0.998	0.89	0.999	0.859	0.939	0.876
Tamandua tetradactyla	Xenarthra	0.998	0.888	0.999	0.823	0.941	0.876
