scientific_name	common_name	genomic_range	location	transcript_accession	transcript_length	transcript_cds_coords	protein_accession	protein_length
Heterocephalus glaber	naked mole-rat	NW_004624786.1:6354344-6425240	chr Un	XM_021238131.1	3784	XM_021238131.1:57-3512	XP_021093790.1	1151
Heterocephalus glaber	naked mole-rat	NW_004624786.1:6354344-6425240	chr Un	XM_021238130.1	3880	XM_021238130.1:57-3608	XP_021093789.1	1183
Anas platyrhynchos	mallard	NC_051791.1:4158737-4190604	chr 20	XM_005023105.4	6029	XM_005023105.4:1160-5335	XP_005023162.3	1391
Anas platyrhynchos	mallard	NC_051791.1:4158737-4190604	chr 20	XM_013102982.3	6038	XM_013102982.3:1160-5344	XP_012958436.3	1394
Mesocricetus auratus	golden hamster	NW_024429191.1:51942674-51998974	chr Un	XM_040749100.1	3720	XM_040749100.1:38-3535	XP_040605034.1	1165
Melopsittacus undulatus	budgerigar	NC_047539.1:8938929-8965970	chr 13	XM_034068964.1	4085	XM_034068964.1:1-3999	XP_033924855.1	1332
Chrysemys picta	Painted turtle	NW_024885741.1:19495799-19561682	chr Un	XM_042858089.1	6029	XM_042858089.1:1-4353	XP_042714023.1	1450
Ictidomys tridecemlineatus	thirteen-lined ground squirrel	NW_024405602.1:55450241-55508679	chr Un	XM_021734565.2	3992	XM_021734565.2:216-3710	XP_021590240.1	1164
Ictidomys tridecemlineatus	thirteen-lined ground squirrel	NW_024405602.1:55450241-55508679	chr Un	XM_040269536.1	3933	XM_040269536.1:157-3651	XP_040125470.1	1164
Ictidomys tridecemlineatus	thirteen-lined ground squirrel	NW_024405602.1:55450241-55508679	chr Un	XM_040269537.1	3822	XM_040269537.1:157-3540	XP_040125471.1	1127
Ictidomys tridecemlineatus	thirteen-lined ground squirrel	NW_024405602.1:55450241-55508679	chr Un	XM_021734566.2	3837	XM_021734566.2:157-3555	XP_021590241.1	1132
Ictidomys tridecemlineatus	thirteen-lined ground squirrel	NW_024405602.1:55450241-55508679	chr Un	XM_021734567.2	3741	XM_021734567.2:157-3459	XP_021590242.1	1100
Ictidomys tridecemlineatus	thirteen-lined ground squirrel	NW_024405602.1:55450241-55508679	chr Un	XM_040269538.1	3792	XM_040269538.1:157-3510	XP_040125472.1	1117
Ictidomys tridecemlineatus	thirteen-lined ground squirrel	NW_024405602.1:55450241-55508679	chr Un	XM_040269539.1	3343	XM_040269539.1:239-3061	XP_040125473.1	940
Microtus ochrogaster	prairie vole	NC_022014.1:25802534-25849506	chr 7	XM_005350273.2	3744	XM_005350273.2:1-3588	XP_005350330.1	1195
Chinchilla lanigera	long-tailed chinchilla	NW_004955467.1:13052920-13112896	chr Un	XM_013522229.1	3257	XM_013522229.1:67-3231	XP_013377683.1	1054
Chinchilla lanigera	long-tailed chinchilla	NW_004955467.1:13052920-13112896	chr Un	XM_005399709.2	4437	XM_005399709.2:64-3567	XP_005399766.1	1167
Chinchilla lanigera	long-tailed chinchilla	NW_004955467.1:13052920-13112896	chr Un	XM_013522230.1	3166	XM_013522230.1:33-3140	XP_013377684.1	1035
Columba livia	rock pigeon	NW_004973261.1:4032958-4060937	chr Un	XM_013366850.2	5733	XM_013366850.2:945-5084	XP_013222304.1	1379
Macaca fascicularis	crab-eating macaque	NC_052270.1:73784911-73871231	chr 16	XM_045375608.1	3840	XM_045375608.1:28-3621	XP_045231543.1	1197
Capra hircus	goat	NC_030826.1:24198191-24258647	chr 19	XM_013972207.2	3843	XM_013972207.2:83-3598	XP_013827661.2	1171
Capra hircus	goat	NC_030826.1:24198191-24258647	chr 19	XM_013972206.2	3809	XM_013972206.2:1-3564	XP_013827660.2	1187
Myotis brandtii	Brandt's bat	NW_005360846.1:693851-755083	chr Un	XM_014541935.1	3903	XM_014541935.1:31-3636	XP_014397421.1	1201
Bos mutus	wild yak	NW_005395309.1:1266787-1310157	chr Un	XM_005906709.2	3723	XM_005906709.2:1-3492	XP_005906771.1	1163
Alligator sinensis	Chinese alligator	NW_005842608.1:745150-779122	chr Un	XM_025214830.1	4606	XM_025214830.1:116-3763	XP_025070615.1	1215
Bubalus bubalis	water buffalo	NC_059159.1:38640773-38701419	chr 3	XM_006079695.4	3859	XM_006079695.4:111-3626	XP_006079757.1	1171
Myotis lucifugus	little brown bat	NW_005871687.1:360304-393058	chr Un	XM_006105146.3	2620	XM_006105146.3:1-2343	XP_006105208.1	780
Pelodiscus sinensis	Chinese soft-shelled turtle	NW_005871025.1:10094303-10148931	chr Un	XM_025179286.1	4173	XM_025179286.1:265-4137	XP_025035071.1	1290
Tupaia chinensis	Chinese tree shrew	NW_006204759.1:3957370-4041896	chr Un	XM_027767887.1	3706	XM_027767887.1:93-3527	XP_027623688.1	1144
Tupaia chinensis	Chinese tree shrew	NW_006204759.1:3957370-4041896	chr Un	XM_027767889.1	3592	XM_027767889.1:93-3413	XP_027623690.1	1106
Tupaia chinensis	Chinese tree shrew	NW_006204759.1:3957370-4041896	chr Un	XM_027767888.1	3673	XM_027767888.1:93-3494	XP_027623689.1	1133
Tupaia chinensis	Chinese tree shrew	NW_006204759.1:3957370-4041896	chr Un	XM_027767886.1	3784	XM_027767886.1:93-3605	XP_027623687.1	1170
Camelus ferus	Wild Bactrian camel	NC_045711.1:1168758-1219093	chr 16	XM_032498040.1	3833	XM_032498040.1:87-3605	XP_032353931.1	1172
Vicugna pacos	alpaca	NW_021964189.1:4065546-4118293	chr 16	XM_006213368.3	3539	XM_006213368.3:120-3311	XP_006213430.1	1063
Alligator mississippiensis	American alligator	NC_081837.1:2317037-2343216	chr 14	XM_059717508.1	5067	XM_059717508.1:36-4235	XP_059573491.1	1399
Leptonychotes weddellii	Weddell seal	NW_006385282.1:182693-243038	chr Un	XM_031017103.1	3773	XM_031017103.1:66-3563	XP_030872963.1	1165
Myotis davidii		NW_006289391.1:760554-806910	chr Un	XM_006761503.2	3896	XM_006761503.2:1-3630	XP_006761566.1	1209
Chrysochloris asiatica	Cape golden mole	NW_006408572.1:4819138-4915807	chr Un	XM_006863472.1	4482	XM_006863472.1:1-4482	XP_006863534.1	1493
Elephantulus edwardii	Cape elephant shrew	NW_006400017.1:254123-363523	chr Un	XM_006899791.1	4962	XM_006899791.1:1-4962	XP_006899853.1	1653
Pteropus alecto	black flying fox	NW_006442497.1:389053-447108	chr Un	XM_006922207.3	5406	XM_006922207.3:65-3553	XP_006922269.1	1162
Peromyscus maniculatus bairdii	prairie deer mouse	NC_056015.1:58266325-58314846	chr 8	XM_006992215.3	3748	XM_006992215.3:89-3562	XP_006992277.1	1157
Panthera tigris	tiger	NC_056673.1:13162084-13227212	chr E1	XR_006210971.1	3679			
Panthera tigris	tiger	NC_056673.1:13162084-13227212	chr E1	XR_006210970.1	5686			
Panthera tigris	tiger	NC_056673.1:13162084-13227212	chr E1	XM_042965550.1	5373	XM_042965550.1:368-3805	XP_042821484.1	1145
Panthera tigris	tiger	NC_056673.1:13162084-13227212	chr E1	XM_042965552.1	3843	XM_042965552.1:368-3763	XP_042821486.1	1131
Panthera tigris	tiger	NC_056673.1:13162084-13227212	chr E1	XM_042965549.1	5477	XM_042965549.1:367-3909	XP_042821483.1	1180
Panthera tigris	tiger	NC_056673.1:13162084-13227212	chr E1	XM_042965551.1	5336	XM_042965551.1:367-3768	XP_042821485.1	1133
Panthera tigris	tiger	NC_056673.1:13162084-13227212	chr E1	XM_007076165.2	5423	XM_007076165.2:367-3855	XP_007076227.1	1162
Physeter catodon	sperm whale	NW_021146017.1:154-42046	chr Un	XM_028486204.1	3927	XM_028486204.1:2-3706	XP_028342005.1	1234
Balaenoptera acutorostrata	minke whale	NC_080083.1:12397767-12457014	chr 20	XM_057537047.1	3955	XM_057537047.1:287-3715	XP_057393030.1	1142
Balaenoptera acutorostrata	minke whale	NC_080083.1:12397767-12457014	chr 20	XM_007177439.2	3768	XM_007177439.2:1-3528	XP_007177501.2	1175
Lipotes vexillifer	Yangtze River dolphin	NW_006780838.1:451893-500398	chr Un	XM_007454252.1	4056	XM_007454252.1:1-4056	XP_007454314.1	1351
Erinaceus europaeus	western European hedgehog	NC_080173.1:81794798-81914919	chr 12	XM_060204169.1	3501	XM_060204169.1:101-3301	XP_060060152.1	1066
Orycteropus afer afer		NW_006921629.1:12785556-12863683	chr Un	XM_042780492.1	3852	XM_042780492.1:1-3852	XP_042636426.1	1283
Chlorocebus sabaeus	green monkey	NW_023666059.1:18496232-18580496	chr Un	XM_037987458.1	4631	XM_037987458.1:822-4412	XP_037843386.1	1196
Carlito syrichta	Philippine tarsier	NW_007248809.1:442298-501469	chr Un	XM_008060746.1	3903	XM_008060746.1:99-3620	XP_008058937.1	1173
Carlito syrichta	Philippine tarsier	NW_007248809.1:442298-501469	chr Un	XR_002482118.1	768			
Eptesicus fuscus	big brown bat	NC_072492.1:14715944-14761592	chr 20	XM_054709374.1	3800	XM_054709374.1:1-3600	XP_054565349.1	1199
Equus przewalskii	Przewalski's horse	NW_007674655.1:16360-76741	chr Un	XM_008531217.1	3786	XM_008531217.1:79-3582	XP_008529439.1	1167
Galeopterus variegatus	Sunda flying lemur	NW_007726136.1:1061602-1111532	chr Un	XM_008569042.1	3779	XM_008569042.1:1-3603	XP_008567264.1	1200
Ursus maritimus	polar bear	NW_024424897.1:46052784-46121665	chr Un	XM_040639841.1	4053	XM_040639841.1:16-3870	XP_040495775.1	1284
Nannospalax galili	Upper Galilee mountains blind mole rat	NW_008357921.1:251554-297480	chr Un	XM_029557465.1	3604	XM_029557465.1:51-3410	XP_029413325.1	1119
Nannospalax galili	Upper Galilee mountains blind mole rat	NW_008357921.1:251554-297480	chr Un	XM_029557466.1	3595	XM_029557466.1:51-3401	XP_029413326.1	1116
Nannospalax galili	Upper Galilee mountains blind mole rat	NW_008357921.1:251554-297480	chr Un	XM_029557467.1	3574	XM_029557467.1:51-3380	XP_029413327.1	1109
Nannospalax galili	Upper Galilee mountains blind mole rat	NW_008357921.1:251554-297480	chr Un	XM_029557464.1	3670	XM_029557464.1:51-3476	XP_029413324.1	1141
Nannospalax galili	Upper Galilee mountains blind mole rat	NW_008357921.1:251554-297480	chr Un	XM_029557468.1	3301	XM_029557468.1:51-3152	XP_029413328.1	1033
Merops nubicus	carmine bee-eater	NW_008611890.1:3904-21587	chr Un	XM_008941384.1	3375	XM_008941384.1:1-3375	XP_008939632.1	1124
Aptenodytes forsteri	emperor penguin	NW_008795131.1:1581564-1613478	chr Un	XM_019471771.1	4302	XM_019471771.1:1-4302	XP_019327316.1	1433
Pygoscelis adeliae	Adelie penguin	NW_008825158.1:272653-293697	chr Un	XM_009328657.1	3442	XM_009328657.1:1-2757	XP_009326932.1	918
Nipponia nippon	crested ibis	NW_009000161.1:288323-323047	chr Un	XM_009464560.1	4260	XM_009464560.1:1-4260	XP_009462835.1	1419
Pelecanus crispus	Dalmatian pelican	NW_009106600.1:2202-22487	chr Un	XM_009489561.1	3493	XM_009489561.1:2-3493	XP_009487836.1	1163
Phalacrocorax carbo	great cormorant	NC_087529.1:2981556-3009899	chr 17	XM_064468213.1	7031	XM_064468213.1:452-5146	XP_064324283.1	1564
Fulmarus glacialis	Northern fulmar	NW_009200373.1:4450-27073	chr Un	XM_009573592.1	3357	XM_009573592.1:1-3357	XP_009571887.1	1118
Egretta garzetta	little egret	NW_009258884.1:2426943-2456615	chr Un	XM_035889510.1	4306	XM_035889510.1:445-4224	XP_035745403.1	1259
Egretta garzetta	little egret	NW_009258884.1:2426943-2456615	chr Un	XM_035889511.1	4015	XM_035889511.1:352-3933	XP_035745404.1	1193
Egretta garzetta	little egret	NW_009258884.1:2426943-2456615	chr Un	XM_035889513.1	3457	XM_035889513.1:214-3375	XP_035745406.1	1053
Egretta garzetta	little egret	NW_009258884.1:2426943-2456615	chr Un	XM_035889512.1	3765	XM_035889512.1:253-3696	XP_035745405.1	1147
Struthio camelus australis		NW_009271012.1:2677530-2710792	chr Un	XM_009673021.1	4536	XM_009673021.1:1-3801	XP_009671316.1	1266
Gavia stellata	red-throated loon	NC_082618.1:8642271-8668400	chr 25	XM_059829517.1	4089	XM_059829517.1:1-4077	XP_059685500.1	1358
Opisthocomus hoazin		NW_009900391.1:337838-364055	chr Un	XM_009945818.1	3969	XM_009945818.1:1-3969	XP_009944120.1	1322
Tyto alba	common barn owl	NW_024881281.1:4797876-4829918	chr Un	XM_042791421.1	7605	XM_042791421.1:285-4034	XP_042647355.1	1249
Tauraco erythrolophus	red-crested turaco	NW_010077003.1:24117-48831	chr Un	XM_009990127.1	3804	XM_009990127.1:1-3804	XP_009988429.1	1267
Chlamydotis macqueenii	Macqueen's bustard	NW_010451370.1:2124-26798	chr Un	XM_010117914.1	3744	XM_010117914.1:1-3744	XP_010116216.1	1247
Antrostomus carolinensis	chuck-will's-widow	NW_010327305.1:2004-26984	chr Un	XM_029085930.1	3717	XM_029085930.1:1-3717	XP_028941763.1	1238
Mesitornis unicolor	brown roatelo	NW_010198129.1:2408-22745	chr Un	XM_010189028.1	3692	XM_010189028.1:3-3692	XP_010187330.1	1229
Balearica regulorum gibbericeps	East African grey crowned-crane	NW_010749651.1:2267-24938	chr Un	XM_010300302.1	3627	XM_010300302.1:1-3627	XP_010298604.1	1208
Rhinopithecus roxellana	golden snub-nosed monkey	NC_044567.1:53585283-53665625	chr 19	XM_030923668.1	3851	XM_030923668.1:43-3636	XP_030779528.1	1197
Rhinopithecus roxellana	golden snub-nosed monkey	NC_044567.1:53585283-53665625	chr 19	XM_030923669.1	3722	XM_030923669.1:21-3503	XP_030779529.1	1160
Rhinopithecus roxellana	golden snub-nosed monkey	NC_044567.1:53585283-53665625	chr 19	XM_030923670.1	3406	XM_030923670.1:21-3266	XP_030779530.1	1081
Rhinopithecus roxellana	golden snub-nosed monkey	NC_044567.1:53585283-53665625	chr 19	XM_030923671.1	3350	XM_030923671.1:21-3209	XP_030779531.1	1062
Haliaeetus leucocephalus	bald eagle	NW_010972831.1:5129391-5148244	chr Un	XM_010573949.1	3207	XM_010573949.1:1-3207	XP_010572251.1	1068
Fukomys damarensis	Damara mole-rat	NW_022900925.1:13325537-13382200	chr Un	XM_010611374.3	4435	XM_010611374.3:24-3590	XP_010609676.1	1188
Bison bison bison		NW_011494821.1:2759108-2820145	chr Un	XM_010847474.1	4104	XM_010847474.1:358-3873	XP_010845776.1	1171
Camelus bactrianus	Bactrian camel	NW_011512274.1:329930-369185	chr Un	XM_045513027.1	3573	XM_045513027.1:98-2992	XP_045368983.1	964
Camelus dromedarius	Arabian camel	NC_087451.1:15751155-15801480	chr 16	XM_064495042.1	3779	XM_064495042.1:117-3533	XP_064351112.1	1138
Camelus dromedarius	Arabian camel	NC_087451.1:15751155-15801480	chr 16	XM_031469536.2	3887	XM_031469536.2:114-3641	XP_031325396.2	1175
Pteropus vampyrus	large flying fox	NW_011888831.1:2879672-2936198	chr Un	XM_023530369.1	3781	XM_023530369.1:69-3575	XP_023386137.1	1168
Macaca nemestrina	pig-tailed macaque	NW_012010689.1:3988116-4080847	chr Un	XM_024789719.1	6094	XM_024789719.1:1409-5875	XP_024645487.1	1488
Colobus angolensis palliatus		NW_012115899.1:664024-756928	chr Un	XM_011947507.1	3695	XM_011947507.1:1-3480	XP_011802897.1	1159
Mandrillus leucophaeus	drill	NW_012102166.1:460965-562898	chr Un	XM_011980454.1	3344	XM_011980454.1:1-3129	XP_011835844.1	1042
Cercocebus atys	sooty mangabey	NW_012000250.1:12212923-12301206	chr Un	XM_012057477.1	4149	XM_012057477.1:1-3930	XP_011912867.1	1309
Aotus nancymaae	Ma's night monkey	NW_026988430.1:1996139-2075579	chr Un	XM_064378081.1	3779	XM_064378081.1:41-3556	XP_064234151.1	1171
Propithecus coquereli	Coquerel's sifaka	NW_012149619.1:407009-464345	chr Un	XM_012652583.1	3791	XM_012652583.1:37-3558	XP_012508037.1	1173
Microcebus murinus	gray mouse lemur	NC_033675.1:51357485-51434008	chr 16	XM_020280838.1	3882	XM_020280838.1:65-3589	XP_020136427.1	1174
Microcebus murinus	gray mouse lemur	NC_033675.1:51357485-51434008	chr 16	XM_020280839.1	3527	XM_020280839.1:3-3527	XP_020136428.1	1174
Microcebus murinus	gray mouse lemur	NC_033675.1:51357485-51434008	chr 16	XM_020280840.1	3218	XM_020280840.1:94-2925	XP_020136429.1	943
Xenopus tropicalis	tropical clawed frog	NC_030678.2:30775865-30821056	chr 2	XM_031896662.1	3974	XM_031896662.1:74-3586	XP_031752522.1	1170
Dipodomys ordii	Ord's kangaroo rat	NW_012267235.1:16048533-16103782	chr Un	XM_013013157.1	3559	XM_013013157.1:1-3345	XP_012868611.1	1114
Anser cygnoides	Swan goose	NW_025927733.1:663300-705332	chr Un	XM_048074229.1	8747	XM_048074229.1:2652-6824	XP_047930186.1	1390
Anser cygnoides	Swan goose	NW_025927733.1:663300-705332	chr Un	XM_013196471.2	9740	XM_013196471.2:3582-7817	XP_013051925.2	1411
Anser cygnoides	Swan goose	NW_025927733.1:663300-705332	chr Un	XM_048074227.1	9740	XM_048074227.1:3582-7817	XP_047930184.1	1411
Apteryx mantelli mantelli		NW_014003422.1:1146495-1181395	chr Un	XM_013953846.1	4769	XM_013953846.1:63-4076	XP_013809300.1	1337
Equus asinus	ass	NC_052189.1:17443738-17514156	chr 13	XM_044744663.1	4135	XM_044744663.1:75-3389	XP_044600598.1	1104
Equus asinus	ass	NC_052189.1:17443738-17514156	chr 13	XM_014832678.2	3782	XM_014832678.2:75-3578	XP_014688164.1	1167
Equus asinus	ass	NC_052189.1:17443738-17514156	chr 13	XM_014832679.2	3686	XM_014832679.2:75-3482	XP_014688165.1	1135
Equus asinus	ass	NC_052189.1:17443738-17514156	chr 13	XM_044744664.1	3575	XM_044744664.1:75-3371	XP_044600599.1	1098
Equus asinus	ass	NC_052189.1:17443738-17514156	chr 13	XM_044744662.1	3641	XM_044744662.1:75-3437	XP_044600597.1	1120
Equus asinus	ass	NC_052189.1:17443738-17514156	chr 13	XM_044744667.1	3437	XM_044744667.1:75-3305	XP_044600602.1	1076
Equus asinus	ass	NC_052189.1:17443738-17514156	chr 13	XM_044744665.1	3451	XM_044744665.1:75-3329	XP_044600600.1	1084
Equus asinus	ass	NC_052189.1:17443738-17514156	chr 13	XM_044744666.1	3436	XM_044744666.1:75-3314	XP_044600601.1	1079
Equus asinus	ass	NC_052189.1:17443738-17514156	chr 13	XR_006512241.1	3597			
Acinonyx jubatus	cheetah	NC_069397.1:12930409-13003403	chr E1	XM_053211887.1	3827	XM_053211887.1:102-3593	XP_053067862.1	1163
Acinonyx jubatus	cheetah	NC_069397.1:12930409-13003403	chr E1	XM_015085640.3	4352	XM_015085640.3:630-4118	XP_014941126.3	1162
Gekko japonicus		NW_015163123.1:11899-95369	chr Un	XM_015406874.1	3486	XM_015406874.1:1-3486	XP_015262360.1	1161
Marmota marmota marmota	Alpine marmot	NW_025999899.1:2840753-2907389	chr Un	XM_048798403.1	3865	XM_048798403.1:68-3583	XP_048654360.1	1171
Marmota marmota marmota	Alpine marmot	NW_025999899.1:2840753-2907389	chr Un	XM_015505919.2	7255	XM_015505919.2:3479-6973	XP_015361405.1	1164
Marmota marmota marmota	Alpine marmot	NW_025999899.1:2840753-2907389	chr Un	XM_048798404.1	3334	XM_048798404.1:230-3052	XP_048654361.1	940
Rousettus aegyptiacus	Egyptian rousette	NW_023416309.1:76404385-76469384	chr Un	XM_036222580.1	4838	XM_036222580.1:210-3026	XP_036078473.1	938
Miniopterus natalensis		NW_015504302.1:291039-339516	chr Un	XM_016200880.1	3691	XM_016200880.1:1-3537	XP_016056366.1	1178
Cebus imitator	Panamanian white-faced capuchin	NW_016107779.1:837992-921561	chr Un	XM_017512160.2	4493	XM_017512160.2:1-4284	XP_017367649.1	1427
Manis javanica	Malayan pangolin	NW_023436083.1:538593-590337	chr Un	XM_037022851.1	3451	XM_037022851.1:719-3322	XP_036878746.1	867
