gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XM_008270879.3	transcript variant X5	7507	XM_008270879.3:3812-7198	XP_008269101.1	isoform X5	1128	integrin alpha-E
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XM_017348969.2	transcript variant X4	7522	XM_017348969.2:3812-7213	XP_017204458.1	isoform X4	1133	integrin alpha-E
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XM_051825355.1	transcript variant X3	7522	XM_051825355.1:3812-7213	XP_051681315.1	isoform X3	1133	integrin alpha-E
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XM_051825358.1	transcript variant X9	7411	XM_051825358.1:3812-7102	XP_051681318.1	isoform X8	1096	integrin alpha-E
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XM_051825357.1	transcript variant X8	7426	XM_051825357.1:3812-7117	XP_051681317.1	isoform X7	1101	integrin alpha-E
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XM_017348965.2	transcript variant X2	7615	XM_017348965.2:3812-7306	XP_017204454.1	isoform X2	1164	integrin alpha-E
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XM_051825356.1	transcript variant X6	7471	XM_051825356.1:3812-7162	XP_051681316.1	isoform X6	1116	integrin alpha-E
100449697	ITGAE	integrin subunit alpha E	Pongo abelii	Sumatran orangutan	9601	NC_072004.2:3513900-3598351	-	chr 19	PROTEIN_CODING	XM_063717955.1	transcript variant X3	4529	XM_063717955.1:920-4312	XP_063574025.1	isoform X3	1130	integrin alpha-E
100449697	ITGAE	integrin subunit alpha E	Pongo abelii	Sumatran orangutan	9601	NC_072004.2:3513900-3598351	-	chr 19	PROTEIN_CODING	XM_063717954.1	transcript variant X2	3725	XM_063717954.1:41-3508	XP_063574024.1	isoform X2	1155	integrin alpha-E
100449697	ITGAE	integrin subunit alpha E	Pongo abelii	Sumatran orangutan	9601	NC_072004.2:3513900-3598351	-	chr 19	PROTEIN_CODING	XM_024235430.3	transcript variant X1	3803	XM_024235430.3:41-3586	XP_024091198.3	isoform X1	1181	integrin alpha-E
100465195	ITGAE	integrin subunit alpha E	Ailuropoda melanoleuca	giant panda	9646	NC_048230.1:146789-216152	+	chr 13	PROTEIN_CODING	XM_034640839.1	transcript variant X1	12682	XM_034640839.1:9009-12500	XP_034496730.1	isoform X1	1163	integrin alpha-E
100465195	ITGAE	integrin subunit alpha E	Ailuropoda melanoleuca	giant panda	9646	NC_048230.1:146789-216152	+	chr 13	PROTEIN_CODING	XM_034640840.1	transcript variant X2	12568	XM_034640840.1:9009-12386	XP_034496731.1	isoform X2	1125	integrin alpha-E
100465195	ITGAE	integrin subunit alpha E	Ailuropoda melanoleuca	giant panda	9646	NC_048230.1:146789-216152	+	chr 13	PROTEIN_CODING	XM_034640841.1	transcript variant X3	12553	XM_034640841.1:9009-12371	XP_034496732.1	isoform X3	1120	integrin alpha-E
100465195	ITGAE	integrin subunit alpha E	Ailuropoda melanoleuca	giant panda	9646	NC_048230.1:146789-216152	+	chr 13	PROTEIN_CODING	XM_034640842.1	transcript variant X4	3230	XM_034640842.1:223-3048	XP_034496733.1	isoform X4	941	integrin alpha-E
100519919	ITGAE	integrin subunit alpha E	Sus scrofa	pig	9823	NC_010454.4:49810050-49878142	-	chr 12	PROTEIN_CODING	XM_021067683.1		4363	XM_021067683.1:251-4105	XP_020923342.1		1284	LOW QUALITY PROTEIN: integrin alpha-E
100586118	ITGAE	integrin subunit alpha E	Nomascus leucogenys	northern white-cheeked gibbon	61853	NC_044399.1:74028780-74107065	+	chr 19	PROTEIN_CODING	XM_030799959.1		3851	XM_030799959.1:94-3633	XP_030655819.1		1179	integrin alpha-E
100674546	ITGAE	integrin subunit alpha E	Loxodonta africana	African savanna elephant	9785	NC_087359.1:65986001-66054619	-	chr 18	PROTEIN_CODING	XM_064271575.1	transcript variant X2	3818	XM_064271575.1:100-3636	XP_064127645.1	isoform X2	1178	integrin alpha-E
100674546	ITGAE	integrin subunit alpha E	Loxodonta africana	African savanna elephant	9785	NC_087359.1:65986001-66054619	-	chr 18	PROTEIN_CODING	XM_064271574.1	transcript variant X1	3822	XM_064271574.1:98-3640	XP_064127644.1	isoform X1	1180	integrin alpha-E
100674546	ITGAE	integrin subunit alpha E	Loxodonta africana	African savanna elephant	9785	NC_087359.1:65986001-66054619	-	chr 18	PROTEIN_CODING	XM_064271577.1	transcript variant X4	3264	XM_064271577.1:212-3082	XP_064127647.1	isoform X4	956	integrin alpha-E
100674546	ITGAE	integrin subunit alpha E	Loxodonta africana	African savanna elephant	9785	NC_087359.1:65986001-66054619	-	chr 18	PROTEIN_CODING	XM_064271576.1	transcript variant X3	3255	XM_064271576.1:182-3073	XP_064127646.1	isoform X3	963	integrin alpha-E
100731011	Itgae	integrin subunit alpha E	Cavia porcellus	domestic guinea pig	10141	NW_026947489.1:74601178-74658388	+	chr Un	PROTEIN_CODING	XM_063251018.1	transcript variant X2	4424	XM_063251018.1:1033-4113	XP_063107088.1	isoform X2	1026	integrin alpha-E
100731011	Itgae	integrin subunit alpha E	Cavia porcellus	domestic guinea pig	10141	NW_026947489.1:74601178-74658388	+	chr Un	PROTEIN_CODING	XM_013152276.3	transcript variant X1	3855	XM_013152276.3:158-3652	XP_013007730.1	isoform X1	1164	integrin alpha-E
100772578	Itgae	integrin subunit alpha E	Cricetulus griseus	Chinese hamster	10029	NW_003614665.1:446285-492825;NC_048600.1:86870098-86915719	-;+	chr 7	PROTEIN_CODING	XM_035460304.1	transcript variant X1	3661	XM_035460304.1:1-3474	XP_035316195.1	isoform X1	1157	integrin alpha-E
100772578	Itgae	integrin subunit alpha E	Cricetulus griseus	Chinese hamster	10029	NW_003614665.1:446285-492825;NC_048600.1:86870098-86915719	-;+	chr 7	PROTEIN_CODING	XM_035448129.1	transcript variant X2	3667	XM_035448129.1:1-3480	XP_035304020.1	isoform X2	1159	integrin alpha-E
100964721	ITGAE	integrin subunit alpha E	Otolemur garnettii	small-eared galago	30611	NW_003852540.1:2083547-2157413	+	chr Un	PROTEIN_CODING	XM_023518703.1		3605	XM_023518703.1:1-3408	XP_023374471.1		1135	integrin alpha-E
100987622	ITGAE	integrin subunit alpha E	Pan paniscus	pygmy chimpanzee	9597	NC_073268.2:11325204-11410344	-	chr 19	PROTEIN_CODING	XM_055101598.2		3822	XM_055101598.2:1-3603	XP_054957573.2		1200	integrin alpha-E
101008589	ITGAE	integrin subunit alpha E	Papio anubis	olive baboon	9555	NC_044992.1:3357745-3439857	-	chr 17	PROTEIN_CODING	XM_021928547.2		3930	XM_021928547.2:109-3708	XP_021784239.2		1199	LOW QUALITY PROTEIN: integrin alpha-E
101037281	ITGAE	integrin subunit alpha E	Saimiri boliviensis	Bolivian squirrel monkey	27679	NW_024100930.1:22556862-22643921	-	chr Un	PROTEIN_CODING	XM_039476235.1		4230	XM_039476235.1:1-4023	XP_039332169.1		1340	integrin alpha-E
101110688	ITGAE	integrin subunit alpha E	Ovis aries	sheep	9940	NC_056064.1:24270449-24332163	-	chr 11	PROTEIN_CODING	XM_060395331.1	transcript variant X3	5093	XM_060395331.1:33-3437	XP_060251314.1	isoform X3	1134	integrin alpha-E
101110688	ITGAE	integrin subunit alpha E	Ovis aries	sheep	9940	NC_056064.1:24270449-24332163	-	chr 11	PROTEIN_CODING	XM_004013265.6	transcript variant X2	5204	XM_004013265.6:33-3548	XP_004013314.3	isoform X2	1171	integrin alpha-E
101110688	ITGAE	integrin subunit alpha E	Ovis aries	sheep	9940	NC_056064.1:24270449-24332163	-	chr 11	PROTEIN_CODING	XM_042255526.2	transcript variant X1	5231	XM_042255526.2:12-3575	XP_042111460.2	isoform X1	1187	integrin alpha-E
101284567	ITGAE	integrin subunit alpha E	Orcinus orca	killer whale	9733	NC_064577.1:9047786-9121667	-	chr 19	PROTEIN_CODING	XM_012532043.3		9189	XM_012532043.3:91-3615	XP_012387497.2		1174	integrin alpha-E
101327009	ITGAE	integrin subunit alpha E	Tursiops truncatus	common bottlenose dolphin	9739	NC_047053.1:11610828-11679373	+	chr 20	PROTEIN_CODING	XM_033847972.1		3809	XM_033847972.1:59-3580	XP_033703863.1		1173	integrin alpha-E
101343772	ITGAE	integrin subunit alpha E	Trichechus manatus latirostris	Florida manatee	127582	NW_004443976.1:15995304-16039135	+	chr Un	PROTEIN_CODING	XM_023730999.1		5466	XM_023730999.1:1-4578	XP_023586767.1		1525	integrin alpha-E
101362123	ITGAE	integrin subunit alpha E	Odobenus rosmarus divergens	Pacific walrus	9708	NW_004451366.1:254925-300711	+	chr Un	PROTEIN_CODING	XM_012567940.1		3522	XM_012567940.1:1-3522	XP_012423394.1		1173	integrin alpha-E
101392371	LOC101392371	integrin subunit alpha E	Ceratotherium simum simum	southern white rhinoceros	73337	NW_004454199.1:14121173-14182319	+	chr Un	PROTEIN_CODING	XM_014789664.1	transcript variant X2	3685	XM_014789664.1:81-3482	XP_014645150.1	isoform X2	1133	integrin alpha-E
101392371	LOC101392371	integrin subunit alpha E	Ceratotherium simum simum	southern white rhinoceros	73337	NW_004454199.1:14121173-14182319	+	chr Un	PROTEIN_CODING	XM_004433437.2	transcript variant X1	3779	XM_004433437.2:79-3576	XP_004433494.1	isoform X1	1165	integrin alpha-E
101447850	ITGAE	integrin subunit alpha E	Dasypus novemcinctus	nine-banded armadillo	9361	NC_080693.1:28868021-28957921	+	chr 21	PROTEIN_CODING	XM_058283749.1		12982	XM_058283749.1:782-4324	XP_058139732.1		1180	LOW QUALITY PROTEIN: integrin alpha-E
101534411	ITGAE	integrin subunit alpha E	Ochotona princeps	American pika	9978	NC_080848.1:39902415-39953838	-	chr 17	PROTEIN_CODING	XM_058676456.1		4796	XM_058676456.1:147-4796	XP_058532439.1		1549	integrin alpha-E
101554996	ITGAE	integrin subunit alpha E	Sorex araneus	European shrew	42254	NC_073304.1:189942820-190019964	+	chr 3	PROTEIN_CODING	XM_055132213.1		3786	XM_055132213.1:1-3621	XP_054988188.1		1206	LOW QUALITY PROTEIN: integrin alpha-E
101587859	Itgae	integrin subunit alpha E	Octodon degus	degu	10160	NW_004524674.1:412972-467495	-	chr Un	PROTEIN_CODING	XM_023723409.1		3817	XM_023723409.1:1-3429	XP_023579177.1		1142	integrin alpha-E
101595719	Itgae	integrin subunit alpha E	Jaculus jaculus	lesser Egyptian jerboa	51337	NC_059110.1:77496539-77566432	-	chr 9	PROTEIN_CODING	XM_012952196.2		3716	XM_012952196.2:1-3495	XP_012807650.2		1164	integrin alpha-E
101629542	ITGAE	integrin subunit alpha E	Condylura cristata	star-nosed mole	143302	NW_004567118.1:31950006-32005170	+	chr Un	PROTEIN_CODING	XM_012726094.1		3447	XM_012726094.1:1-3447	XP_012581548.1		1148	integrin alpha-E
101662305	ITGAE	integrin subunit alpha E	Echinops telfairi	small Madagascar hedgehog	9371	NW_022105908.1:24476013-24536852	+	chr Un	PROTEIN_CODING	XM_045293337.1		3713	XM_045293337.1:1-3510	XP_045149272.1		1169	integrin alpha-E
101672455	ITGAE	integrin subunit alpha E	Mustela putorius furo	domestic ferret	9669	NW_025421501.1:3716857-3781700	+	chr Un	PROTEIN_CODING	XR_006608246.1	transcript variant X2	5731					
101672455	ITGAE	integrin subunit alpha E	Mustela putorius furo	domestic ferret	9669	NW_025421501.1:3716857-3781700	+	chr Un	PROTEIN_CODING	XM_004781946.3	transcript variant X1	5223	XM_004781946.3:1514-5017	XP_004782003.1		1167	integrin alpha-E
101725202	Itgae	integrin subunit alpha E	Heterocephalus glaber	naked mole-rat	10181	NW_004624786.1:6354344-6425240	-	chr Un	PROTEIN_CODING	XM_021238132.1	transcript variant X3	3673	XM_021238132.1:57-3401	XP_021093791.1	isoform X3	1114	integrin alpha-E
101725202	Itgae	integrin subunit alpha E	Heterocephalus glaber	naked mole-rat	10181	NW_004624786.1:6354344-6425240	-	chr Un	PROTEIN_CODING	XM_021238131.1	transcript variant X2	3784	XM_021238131.1:57-3512	XP_021093790.1	isoform X2	1151	integrin alpha-E
101725202	Itgae	integrin subunit alpha E	Heterocephalus glaber	naked mole-rat	10181	NW_004624786.1:6354344-6425240	-	chr Un	PROTEIN_CODING	XM_021238130.1	transcript variant X1	3880	XM_021238130.1:57-3608	XP_021093789.1	isoform X1	1183	integrin alpha-E
101796447	ITGAE	integrin subunit alpha E	Anas platyrhynchos	mallard	8839	NC_051791.1:4158737-4190604	-	chr 20	PROTEIN_CODING	XM_005023105.4	transcript variant X2	6029	XM_005023105.4:1160-5335	XP_005023162.3	isoform X2	1391	integrin alpha-E
101796447	ITGAE	integrin subunit alpha E	Anas platyrhynchos	mallard	8839	NC_051791.1:4158737-4190604	-	chr 20	PROTEIN_CODING	XM_013102982.3	transcript variant X1	6038	XM_013102982.3:1160-5344	XP_012958436.3	isoform X1	1394	integrin alpha-E
101833398	Itgae	integrin subunit alpha E	Mesocricetus auratus	golden hamster	10036	NW_024429191.1:51942674-51998974	+	chr Un	PROTEIN_CODING	XM_040749100.1		3720	XM_040749100.1:38-3535	XP_040605034.1		1165	integrin alpha-E
101880961	LOC101880961	integrin subunit alpha E	Melopsittacus undulatus	budgerigar	13146	NC_047539.1:8938929-8965970	-	chr 13	PROTEIN_CODING	XM_034068964.1		4085	XM_034068964.1:1-3999	XP_033924855.1		1332	integrin alpha-E
101952961	ITGAE	integrin subunit alpha E	Chrysemys picta	Painted turtle	8479	NW_024885741.1:19495799-19561682	-	chr Un	PROTEIN_CODING	XM_042858089.1		6029	XM_042858089.1:1-4353	XP_042714023.1		1450	integrin alpha-E
101978240	Itgae	integrin subunit alpha E	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NW_024405602.1:55450241-55508679	+	chr Un	PROTEIN_CODING	XM_021734565.2	transcript variant X2	3992	XM_021734565.2:216-3710	XP_021590240.1	isoform X1	1164	integrin alpha-E
101978240	Itgae	integrin subunit alpha E	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NW_024405602.1:55450241-55508679	+	chr Un	PROTEIN_CODING	XM_040269536.1	transcript variant X1	3933	XM_040269536.1:157-3651	XP_040125470.1	isoform X1	1164	integrin alpha-E
101978240	Itgae	integrin subunit alpha E	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NW_024405602.1:55450241-55508679	+	chr Un	PROTEIN_CODING	XM_040269537.1	transcript variant X4	3822	XM_040269537.1:157-3540	XP_040125471.1	isoform X3	1127	integrin alpha-E
101978240	Itgae	integrin subunit alpha E	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NW_024405602.1:55450241-55508679	+	chr Un	PROTEIN_CODING	XM_021734566.2	transcript variant X3	3837	XM_021734566.2:157-3555	XP_021590241.1	isoform X2	1132	integrin alpha-E
101978240	Itgae	integrin subunit alpha E	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NW_024405602.1:55450241-55508679	+	chr Un	PROTEIN_CODING	XM_021734567.2	transcript variant X6	3741	XM_021734567.2:157-3459	XP_021590242.1	isoform X5	1100	integrin alpha-E
101978240	Itgae	integrin subunit alpha E	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NW_024405602.1:55450241-55508679	+	chr Un	PROTEIN_CODING	XM_040269538.1	transcript variant X5	3792	XM_040269538.1:157-3510	XP_040125472.1	isoform X4	1117	integrin alpha-E
101978240	Itgae	integrin subunit alpha E	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NW_024405602.1:55450241-55508679	+	chr Un	PROTEIN_CODING	XM_040269539.1	transcript variant X7	3343	XM_040269539.1:239-3061	XP_040125473.1	isoform X6	940	integrin alpha-E
102000782	Itgae	integrin subunit alpha E	Microtus ochrogaster	prairie vole	79684	NC_022014.1:25802534-25849506	-	chr 7	PROTEIN_CODING	XM_005350273.2		3744	XM_005350273.2:1-3588	XP_005350330.1		1195	integrin alpha-E
102018705	Itgae	integrin subunit alpha E	Chinchilla lanigera	long-tailed chinchilla	34839	NW_004955467.1:13052920-13112896	+	chr Un	PROTEIN_CODING	XM_013522229.1	transcript variant X1	3257	XM_013522229.1:67-3231	XP_013377683.1	isoform X1	1054	integrin alpha-E
102018705	Itgae	integrin subunit alpha E	Chinchilla lanigera	long-tailed chinchilla	34839	NW_004955467.1:13052920-13112896	+	chr Un	PROTEIN_CODING	XM_005399709.2	transcript variant X3	4437	XM_005399709.2:64-3567	XP_005399766.1	isoform X3	1167	integrin alpha-E
102018705	Itgae	integrin subunit alpha E	Chinchilla lanigera	long-tailed chinchilla	34839	NW_004955467.1:13052920-13112896	+	chr Un	PROTEIN_CODING	XM_013522230.1	transcript variant X2	3166	XM_013522230.1:33-3140	XP_013377684.1	isoform X2	1035	integrin alpha-E
102083840	ITGAE	integrin subunit alpha E	Columba livia	rock pigeon	8932	NW_004973261.1:4032958-4060937	+	chr Un	PROTEIN_CODING	XM_013366850.2		5733	XM_013366850.2:945-5084	XP_013222304.1		1379	integrin alpha-E
102128361	ITGAE	integrin subunit alpha E	Macaca fascicularis	crab-eating macaque	9541	NC_052270.1:73784911-73871231	+	chr 16	PROTEIN_CODING	XM_045375608.1		3840	XM_045375608.1:28-3621	XP_045231543.1		1197	integrin alpha-E
102179809	ITGAE	integrin subunit alpha E	Capra hircus	goat	9925	NC_030826.1:24198191-24258647	-	chr 19	PROTEIN_CODING	XM_013972207.2	transcript variant X2	3843	XM_013972207.2:83-3598	XP_013827661.2	isoform X2	1171	integrin alpha-E
102179809	ITGAE	integrin subunit alpha E	Capra hircus	goat	9925	NC_030826.1:24198191-24258647	-	chr 19	PROTEIN_CODING	XM_013972206.2	transcript variant X1	3809	XM_013972206.2:1-3564	XP_013827660.2	isoform X1	1187	integrin alpha-E
102240236	ITGAE	integrin subunit alpha E	Myotis brandtii	Brandt's bat	109478	NW_005360846.1:693851-755083	+	chr Un	PROTEIN_CODING	XM_014541935.1		3903	XM_014541935.1:31-3636	XP_014397421.1		1201	integrin alpha-E
102287853	ITGAE	integrin subunit alpha E	Bos mutus	wild yak	72004	NW_005395309.1:1266787-1310157	+	chr Un	PROTEIN_CODING	XM_005906709.2		3723	XM_005906709.2:1-3492	XP_005906771.1		1163	integrin alpha-E
102372914	ITGAE	integrin subunit alpha E	Alligator sinensis	Chinese alligator	38654	NW_005842608.1:745150-779122	-	chr Un	PROTEIN_CODING	XM_025214830.1		4606	XM_025214830.1:116-3763	XP_025070615.1		1215	integrin alpha-E
102400540	ITGAE	integrin subunit alpha E	Bubalus bubalis	water buffalo	89462	NC_059159.1:38640773-38701419	+	chr 3	PROTEIN_CODING	XM_006079695.4		3859	XM_006079695.4:111-3626	XP_006079757.1		1171	integrin alpha-E
102423952	ITGAE	integrin subunit alpha E	Myotis lucifugus	little brown bat	59463	NW_005871687.1:360304-393058	-	chr Un	PROTEIN_CODING	XM_006105146.3		2620	XM_006105146.3:1-2343	XP_006105208.1		780	integrin alpha-E
102459695	ITGAE	integrin subunit alpha E	Pelodiscus sinensis	Chinese soft-shelled turtle	13735	NW_005871025.1:10094303-10148931	-	chr Un	PROTEIN_CODING	XM_025179286.1		4173	XM_025179286.1:265-4137	XP_025035071.1		1290	integrin alpha-E
102476205	ITGAE	integrin subunit alpha E	Tupaia chinensis	Chinese tree shrew	246437	NW_006204759.1:3957370-4041896	-	chr Un	PROTEIN_CODING	XM_027767887.1	transcript variant X2	3706	XM_027767887.1:93-3527	XP_027623688.1	isoform X2	1144	integrin alpha-E
102476205	ITGAE	integrin subunit alpha E	Tupaia chinensis	Chinese tree shrew	246437	NW_006204759.1:3957370-4041896	-	chr Un	PROTEIN_CODING	XM_027767889.1	transcript variant X4	3592	XM_027767889.1:93-3413	XP_027623690.1	isoform X4	1106	integrin alpha-E
102476205	ITGAE	integrin subunit alpha E	Tupaia chinensis	Chinese tree shrew	246437	NW_006204759.1:3957370-4041896	-	chr Un	PROTEIN_CODING	XM_027767888.1	transcript variant X3	3673	XM_027767888.1:93-3494	XP_027623689.1	isoform X3	1133	integrin alpha-E
102476205	ITGAE	integrin subunit alpha E	Tupaia chinensis	Chinese tree shrew	246437	NW_006204759.1:3957370-4041896	-	chr Un	PROTEIN_CODING	XM_027767886.1	transcript variant X1	3784	XM_027767886.1:93-3605	XP_027623687.1	isoform X1	1170	integrin alpha-E
102514487	ITGAE	integrin subunit alpha E	Camelus ferus	Wild Bactrian camel	419612	NC_045711.1:1168758-1219093	+	chr 16	PROTEIN_CODING	XM_032498040.1		3833	XM_032498040.1:87-3605	XP_032353931.1		1172	integrin alpha-E
102546106	ITGAE	integrin subunit alpha E	Vicugna pacos	alpaca	30538	NW_021964189.1:4065546-4118293	+	chr 16	PROTEIN_CODING	XM_006213368.3		3539	XM_006213368.3:120-3311	XP_006213430.1		1063	integrin alpha-E
102563449	ITGAE	integrin subunit alpha E	Alligator mississippiensis	American alligator	8496	NC_081837.1:2317037-2343216	+	chr 14	PROTEIN_CODING	XM_059717508.1		5067	XM_059717508.1:36-4235	XP_059573491.1		1399	integrin alpha-E
102745504	ITGAE	integrin subunit alpha E	Leptonychotes weddellii	Weddell seal	9713	NW_006385282.1:182693-243038	-	chr Un	PROTEIN_CODING	XM_031017103.1		3773	XM_031017103.1:66-3563	XP_030872963.1		1165	LOW QUALITY PROTEIN: integrin alpha-E
102760050	ITGAE	integrin subunit alpha E	Myotis davidii		225400	NW_006289391.1:760554-806910	+	chr Un	PROTEIN_CODING	XM_006761503.2		3896	XM_006761503.2:1-3630	XP_006761566.1		1209	integrin alpha-E
102841981	ITGAE	integrin subunit alpha E	Chrysochloris asiatica	Cape golden mole	185453	NW_006408572.1:4819138-4915807	-	chr Un	PROTEIN_CODING	XM_006863472.1		4482	XM_006863472.1:1-4482	XP_006863534.1		1493	integrin alpha-E
102859131	ITGAE	integrin subunit alpha E	Elephantulus edwardii	Cape elephant shrew	28737	NW_006400017.1:254123-363523	-	chr Un	PROTEIN_CODING	XM_006899791.1		4962	XM_006899791.1:1-4962	XP_006899853.1		1653	integrin alpha-E
102880291	ITGAE	integrin subunit alpha E	Pteropus alecto	black flying fox	9402	NW_006442497.1:389053-447108	-	chr Un	PROTEIN_CODING	XM_006922207.3		5406	XM_006922207.3:65-3553	XP_006922269.1		1162	integrin alpha-E
102924811	Itgae	integrin subunit alpha E	Peromyscus maniculatus bairdii	prairie deer mouse	230844	NC_056015.1:58266325-58314846	+	chr 8	PROTEIN_CODING	XM_006992215.3		3748	XM_006992215.3:89-3562	XP_006992277.1		1157	integrin alpha-E
102962201	ITGAE	integrin subunit alpha E	Panthera tigris	tiger	9694	NC_056673.1:13162084-13227212	+	chr E1	PROTEIN_CODING	XR_006210971.1	transcript variant X7	3679					
102962201	ITGAE	integrin subunit alpha E	Panthera tigris	tiger	9694	NC_056673.1:13162084-13227212	+	chr E1	PROTEIN_CODING	XR_006210970.1	transcript variant X2	5686					
102962201	ITGAE	integrin subunit alpha E	Panthera tigris	tiger	9694	NC_056673.1:13162084-13227212	+	chr E1	PROTEIN_CODING	XM_042965550.1	transcript variant X4	5373	XM_042965550.1:368-3805	XP_042821484.1	isoform X3	1145	integrin alpha-E
102962201	ITGAE	integrin subunit alpha E	Panthera tigris	tiger	9694	NC_056673.1:13162084-13227212	+	chr E1	PROTEIN_CODING	XM_042965552.1	transcript variant X6	3843	XM_042965552.1:368-3763	XP_042821486.1	isoform X5	1131	integrin alpha-E
102962201	ITGAE	integrin subunit alpha E	Panthera tigris	tiger	9694	NC_056673.1:13162084-13227212	+	chr E1	PROTEIN_CODING	XM_042965549.1	transcript variant X1	5477	XM_042965549.1:367-3909	XP_042821483.1	isoform X1	1180	integrin alpha-E
102962201	ITGAE	integrin subunit alpha E	Panthera tigris	tiger	9694	NC_056673.1:13162084-13227212	+	chr E1	PROTEIN_CODING	XM_042965551.1	transcript variant X5	5336	XM_042965551.1:367-3768	XP_042821485.1	isoform X4	1133	integrin alpha-E
102962201	ITGAE	integrin subunit alpha E	Panthera tigris	tiger	9694	NC_056673.1:13162084-13227212	+	chr E1	PROTEIN_CODING	XM_007076165.2	transcript variant X3	5423	XM_007076165.2:367-3855	XP_007076227.1	isoform X2	1162	integrin alpha-E
102988883	ITGAE	integrin subunit alpha E	Physeter catodon	sperm whale	9755	NW_021146017.1:154-42046	+	chr Un	PROTEIN_CODING	XM_028486204.1		3927	XM_028486204.1:2-3706	XP_028342005.1		1234	integrin alpha-E
