Gene_description	GC_content	GC_Stretch
ENSGALG00010024264|AMER3|2946	51.87	3.89570552147239
ENSGALG00010004855|ZEB1|3348	43.85	3.55963302752294
ENSGALG00010019675|MAFK|711	59.07	4.47916666666667
ENSGALG00010024259|ATP5L|321	59.81	4.43478260869565
ENSGALG00010005016|STX11|867	43.71	3.43333333333333
ENSGALG00010009643|PSMC2|1302	48.16	3.59016393442623
ENSGALG00010023454|HOXB1|933	62.59	5.02739726027397
ENSGALG00010005999|PDE10A|2334	43.23	3.46575342465753
ENSGALG00010023638|DCTN2|1140	61.40	4.25925925925926
ENSGALG00010027664|TREMB1|1260	45.63	3.53658536585366
ENSGALG00010018983|MDGA2|2919	55.12	4.12021857923497
ENSGALG00010015188|SULT1C3|924	42.53	3.48275862068966
ENSGALG00010014812|RWDD1|342	44.74	3.33333333333333
ENSGALG00010008343|TNFRSF21|1971	59.01	4.26470588235294
ENSGALG00010027402|AP4B1|1605	54.33	3.63541666666667
ENSGALG00010002628|TRIM7.2|1497	64.73	4.91056910569106
ENSGALG00010024658|CSF3|786	69.85	5.27272727272727
ENSGALG00010021080|TTLL7|2103	41.08	3.40845070422535
ENSGALG00010029599|RNF43|2478	62.63	4.15165876777251
ENSGALG00010001898|LHPP|897	56.19	4.40350877192982
ENSGALG00010025426|SMARCD3|1335	47.87	3.64406779661017
ENSGALG00010010946|SH2D4B|1290	48.37	3.87719298245614
ENSGALG00010023453|ARHGAP32|6117	55.53	3.86445012787724
ENSGALG00010024212|RIMS4|813	55.47	3.92857142857143
ENSGALG00010014258||768	55.86	3.9811320754717
ENSGALG00010010880|ELP3|1728	51.62	3.56730769230769
ENSGALG00010018462|KTN1|4095	45.03	3.368
ENSGALG00010022237|SUN1|2568	42.48	3.37647058823529
ENSGALG00010026334||1389	44.78	3.46153846153846
ENSGALG00010021260|KDM4A|3177	50.58	3.76623376623377
ENSGALG00010013089|TBK1|2157	42.14	3.33846153846154
ENSGALG00010021718|SST7|537	61.45	3.87234042553191
ENSGALG00010009337|ZNF330|783	45.98	3.44117647058824
ENSGALG00010020732|ARIH2|408	48.28	3.44444444444444
ENSGALG00010012011|HOOK3|2058	42.57	3.38709677419355
ENSGALG00010028162|CARD9|1806	54.21	3.92857142857143
ENSGALG00010021774|FBXL20|1284	56.54	3.98765432098765
ENSGALG00010002376|GEN1|2865	41.05	3.29166666666667
ENSGALG00010025103|GSK3A|1266	49.05	3.91228070175439
ENSGALG00010026697|CHN1|1380	44.06	3.48076923076923
ENSGALG00010009125|CD72L1|1104	60.05	3.83516483516484
ENSGALG00010007187|ENPP6|1074	51.21	3.67692307692308
ENSGALG00010015558|MPP1|1386	54.62	4.07142857142857
ENSGALG00010018713||1389	50.97	4.56716417910448
ENSGALG00010017734|TOP3A|3168	50.19	3.72222222222222
ENSGALG00010020582|KANSL3|3333	60.01	3.90909090909091
ENSGALG00010026362|GGT2|1563	48.11	3.56164383561644
ENSGALG00010000302||423	70.92	5.34090909090909
ENSGALG00010028863|EDQM1|450	63.33	3.7741935483871
ENSGALG00010016535|BNC2|3204	47.44	3.49645390070922
ENSGALG00010019617|ANO3|3090	42.30	3.28571428571429
ENSGALG00010027929|CDK5RAP2|5775	42.11	3.45333333333333
ENSGALG00010021124|CALHM2|1038	57.23	3.96153846153846
ENSGALG00010017403|ITGA11|3447	56.51	3.98611111111111
ENSGALG00010025809||1335	63.30	4.25925925925926
ENSGALG00010013878|ARID2|5574	44.96	3.58974358974359
ENSGALG00010011467||2892	42.50	3.59895833333333
ENSGALG00010027185|ATRIP|2469	53.54	4.63114754098361
ENSGALG00010011546|MAOA|1599	48.03	3.74666666666667
ENSGALG00010026731||1530	56.14	3.79381443298969
ENSGALG00010006323|ANAPC10|675	41.33	3.44444444444444
ENSGALG00010020307|SHQ1|1746	43.36	3.35185185185185
ENSGALG00010024671|KCTD20|1287	46.70	3.78723404255319
ENSGALG00010004968|TRAT1|528	41.29	3.52631578947368
ENSGALG00010016946|TAF1|5583	48.33	3.83070866141732
ENSGALG00010029391|ARSG|1806	62.02	4.16025641025641
ENSGALG00010002504|USP9Y|7659	41.91	3.46913580246914
ENSGALG00010011653|NR2C1|1920	45.36	3.52702702702703
ENSGALG00010016702|WDR25|1536	42.38	3.34782608695652
ENSGALG00010005943|PROX2|2013	61.00	4
ENSGALG00010023251||858	44.17	3.5625
ENSGALG00010021133||6159	51.31	3.58357771260997
ENSGALG00010009237|DENND3|3693	42.16	3.48623853211009
ENSGALG00010001313|EMILIN2|3147	47.54	3.81021897810219
ENSGALG00010012226|SLCO4C1|2037	43.84	3.86666666666667
ENSGALG00010028056|SLC25A25|1476	52.17	3.66666666666667
ENSGALG00010024803|CLK1|1125	45.42	3.85
ENSGALG00010002551|WDR35|3375	41.57	3.3921568627451
ENSGALG00010001873||669	66.82	5.26666666666667
ENSGALG00010014018|DPYSL3|1743	55.71	3.95726495726496
ENSGALG00010019334|ATL1|1719	54.51	4.20879120879121
ENSGALG00010028770||366	68.85	5.38709677419355
ENSGALG00010014166|FGF12|621	48.31	3.43243243243243
ENSGALG00010005366|AUP1|1302	60.91	4.625
ENSGALG00010013453|PUM1|3564	53.87	3.72767857142857
ENSGALG00010016733|PHC3|2952	47.73	3.5
ENSGALG00010022050||2178	77.27	5.90254237288136
ENSGALG00010002619|RAB6A|660	46.67	3.78571428571429
ENSGALG00010005408|APBB1IP|1554	43.69	3.66666666666667
ENSGALG00010024581|RARA|1473	65.65	5.00819672131148
ENSGALG00010009571|DNAJC2|1860	40.86	3.87234042553191
ENSGALG00010008347|PUF60|1821	53.21	3.72815533980583
ENSGALG00010008674|RXFP1|2220	39.64	3.3125
ENSGALG00010013494|ASB1|1071	58.73	4.16438356164384
ENSGALG00010021478|SLC13A3|1713	50.55	4.13636363636364
ENSGALG00010023223|CEP164|3558	50.14	3.45390070921986
ENSGALG00010009250|ERO1B|1392	43.89	4.22
ENSGALG00010025959|UROD|1392	60.20	4.28571428571429
ENSGALG00010008991||666	69.67	5.10606060606061
ENSGALG00010009057|NXNL2|501	57.29	4.43333333333333
ENSGALG00010024353|UMOD|1257	55.61	3.75641025641026
ENSGALG00010017460|SERPINA10|1227	35.53	3.25
ENSGALG00010011049|ABL2|3405	53.83	3.65533980582524
ENSGALG00010014797|ZDHHC9|1071	56.49	3.82666666666667
ENSGALG00010027254|INSR|4062	54.58	4.01550387596899
ENSGALG00010029543|NSUN5|1473	62.25	4.47787610619469
ENSGALG00010004958|TPD52L1|723	46.89	3.61764705882353
ENSGALG00010012048|PDE6H|402	47.51	3.5
ENSGALG00010013123|PPFIBP1|2919	45.80	3.50909090909091
ENSGALG00010004241|PREX2|4728	43.00	3.48666666666667
ENSGALG00010028115|CACTIN|2211	61.15	4.29651162790698
ENSGALG00010003724||1089	66.39	3.72297297297297
ENSGALG00010008032|PUM2|3168	47.10	3.46153846153846
ENSGALG00010011099|CCBE1|1146	55.41	4.41791044776119
ENSGALG00010010844|CDC14B|1320	42.27	3.88372093023256
ENSGALG00010029413|B3GNTL1|498	42.17	3
ENSGALG00010017843|WHSC1L1|1875	46.93	3.5952380952381
ENSGALG00010019337|XPO1|363	42.70	3.44444444444444
ENSGALG00010013168|DSCR3|894	45.30	3.62857142857143
ENSGALG00010023276|ABCC8|4332	44.76	3.43396226415094
ENSGALG00010024504|CASC3|1758	61.04	4.48888888888889
ENSGALG00010026388|SNRPD3|645	61.09	5.17021276595745
ENSGALG00010019215||1668	58.75	4.88775510204082
ENSGALG00010020342|CPPED1|1068	46.82	4.19047619047619
ENSGALG00010020944|MYO5A|5553	45.45	3.55924170616114
ENSGALG00010002616|ZNF692|2076	61.75	4.8625
ENSGALG00010000092|INPPL1|2397	63.70	5
ENSGALG00010025654|CRTAM|1281	46.92	3.51162790697674
ENSGALG00010007699|SLC39A6|2037	43.30	3.36619718309859
ENSGALG00010010740|CCDC134|720	57.08	4.23404255319149
ENSGALG00010021432|SYT9|1575	45.90	3.765625
ENSGALG00010018462|KTN1|4020	45.27	3.368
ENSGALG00010008394|CD2AP|1833	46.15	3.69014084507042
ENSGALG00010014539|PAIP1|1116	39.87	3.19230769230769
ENSGALG00010010220|LHX9|945	54.39	3.921875
ENSGALG00010013493||552	51.09	3.83333333333333
ENSGALG00010023861|SLC2A11L5|1428	46.57	3.45454545454545
ENSGALG00010025974|EEF1B2|675	47.70	4.42857142857143
ENSGALG00010021144|FOXK1|1974	57.19	4.62903225806452
ENSGALG00010002419|CTBP2|1353	59.94	4.17592592592593
ENSGALG00010003229|STIM1|2121	62.28	4.51315789473684
ENSGALG00010003166|PGAP2|876	55.94	3.79591836734694
ENSGALG00010014083|NIPSNAP3A|753	51.66	4.09090909090909
ENSGALG00010025172|RBP1|378	38.89	3.28571428571429
ENSGALG00010017393|VDAC1|852	45.19	3.3448275862069
ENSGALG00010004689|BBX|2622	44.32	3.48076923076923
ENSGALG00010023293|COL11A1|5346	51.95	3.81781376518219
ENSGALG00010002925|INTS6|2451	42.84	3.5421686746988
ENSGALG00010026458|DLEC1|5007	46.79	3.47368421052632
ENSGALG00010015887|SLC9A9|1815	41.54	3.34615384615385
ENSGALG00010005231||960	60.42	4.09859154929577
ENSGALG00010009328||1518	47.56	4.47619047619048
ENSGALG00010020291|SNX29|339	41.00	3.14285714285714
ENSGALG00010029611|YWHAG|741	57.76	4.1
ENSGALG00010005232|GATA3|1335	57.30	4.06185567010309
ENSGALG00010023184|SMARCD1|1680	58.10	5.52525252525253
ENSGALG00010007698|ADAMTS18|3558	43.99	3.4070796460177
ENSGALG00010029579|GALNT17|1242	56.76	4.23684210526316
ENSGALG00010005520|ZIC2|1437	69.87	6.26605504587156
ENSGALG00010015643||366	55.74	4.05
ENSGALG00010005479||765	52.03	3.52380952380952
ENSGALG00010025265|TRIM42|1611	38.67	3.25531914893617
ENSGALG00010027624||1320	58.41	3.84090909090909
ENSGALG00010002084|HACL1|1599	46.09	3.6
ENSGALG00010009439|B3GALNT2|1398	48.00	3.82539682539683
ENSGALG00010005462|AHI1|3678	40.10	3.39393939393939
ENSGALG00010010828|SPDL1|1884	40.13	3.34883720930233
ENSGALG00010029747|TRPV3|2364	40.65	3.50793650793651
ENSGALG00010010223|NFAM1|951	45.32	3.46666666666667
ENSGALG00010022320|COL9A3|1974	59.32	3.93793103448276
ENSGALG00010016482|EML1|2355	44.37	3.51724137931034
ENSGALG00010010760|FOXI1|1128	47.52	3.35483870967742
ENSGALG00010003210|EYA1|1884	45.65	3.52325581395349
ENSGALG00010029172|LRRC45|1989	50.93	3.70212765957447
ENSGALG00010017888|MPLKIP|567	66.14	5.91666666666667
ENSGALG00010001308|MGMT|630	55.87	3.68085106382979
ENSGALG00010016338|PTPRU|4263	59.37	4.23024054982818
ENSGALG00010022522|TNS4|1932	68.17	4.49189189189189
ENSGALG00010027946|AP1M1|1275	41.18	3.41666666666667
ENSGALG00010004104|SCARB2|1446	45.02	3.62745098039216
ENSGALG00010005236|TMTC4|2202	42.19	3.44285714285714
ENSGALG00010017621|SYNE2|20844	42.97	3.47665056360709
ENSGALG00010005872|STK24|1305	41.76	3.28571428571429
ENSGALG00010007857||918	50.65	3.68292682926829
ENSGALG00010021038|PTGS2|1803	44.26	3.47058823529412
ENSGALG00010003258||447	57.27	4.63888888888889
ENSGALG00010028165|NFIC|1410	64.75	4.6
ENSGALG00010013165|NUDC|999	45.95	3.54285714285714
ENSGALG00010003960|ASPH|1227	42.71	3.87096774193548
ENSGALG00010028370|S100A12|360	53.89	3.53333333333333
ENSGALG00010024001||3141	47.85	3.52238805970149
ENSGALG00010005561|CLYBL|1122	48.48	4.06896551724138
ENSGALG00010022540|GPR146|996	46.99	3.7906976744186
ENSGALG00010020713|SCTR|1530	49.93	3.4320987654321
ENSGALG00010012538|RAP1B|564	38.48	3.11111111111111
ENSGALG00010029930|ARHGAP44|2388	64.07	4.6968085106383
ENSGALG00010005182|NEPRO|1305	47.20	3.56140350877193
ENSGALG00010022932|OPCML|1014	58.68	4.17333333333333
ENSGALG00010014120|SOX5|2205	51.11	3.58396946564885
ENSGALG00010019256|BBS9|2718	42.20	3.38461538461538
ENSGALG00010017215|FRMD7|2082	61.19	4.06508875739645
ENSGALG00010006592|STARD13|3192	47.24	3.44106463878327
ENSGALG00010016529|DCUN1D1|921	42.24	3.5
ENSGALG00010021045|DPP4|2352	41.07	3.52054794520548
ENSGALG00010015867||2025	46.42	3.6547619047619
ENSGALG00010022226|FBRSL1|3663	56.51	4.09019607843137
ENSGALG00010001703||2283	60.93	4.05988023952096
ENSGALG00010020362|CDS2|1296	47.15	3.44827586206897
ENSGALG00010019194||960	71.25	5.63829787234043
ENSGALG00010029514|MRPS23|555	55.14	4.47058823529412
ENSGALG00010013348|MKRN4P|1395	52.19	4.26086956521739
ENSGALG00010007230||2091	53.85	3.97333333333333
ENSGALG00010015515|BPIFCB|1446	44.54	3.5
ENSGALG00010027365|PLEKHA6|3459	63.11	4.47098976109215
ENSGALG00010010745|ATVR1|1626	48.89	3.60975609756098
ENSGALG00010010917|TANC1|5610	44.17	3.41489361702128
ENSGALG00010022929|LRP4|5691	50.92	3.65870307167235
ENSGALG00010008478||516	43.22	3.44444444444444
ENSGALG00010013502|PAFAH2|1329	62.00	4.44642857142857
ENSGALG00010029438||903	66.00	4.73809523809524
ENSGALG00010013412|COMMD7|546	51.28	4.875
ENSGALG00010024322|IDH3A|1029	44.51	3.60975609756098
ENSGALG00010022765|KRT12|1620	52.41	3.87096774193548
ENSGALG00010004641|METAP1|1158	45.77	3.75
ENSGALG00010011864||486	46.09	3.33333333333333
ENSGALG00010018829|PTPN4|2811	42.76	3.39
ENSGALG00010022885|M6PR|987	51.06	3.94623655913978
ENSGALG00010003303|MTHFD2L|768	51.04	4.72222222222222
ENSGALG00010006410|ADM2|516	70.74	4.96491228070175
ENSGALG00010022144|SNTA1|1737	66.61	4.96621621621622
ENSGALG00010017439|PPP4R4|2451	39.33	3.1864406779661
ENSGALG00010021755|MAP3K20|1446	43.85	3.51111111111111
ENSGALG00010001155|CYB5A|579	49.57	4.42857142857143
ENSGALG00010016584|EHBP1|3735	47.95	3.6583850931677
ENSGALG00010018452|SPSB3|1068	57.40	4
ENSGALG00010027976|LRSAM1|2088	50.81	3.6195652173913
ENSGALG00010015029|TFRC|2307	49.54	3.59433962264151
ENSGALG00010029615||978	48.36	3.75555555555556
ENSGALG00010023103|DGKD|3465	48.57	3.49090909090909
ENSGALG00010010810|GALT|672	64.14	4.18333333333333
ENSGALG00010008029|LY6E|747	63.45	4.6
ENSGALG00010007051|E2F3|546	46.34	3.45
ENSGALG00010018943|ACKR4|1191	42.23	3.48717948717949
ENSGALG00010028126|ZMYND10|1248	56.49	3.61728395061728
ENSGALG00010027513|SEMA3G|2223	63.29	4.51977401129944
ENSGALG00010027140|IL20|531	52.35	3.73076923076923
ENSGALG00010014953||1026	37.13	3.37037037037037
ENSGALG00010024482|USP3|1374	44.91	3.52941176470588
ENSGALG00010013544||3459	49.12	4.03589743589744
ENSGALG00010022834|CHRNA7|1563	45.55	3.5
ENSGALG00010012509|MICAL3|6759	48.90	3.52866242038217
ENSGALG00010003499||975	62.26	4.275
ENSGALG00010021002|SLC44A3|1950	42.77	3.43859649122807
ENSGALG00010020375|LRPPRC|4116	42.91	3.63358778625954
ENSGALG00010017531|SACM1L|1734	42.21	3.37254901960784
ENSGALG00010024535||2646	64.78	4.05490196078431
ENSGALG00010013242|SULT4A1|516	47.67	4.27272727272727
ENSGALG00010004928|HDDC2|576	43.92	3.21052631578947
ENSGALG00010001373|IMPA2|798	44.86	3.74074074074074
ENSGALG00010024572|CLDN18|1077	53.11	3.70422535211268
ENSGALG00010024693|ANXA2|1077	45.03	3.525
ENSGALG00010004623|MBIP|948	40.19	3.47619047619048
ENSGALG00010020569|DTX3L|1950	43.95	4.15714285714286
ENSGALG00010025473|PARS2|1341	62.86	4.31304347826087
ENSGALG00010012204|RIT2|594	44.44	3.5
ENSGALG00010025007|ZYG11A|2208	44.02	3.52112676056338
ENSGALG00010017356|NSMCE1|771	42.02	3.10714285714286
ENSGALG00010000708||546	50.55	3.28
ENSGALG00010008877|FNDC4|636	57.39	3.9
ENSGALG00010010837|RBPJ|1455	43.71	3.51724137931034
ENSGALG00010018502|ARHGEF10L|3741	59.05	3.96727272727273
ENSGALG00010014470|RPS6KA1|2226	50.81	3.63114754098361
ENSGALG00010029579|GALNT17|1089	57.02	4.26470588235294
ENSGALG00010001507|METTL4|1437	43.70	3.43181818181818
ENSGALG00010028692|RALGPS1|1761	42.93	3.46774193548387
ENSGALG00010006260|MAP3K4|4788	44.51	3.55555555555556
ENSGALG00010018530|FAM161A|2460	52.03	4.06569343065693
ENSGALG00010005011|CD163L|3039	54.20	3.71282051282051
ENSGALG00010025738|SOX13|1749	62.04	4.0979020979021
ENSGALG00010019130|RPS6KC1|3201	46.83	3.90756302521008
ENSGALG00010000146|ACADM|1080	67.04	5.05882352941176
ENSGALG00010027128|EIF2D|1797	49.42	3.61538461538462
ENSGALG00010027743|C1orf74|828	71.01	5.58571428571429
ENSGALG00010018466|DYSF|2805	57.61	4
ENSGALG00010023660|CRYBB1|657	61.34	4.05357142857143
ENSGALG00010001349|ING3|1242	43.48	3.46875
ENSGALG00010015487|RPS6KA6|2124	41.95	3.61194029850746
ENSGALG00010004034|NEDD8|378	66.67	5.48484848484848
ENSGALG00010005251|MTRF1L|1185	47.76	4.76923076923077
ENSGALG00010005483|FFAR2L7|1290	56.67	3.87096774193548
ENSGALG00010010810|GALT|864	64.00	4.14285714285714
ENSGALG00010029501||768	66.02	4.71232876712329
ENSGALG00010025005|HIP1R|3051	60.18	4.09722222222222
ENSGALG00010024057|HSD3B1|1206	52.07	3.71014492753623
ENSGALG00010024137||1743	62.19	3.99310344827586
ENSGALG00010011510||951	47.95	3.80851063829787
ENSGALG00010024977|LRP3|2358	47.96	3.54807692307692
ENSGALG00010014876|PCNT|12843	40.90	3.31316725978648
ENSGALG00010029430|FN3KRP|876	48.17	4.11904761904762
ENSGALG00010009360|TNFAIP8|657	40.64	3.5
ENSGALG00010029638|EPN3|1902	65.40	4.67052023121387
ENSGALG00010022518|ECHS1|999	65.17	4.97752808988764
ENSGALG00010001500||981	54.23	3.70491803278689
ENSGALG00010026972|TNNT3|747	49.26	3.61538461538462
ENSGALG00010003660|IGFBP7|840	66.19	5.73134328358209
ENSGALG00010029515|NPLOC4|1758	52.05	3.8021978021978
ENSGALG00010005309|ASXL3|6351	44.76	3.57709251101322
ENSGALG00010001424||936	53.63	3.63559322033898
ENSGALG00010006496|UBE2H|522	44.64	3.58823529411765
ENSGALG00010028540||453	58.72	3.93939393939394
ENSGALG00010020108|RPAP1|4317	49.39	3.44559585492228
ENSGALG00010026229|CRHR2|1377	46.62	3.90769230769231
ENSGALG00010008023|ATAD2|3960	44.34	3.5379746835443
ENSGALG00010017762|FBXO11|2529	42.35	3.49382716049383
ENSGALG00010010293||2169	40.02	3.23809523809524
ENSGALG00010020171|RRN3|1539	41.91	3.56862745098039
ENSGALG00010004746|LYN|1587	40.52	3.37777777777778
ENSGALG00010009608|AFAP1|2496	47.04	3.4954954954955
ENSGALG00010021691|PIGB|1062	41.05	3.27027027027027
ENSGALG00010018217||660	52.27	3.88571428571429
ENSGALG00010002825|TRIM41|1809	59.65	4.40650406504065
ENSGALG00010007962|ADCY8|3525	47.21	3.77777777777778
ENSGALG00010007993||1413	65.53	4.13194444444444
ENSGALG00010007903|PSMA2|495	43.84	3.7
ENSGALG00010021781|RAPGEF4|2835	43.14	3.54
ENSGALG00010005479||2469	48.08	3.45833333333333
ENSGALG00010009170|RPL26L1|501	50.70	3.96428571428571
ENSGALG00010019935||2520	62.78	4.61596958174905
ENSGALG00010026960|SEC61A1|1395	44.87	3.36666666666667
ENSGALG00010009323|RNF150|1299	55.20	4.51219512195122
ENSGALG00010029250|SPAG9|3957	46.75	3.65734265734266
ENSGALG00010012247|TRIM23|1602	46.00	3.78461538461538
ENSGALG00010012234|C1GALT1C1|957	46.29	3.86486486486486
ENSGALG00010005692|SEC24B|3705	45.10	3.86923076923077
ENSGALG00010024419|PGAP3|990	63.94	4.53246753246753
ENSGALG00010029322|BPTF|8835	42.94	3.45985401459854
ENSGALG00010024822|RPS26|480	65.62	5.07317073170732
ENSGALG00010017711|LRRFIP2|2118	41.97	3.53571428571429
ENSGALG00010016177||3147	50.75	3.93197278911565
ENSGALG00010000054|VPS33B|1854	57.77	4.4695652173913
ENSGALG00010021114|SBF2|5565	43.76	3.45177664974619
ENSGALG00010011885|NCALD|606	44.55	3.5
ENSGALG00010025080|BAZ2A|5469	68.70	5.19836400817996
ENSGALG00010006080||1917	74.02	5.92817679558011
ENSGALG00010027729|EPS8L3|1890	66.24	5.0125
ENSGALG00010006855|DCLK2|2337	49.72	4.16666666666667
ENSGALG00010008424|PPIP5K2|3309	41.89	3.42727272727273
ENSGALG00010013304|KCNJ15|1152	44.36	3.63157894736842
ENSGALG00010005467||2292	62.00	4.35028248587571
ENSGALG00010021439|ITPRIP|1650	49.88	3.5875
ENSGALG00010019223|AAMP|1272	59.98	4.14285714285714
ENSGALG00010005618|PHACTR2|1611	49.10	3.7012987012987
ENSGALG00010004728||2880	54.55	4.1453488372093
ENSGALG00010026229|CRHR2|1164	45.96	3.90566037735849
ENSGALG00010012110|FCHO2|1107	44.63	3.32432432432432
ENSGALG00010015989|ENAH|2424	50.74	3.94488188976378
ENSGALG00010005014|SULT1B1|879	57.91	4.04545454545455
ENSGALG00010027937|ALAD|1677	62.13	4.20689655172414
ENSGALG00010011991|CSNK1A1|978	46.52	3.79166666666667
ENSGALG00010024101|CNEP1R1|396	39.14	3.125
ENSGALG00010013271|GULP1|1104	41.12	3.27272727272727
ENSGALG00010013319||2409	49.65	3.63414634146341
ENSGALG00010020091|SUPT7L|1239	54.96	3.7125
ENSGALG00010011976|TNFRSF11A|2046	53.13	3.81967213114754
ENSGALG00010011019|NECAB1|1023	45.26	3.375
ENSGALG00010022481|CORO1B|1482	67.41	4.944
ENSGALG00010007758|DEK|1701	42.50	3.35294117647059
ENSGALG00010013672||3942	54.01	3.76363636363636
ENSGALG00010027984|ARHGAP45|3345	63.05	4.37867647058824
ENSGALG00010008066|PCNX2|6216	46.35	3.59607843137255
ENSGALG00010002940|BG1|1032	49.61	3.40425531914894
ENSGALG00010029419|RFC2|1080	47.04	3.86046511627907
ENSGALG00010009381|INPP4B|2754	43.57	3.5
ENSGALG00010017571|ADAM9|2400	50.42	3.80327868852459
ENSGALG00010014045|GOLT1B|957	56.84	4.68918918918919
ENSGALG00010015257|ISX|918	49.67	3.30434782608696
ENSGALG00010011480|BLTP3B|3888	40.72	3.41228070175439
ENSGALG00010027987|TMEM141|570	68.60	5.25
