Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
115856145,CXCL16,C-X-C motif chemokine ligand 16,Globicephala melas,long-finned pilot whale,XM_060290002.1,XP_060145985.1,,model,,default-seq
116746090,CXCL16,C-X-C motif chemokine ligand 16,Phocoena sinus,vaquita,XM_032617329.1,XP_032473220.1,,model,,default-seq
118887109,CXCL16,C-X-C motif chemokine ligand 16,Balaenoptera musculus,blue whale,XM_036837684.1,XP_036693579.1,,model,,default-seq
120866099,CXCL16,C-X-C motif chemokine ligand 16,Oryx dammah,scimitar-horned oryx,XM_040243594.1,XP_040099528.1,,model,,default-seq
122446404,CXCL16,C-X-C motif chemokine ligand 16,Cervus canadensis,,XM_043476610.1,XP_043332545.1,,model,,default-seq
122694622,CXCL16,C-X-C motif chemokine ligand 16,Cervus elaphus,red deer,XM_043903584.1,XP_043759519.1,,model,,default-seq
125114594,CXCL16,C-X-C motif chemokine ligand 16,Phacochoerus africanus,Common warthog,XM_047757964.1,XP_047613920.1,,model,,default-seq
128064687,CXCL16,C-X-C motif chemokine ligand 16,Budorcas taxicolor,takin,XM_052657578.1,XP_052513538.1,,model,,default-seq
129542481,CXCL16,C-X-C motif chemokine ligand 16,Moschus berezovskii,Chinese forest musk deer,XM_055404957.1,XP_055260932.1,,model,,default-seq
129651330,CXCL16,C-X-C motif chemokine ligand 16,Bubalus carabanensis,carabao,XM_055580071.1,XP_055436046.1,,model,,default-seq
130840148,CXCL16,C-X-C motif chemokine ligand 16,Hippopotamus amphibius kiboko,,XM_057715315.1,XP_057571298.1,,model,,default-seq
131746543,CXCL16,C-X-C motif chemokine ligand 16,Kogia breviceps,pygmy sperm whale,XM_059047998.1,XP_058903981.1,,model,,default-seq
132354606,CXCL16,C-X-C motif chemokine ligand 16,Balaenoptera ricei,Rice's whale,XM_059906481.1,XP_059762464.1,,model,,default-seq
132415189,CXCL16,C-X-C motif chemokine ligand 16,Delphinus delphis,saddleback dolphin,XM_059998401.1,XP_059854384.1,,model,,default-seq
132478429,CXCL16,C-X-C motif chemokine ligand 16,Mesoplodon densirostris,Blainville's beaked whale,XM_060081599.1,XP_059937582.1,,model,,default-seq
132511041,CXCL16,C-X-C motif chemokine ligand 16,Lagenorhynchus albirostris,white-beaked dolphin,XM_060133753.1,XP_059989736.1,,model,,default-seq
133057131,CXCL16,C-X-C motif chemokine ligand 16,Dama dama,fallow deer,XM_061143261.1,XP_060999244.1,,model,,default-seq
133079864,CXCL16,C-X-C motif chemokine ligand 16,Eubalaena glacialis,North Atlantic right whale,XM_061175569.1,XP_061031552.1,,model,,default-seq
133232029,CXCL16,C-X-C motif chemokine ligand 16,Bos javanicus,banteng,XM_061390941.1,XP_061246925.1,,model,,default-seq
