Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
110332426,Cxcl16,C-X-C motif chemokine ligand 16,Mus pahari,shrew mouse,XM_021213655.2,XP_021069314.1,,model,,default-seq
110557328,Cxcl16,C-X-C motif chemokine ligand 16,Meriones unguiculatus,Mongolian gerbil,XM_021651636.2,XP_021507311.1,,model,,default-seq
113177384,Cxcl16,C-X-C motif chemokine ligand 16,Urocitellus parryii,Arctic ground squirrel,XM_026381896.1,XP_026237681.1,,model,,default-seq
114080233,Cxcl16,C-X-C motif chemokine ligand 16,Marmota flaviventris,yellow-bellied marmot,XM_027921814.1,XP_027777615.1,,model,,default-seq
114637657,Cxcl16,C-X-C motif chemokine ligand 16,Grammomys surdaster,,XM_028785907.1,XP_028641740.1,,model,,default-seq
114687554,Cxcl16,C-X-C motif chemokine ligand 16,Peromyscus leucopus,white-footed mouse,XM_028862159.2,XP_028717992.1,,model,,default-seq
116077023,Cxcl16,C-X-C motif chemokine ligand 16,Mastomys coucha,southern multimammate mouse,XM_031351233.1,XP_031207093.1,,model,,default-seq
116909680,Cxcl16,C-X-C motif chemokine ligand 16,Rattus rattus,black rat,XM_032913339.1,XP_032769230.1,,model,,default-seq
117711941,Cxcl16,C-X-C motif chemokine ligand 16,Arvicanthis niloticus,Nile rat,XM_034507892.1,XP_034363783.1,,model,,default-seq
118590045,Cxcl16,C-X-C motif chemokine ligand 16,Onychomys torridus,southern grasshopper mouse,XM_036197843.1,XP_036053736.1,,model,,default-seq
119812203,Cxcl16,C-X-C motif chemokine ligand 16,Arvicola amphibius,Eurasian water vole,XM_038326676.1,XP_038182604.1,,model,,default-seq
121456727,Cxcl16,C-X-C motif chemokine ligand 16,Microtus oregoni,creeping vole,XM_041665144.1,XP_041521078.1,,model,,default-seq
122108636,Cxcl16,C-X-C motif chemokine ligand 16,Dipodomys spectabilis,banner-tailed kangaroo rat,XM_042680631.1,XP_042536565.1,,model,,default-seq
124079499,Cxcl16,C-X-C motif chemokine ligand 16,Marmota monax,woodchuck,XM_046425078.2,XP_046281034.1,,model,,default-seq
124981239,Cxcl16,C-X-C motif chemokine ligand 16,Sciurus carolinensis,gray squirrel,XM_047547482.1,XP_047403438.1,,model,,default-seq
125365305,Cxcl16,C-X-C motif chemokine ligand 16,Perognathus longimembris pacificus,Pacific pocket mouse,XM_048365303.1,XP_048221260.1,,model,,default-seq
125409474,Cxcl16,C-X-C motif chemokine ligand 16,Myodes glareolus,Bank vole,XM_048448528.1,XP_048304485.1,,model,,default-seq
126514003,Cxcl16,C-X-C motif chemokine ligand 16,Microtus fortis,reed vole,XM_050162654.1,XP_050018611.1,,model,,default-seq
127207957,Cxcl16,C-X-C motif chemokine ligand 16,Acomys russatus,golden spiny mouse,XM_051167298.1,XP_051023255.1,,model,,default-seq
127219008,Cxcl16,C-X-C motif chemokine ligand 16,Phodopus roborovskii,desert hamster,XM_051180156.1,XP_051036113.1,,model,,default-seq
127694291,Cxcl16,C-X-C motif chemokine ligand 16,Apodemus sylvaticus,European woodmouse,XM_052195818.1,XP_052051778.1,,model,,default-seq
128122023,Cxcl16,C-X-C motif chemokine ligand 16,Peromyscus californicus insignis,,XM_052757230.1,XP_052613190.1,,model,,default-seq
129666793,Cxcl16,C-X-C motif chemokine ligand 16,Psammomys obesus,fat sand rat,XM_055594066.1,XP_055450041.1,,model,,default-seq
130877673,Cxcl16,C-X-C motif chemokine ligand 16,Chionomys nivalis,European snow vole,XM_057775160.1,XP_057631143.1,,model,,default-seq
131917315,Cxcl16,C-X-C motif chemokine ligand 16,Peromyscus eremicus,cactus mouse,XM_059271060.1,XP_059127043.1,,model,,default-seq
