species	Residues	Charge	Tiny	Small	Aliphatic	Aromatic	Non_polar	Polar	Charged	Basic	Acidic	Group
Castor_canadensis	49	3.5	14	27	9	7	22	27	12	8	4	Mammals
Cavia_porcellus	48	4.5	18	25	10	5	20	28	13	9	4	Mammals
Cebus_imitator	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Ceratotherium_simum_simum	49	2.5	17	26	10	7	22	27	11	7	4	Mammals
Cercocebus_atys	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Cervus_canadensis	49	5.0	17	25	11	6	21	28	14	10	4	Mammals
Cervus_elaphus	49	5.0	17	25	11	6	21	28	14	10	4	Mammals
Charadrius_vociferus	50	6.0	16	23	11	3	18	32	14	10	4	Aves
Chelonia_mydas	50	6.0	14	23	10	4	21	29	14	10	4	Testudines
Chelonoidis_abingdonii	50	5.0	15	24	9	4	22	28	13	9	4	Testudines
Chinchilla_lanigera	49	4.5	20	26	7	7	19	30	13	9	4	Mammals
Chionomys_nivalis	49	3.5	19	25	10	6	21	28	12	8	4	Mammals
Chlorocebus_sabaeus	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Choloepus_didactylus	49	3.5	17	24	10	6	22	27	12	8	4	Mammals
Chrysemys_picta_bellii	50	6.0	14	22	10	4	21	29	14	10	4	Testudines
Chrysochloris_asiatica	48	5.0	15	22	10	7	21	27	14	10	4	Mammals
Colius_striatus	50	6.5	17	24	11	4	19	31	17	12	5	Aves
Colobus_angolensis_palliatus	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Condylura_cristata	48	6.5	16	23	7	6	19	29	13	10	3	Mammals
Cricetulus_griseus	49	3.5	19	26	10	5	21	28	12	8	4	Mammals
Crotalus_tigris	49	5.0	16	28	10	4	18	31	14	10	4	Lepidosauria
Cygnus_olor	50	5.5	15	24	8	6	18	32	14	10	4	Aves
Dasypus_novemcinctus	49	3.5	15	26	11	6	23	26	12	8	4	Mammals
Delphinapterus_leucas	49	4.0	18	26	11	5	22	27	12	8	4	Mammals
Delphinus_delphis	49	4.0	17	25	10	5	21	28	14	9	5	Mammals
Desmodus_rotundus	49	4.0	18	24	7	8	21	28	11	8	3	Mammals
Diceros_bicornis_minor	49	2.5	17	26	10	7	22	27	11	7	4	Mammals
Dipodomys_spectabilis	49	4.0	20	28	10	5	22	27	13	9	4	Mammals
Dromaius_novaehollandiae	50	6.0	16	25	8	5	19	31	14	10	4	Aves
Dromiciops_gliroides	78	6.0	27	41	21	8	40	38	15	11	4	Mammals
Echinops_telfairi	48	3.5	15	22	9	8	22	26	12	8	4	Mammals
Egretta_garzetta	50	6.0	16	23	10	4	18	32	14	10	4	Aves
Elephantulus_edwardii	49	4.5	17	26	10	5	21	28	13	9	4	Mammals
Elephas_maximus_indicus	49	3.5	15	23	11	7	23	26	12	8	4	Mammals
Enhydra_lutris_kenyoni	49	2.5	16	24	10	7	24	25	13	8	5	Mammals
Eptesicus_fuscus	49	3.0	19	26	10	4	22	27	11	7	4	Mammals
Equus_asinus	48	4.5	16	23	9	7	22	26	11	8	3	Mammals
Equus_caballus	48	4.5	16	23	9	7	22	26	11	8	3	Mammals
Equus_przewalskii	48	4.5	16	23	9	7	22	26	11	8	3	Mammals
Equus_quagga	48	4.5	16	23	9	7	22	26	11	8	3	Mammals
Erinaceus_europaeus	46	3.5	19	29	6	6	21	25	12	8	4	Mammals
Eublepharis_macularius	50	4.5	16	24	9	3	16	34	15	10	5	Lepidosauria
Euleptes_europaea	50	7.0	15	24	10	4	17	33	16	12	4	Lepidosauria
Eumetopias_jubatus	49	3.5	17	24	10	7	24	25	12	8	4	Mammals
Eurypyga_helias	50	6.5	16	22	10	5	18	32	15	11	4	Aves
Falco_biarmicus	50	6.0	16	23	10	5	19	31	14	10	4	Aves
Falco_cherrug	50	6.0	16	23	10	5	19	31	14	10	4	Aves
Falco_naumanni	50	6.0	16	23	10	5	19	31	14	10	4	Aves
Falco_peregrinus	50	6.0	17	24	9	5	18	32	14	10	4	Aves
Falco_rusticolus	50	6.0	16	23	10	5	19	31	14	10	4	Aves
Felis_catus	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Fukomys_damarensis	45	2.5	15	25	9	6	21	24	11	7	4	Mammals
Fulmarus_glacialis	47	6.0	14	21	10	4	18	29	14	10	4	Aves
Galeopterus_variegatus	49	3.5	15	26	10	7	22	27	12	8	4	Mammals
Gavia_stellata	50	7.0	15	22	10	4	19	31	15	11	4	Aves
Gekko_japonicus	50	6.5	16	23	11	3	19	31	15	11	4	Lepidosauria
Geotrypetes_seraphini	50	4.5	21	30	13	4	23	27	13	9	4	Amphibia
Globicephala_melas	49	4.0	17	26	9	5	21	28	14	9	5	Mammals
Gopherus_evgoodei	50	5.0	14	22	10	5	21	29	13	9	4	Testudines
Gopherus_flavomarginatus	50	5.0	14	23	10	5	21	29	13	9	4	Testudines
Gorilla_gorilla_gorilla	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Gracilinanus_agilis	44	6.5	17	24	10	6	21	23	11	9	2	Mammals
Grammomys_surdaster	49	5.0	18	26	9	5	19	30	14	10	4	Mammals
Grus_americana	49	6.0	14	22	11	3	18	31	14	10	4	Aves
Gymnogyps_californianus	50	6.0	16	23	10	4	18	32	14	10	4	Aves
Haliaeetus_albicilla	50	6.0	14	22	10	4	18	32	14	10	4	Aves
Haliaeetus_leucocephalus	50	6.0	14	22	10	4	18	32	14	10	4	Aves
Halichoerus_grypus	49	3.5	18	25	9	7	23	26	12	8	4	Mammals
Harpia_harpyja	50	6.0	15	22	10	4	18	32	14	10	4	Aves
Hemicordylus_capensis	50	2.0	12	21	9	6	20	30	15	9	6	Lepidosauria
Heterocephalus_glaber	46	4.5	14	23	6	5	20	26	13	9	4	Mammals
Heteronotia_binoei	50	5.5	16	22	10	4	19	31	18	12	6	Lepidosauria
Hippopotamus_amphibius_kiboko	49	5.5	14	24	11	7	22	27	14	10	4	Mammals
Hipposideros_armiger	49	3.5	19	25	10	6	22	27	12	8	4	Mammals
Homo_sapiens	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Hyaena_hyaena	49	4.0	18	23	8	8	22	27	13	9	4	Mammals
Hyla_sarda	47	2.5	15	24	10	5	20	27	13	8	5	Amphibia
Hylobates_moloch	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Ictidomys_tridecemlineatus	47	4.5	15	23	9	6	19	28	13	9	4	Mammals
Jaculus_jaculus	49	2.5	17	25	9	8	22	27	11	7	4	Mammals
Kogia_breviceps	49	3.0	18	25	9	6	22	27	13	8	5	Mammals
Lacerta_agilis	50	4.5	18	25	9	4	19	31	17	11	6	Lepidosauria
Lagenorhynchus_albirostris	49	4.0	17	25	10	5	21	28	14	9	5	Mammals
Lagenorhynchus_obliquidens	49	4.0	17	25	10	5	21	28	14	9	5	Mammals
Lemur_catta	49	3.5	15	24	10	8	22	27	12	8	4	Mammals
Leopardus_geoffroyi	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Leptonychotes_weddellii	49	3.5	17	24	10	7	25	24	12	8	4	Mammals
Leptosomus_discolor	50	5.0	15	24	10	5	20	30	13	9	4	Aves
Lipotes_vexillifer	49	4.0	18	25	10	5	22	27	12	8	4	Mammals
Lontra_canadensis	49	3.5	17	24	10	7	25	24	12	8	4	Mammals
Loxodonta_africana	49	3.5	15	23	11	7	23	26	12	8	4	Mammals
Lutra_lutra	49	3.5	17	24	10	7	25	24	12	8	4	Mammals
Lynx_canadensis	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Lynx_rufus	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Macaca_fascicularis	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Macaca_mulatta	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Macaca_nemestrina	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Macaca_thibetana_thibetana	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Malaclemys_terrapin_pileata	50	6.0	14	22	10	4	21	29	14	10	4	Testudines
Mandrillus_leucophaeus	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Manis_javanica	49	4.0	16	24	10	8	22	27	13	9	4	Mammals
Manis_pentadactyla	49	4.0	16	24	10	8	22	27	13	9	4	Mammals
Marmota_flaviventris	47	5.5	15	23	9	6	20	27	14	10	4	Mammals
Marmota_marmota_marmota	47	5.5	16	24	9	5	19	28	14	10	4	Mammals
Marmota_monax	47	5.5	16	24	9	5	19	28	14	10	4	Mammals
Mastomys_coucha	49	4.0	17	24	9	7	19	30	13	9	4	Mammals
Mauremys_mutica	50	5.0	15	23	10	4	21	29	13	9	4	Testudines
Mauremys_reevesii	50	5.0	15	23	10	4	21	29	13	9	4	Testudines
Meles_meles	49	3.5	18	26	10	7	24	25	12	8	4	Mammals
Meriones_unguiculatus	49	3.5	18	27	9	6	21	28	12	8	4	Mammals
Mesocricetus_auratus	49	3.5	18	26	10	5	21	28	12	8	4	Mammals
Mesoplodon_densirostris	49	4.0	18	25	10	6	23	26	12	8	4	Mammals
Microcebus_murinus	49	3.0	14	23	10	8	24	25	11	7	4	Mammals
Microtus_fortis	49	3.5	20	26	9	6	20	29	12	8	4	Mammals
Microtus_ochrogaster	49	3.5	20	26	9	6	20	29	12	8	4	Mammals
Microtus_oregoni	49	3.5	20	26	9	6	20	29	12	8	4	Mammals
Miniopterus_natalensis	49	3.5	19	23	9	6	21	28	10	7	3	Mammals
Mirounga_angustirostris	49	3.5	18	25	9	7	23	26	12	8	4	Mammals
Mirounga_leonina	49	3.5	18	25	9	7	23	26	12	8	4	Mammals
Molossus_molossus	49	4.0	17	23	11	5	23	26	12	8	4	Mammals
Monodelphis_domestica	49	7.5	20	25	11	6	22	27	12	10	2	Mammals
Monodon_monoceros	49	5.0	18	25	11	5	22	27	13	9	4	Mammals
Moschus_berezovskii	49	3.5	19	27	11	8	23	26	13	9	4	Mammals
Mus_caroli	49	4.0	18	26	10	6	19	30	13	9	4	Mammals
Mus_musculus	49	4.0	18	25	9	6	19	30	13	9	4	Mammals
Mus_pahari	49	4.5	18	24	9	7	19	30	14	10	4	Mammals
Mustela_erminea	49	3.5	18	25	9	7	24	25	12	8	4	Mammals
Mustela_lutreola	49	3.5	17	24	10	7	25	24	12	8	4	Mammals
Mustela_nigripes	49	3.5	17	24	10	7	25	24	12	8	4	Mammals
Mustela_putorius_furo	49	3.5	17	24	10	7	25	24	12	8	4	Mammals
Myotis_brandtii	49	3.0	17	25	9	6	23	26	11	7	4	Mammals
Myotis_daubentonii	49	3.0	17	25	9	6	23	26	11	7	4	Mammals
Myotis_davidii	49	3.0	17	25	9	6	23	26	11	7	4	Mammals
Myotis_lucifugus	49	3.0	18	25	9	6	23	26	11	7	4	Mammals
Myotis_myotis	49	3.0	17	25	9	6	23	26	11	7	4	Mammals
Nannospalax_galili	49	3.5	18	25	10	7	22	27	12	8	4	Mammals
Neofelis_nebulosa	49	3.5	17	25	11	7	24	25	12	8	4	Mammals
Neogale_vison	49	3.5	17	24	10	7	25	24	12	8	4	Mammals
Neomonachus_schauinslandi	49	3.5	17	24	10	7	24	25	12	8	4	Mammals
Neophocaena_asiaeorientalis_asiaeorientalis	49	4.5	18	26	11	5	21	28	13	9	4	Mammals
Nipponia_nippon	50	4.0	16	24	9	5	19	31	12	8	4	Aves
Nomascus_leucogenys	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Nothoprocta_perdicaria	48	6.0	15	22	8	4	18	30	14	10	4	Aves
Nyctereutes_procyonoides	49	3.5	14	22	11	8	25	24	12	8	4	Mammals
Nycticebus_coucang	49	3.5	14	23	10	8	22	27	12	8	4	Mammals
Ochotona_curzoniae	50	4.5	17	26	11	5	21	29	13	9	4	Mammals
Ochotona_princeps	50	4.5	17	26	11	5	22	28	13	9	4	Mammals
Odobenus_rosmarus_divergens	49	3.5	17	24	10	7	24	25	12	8	4	Mammals
Odocoileus_virginianus_texanus	49	5.0	17	26	11	6	21	28	14	10	4	Mammals
Onychomys_torridus	50	3.5	18	25	9	7	21	29	12	8	4	Mammals
Opisthocomus_hoazin	50	8.0	16	22	10	4	18	32	16	12	4	Aves
Orcinus_orca	49	4.0	17	25	10	5	21	28	14	9	5	Mammals
Ornithorhynchus_anatinus	50	2.5	15	24	11	7	19	31	13	8	5	Mammals
Orycteropus_afer_afer	49	3.5	15	24	11	7	23	26	12	8	4	Mammals
Oryctolagus_cuniculus	49	4.0	18	25	12	6	23	26	13	9	4	Mammals
Oryx_dammah	49	3.5	19	27	11	8	23	26	13	9	4	Mammals
Otolemur_garnettii	49	3.0	15	23	12	6	23	26	11	7	4	Mammals
Ovis_aries	49	3.5	19	26	10	8	23	26	13	9	4	Mammals
Oxyura_jamaicensis	50	5.5	14	23	8	7	18	32	14	10	4	Aves
Pan_paniscus	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Panthera_leo	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Panthera_onca	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Panthera_pardus	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Panthera_tigris	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Panthera_uncia	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Pan_troglodytes	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Papio_anubis	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Pelecanus_crispus	50	5.0	16	23	12	5	20	30	13	9	4	Aves
Pelodiscus_sinensis	50	6.0	14	20	8	6	19	31	15	11	4	Testudines
Perognathus_longimembris_pacificus	49	4.0	22	30	12	2	23	26	12	8	4	Mammals
Peromyscus_californicus_insignis	50	3.5	18	25	9	7	21	29	12	8	4	Mammals
Peromyscus_eremicus	50	4.0	17	25	9	7	20	30	13	9	4	Mammals
Peromyscus_leucopus	50	3.5	18	25	9	7	21	29	12	8	4	Mammals
Peromyscus_maniculatus_bairdii	50	3.5	18	25	9	7	21	29	12	8	4	Mammals
Phacochoerus_africanus	49	3.5	16	23	10	7	20	29	14	9	5	Mammals
Phaethon_lepturus	50	5.0	17	23	10	4	18	32	13	9	4	Aves
Phalacrocorax_carbo	50	6.0	16	23	9	5	19	31	14	10	4	Aves
Phascolarctos_cinereus	49	6.0	17	23	11	7	23	26	10	8	2	Mammals
Phoca_vitulina	49	3.5	18	24	8	8	23	26	12	8	4	Mammals
Phocoena_sinus	49	4.5	18	26	11	5	21	28	13	9	4	Mammals
Phodopus_roborovskii	49	3.5	18	25	10	5	21	28	12	8	4	Mammals
Phyllostomus_discolor	48	4.0	17	23	7	8	20	28	11	8	3	Mammals
Phyllostomus_hastatus	49	4.0	17	23	7	8	20	29	11	8	3	Mammals
Physeter_catodon	49	2.5	19	26	10	6	21	28	13	8	5	Mammals
Piliocolobus_tephrosceles	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Pipistrellus_kuhlii	49	3.0	19	25	10	5	21	28	11	7	4	Mammals
Podarcis_muralis	50	4.5	15	23	9	4	20	30	17	11	6	Lepidosauria
Podarcis_raffonei	50	4.5	16	23	10	3	20	30	17	11	6	Lepidosauria
Pogona_vitticeps	50	5.5	13	20	8	8	15	35	22	15	7	Lepidosauria
Pongo_abelii	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Pongo_pygmaeus	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Prionailurus_bengalensis	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Prionailurus_viverrinus	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Propithecus_coquereli	49	4.0	14	24	10	9	22	27	13	9	4	Mammals
Protobothrops_mucrosquamatus	49	5.0	16	28	10	4	18	31	14	10	4	Lepidosauria
Psammomys_obesus	49	3.5	18	27	9	6	21	28	12	8	4	Mammals
Pterocles_gutturalis	50	5.0	16	24	10	4	18	32	13	9	4	Aves
Pteronotus_parnellii_mesoamericanus	49	4.5	17	23	9	7	21	28	13	9	4	Mammals
Pteropus_giganteus	49	3.5	18	26	10	6	22	27	12	8	4	Mammals
Pteropus_vampyrus	49	3.5	18	26	10	6	22	27	12	8	4	Mammals
Puma_concolor	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Puma_yagouaroundi	49	4.0	17	25	11	8	24	25	13	9	4	Mammals
Pygoscelis_adeliae	50	5.0	16	24	10	5	19	31	13	9	4	Aves
Python_bivittatus	49	4.5	17	27	10	4	20	29	13	9	4	Lepidosauria
Rattus_norvegicus	49	4.5	18	24	9	5	18	31	13	9	4	Mammals
Rattus_rattus	49	4.5	18	24	9	5	18	31	13	9	4	Mammals
Rhinatrema_bivittatum	50	6.0	18	27	13	6	24	26	15	11	4	Amphibia
Rhinolophus_ferrumequinum	49	3.0	18	25	9	6	22	27	11	7	4	Mammals
Rhinopithecus_bieti	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Rhinopithecus_roxellana	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Rissa_tridactyla	50	7.0	15	23	10	4	18	32	15	11	4	Aves
Rousettus_aegyptiacus	49	5.0	17	25	10	6	20	29	14	10	4	Mammals
Saimiri_boliviensis_boliviensis	49	4.0	15	24	11	9	24	25	13	9	4	Mammals
Sapajus_apella	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Sceloporus_undulatus	50	4.0	14	21	10	6	19	31	17	11	6	Lepidosauria
Sciurus_carolinensis	47	5.5	16	24	9	6	18	29	14	10	4	Mammals
Sorex_araneus	47	4.0	17	23	9	5	19	28	12	8	4	Mammals
Sorex_fumeus	47	4.5	17	24	10	5	19	28	13	9	4	Mammals
Spea_bombifrons	47	5.0	13	20	9	5	19	28	14	10	4	Amphibia
Sphaerodactylus_townsendi	50	5.0	15	23	11	6	18	32	14	10	4	Lepidosauria
Struthio_camelus_australis	50	7.0	17	24	9	5	19	31	15	11	4	Aves
Sturnira_hondurensis	49	4.0	17	23	6	8	19	30	11	8	3	Mammals
Suncus_etruscus	53	5.0	18	27	7	9	23	30	16	11	5	Mammals
Suricata_suricatta	49	4.0	18	23	10	8	24	25	13	9	4	Mammals
Sus_scrofa	49	3.5	15	22	11	7	21	28	14	9	5	Mammals
Symphalangus_syndactylus	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Tachyglossus_aculeatus	50	3.0	15	23	11	6	20	30	13	8	5	Mammals
Talpa_occidentalis	48	3.5	17	25	8	7	21	27	12	8	4	Mammals
Tauraco_erythrolophus	50	6.0	15	25	10	4	18	32	14	10	4	Aves
Thamnophis_elegans	49	3.5	13	28	11	3	17	32	14	9	5	Lepidosauria
Thamnophis_sirtalis	49	3.5	13	28	11	3	17	32	14	9	5	Lepidosauria
Theropithecus_gelada	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Tinamus_guttatus	50	6.5	17	24	9	5	19	31	15	11	4	Aves
Trachemys_scripta_elegans	50	6.0	14	22	10	4	21	29	14	10	4	Testudines
Trachypithecus_francoisi	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Trichechus_manatus_latirostris	49	3.5	14	21	9	8	23	26	12	8	4	Mammals
Trichosurus_vulpecula	49	6.0	17	23	9	8	22	27	10	8	2	Mammals
Tupaia_chinensis	49	5.0	19	27	9	5	22	27	14	10	4	Mammals
Tursiops_truncatus	49	4.0	17	25	10	5	21	28	14	9	5	Mammals
Tyto_alba	50	6.0	16	24	11	4	20	30	14	10	4	Aves
Urocitellus_parryii	47	5.5	16	24	9	5	19	28	14	10	4	Mammals
Ursus_americanus	49	3.5	16	24	12	6	24	25	12	8	4	Mammals
Ursus_arctos	49	3.5	16	24	12	6	24	25	12	8	4	Mammals
Ursus_maritimus	49	3.5	16	24	12	6	24	25	12	8	4	Mammals
Varanus_komodoensis	50	5.0	13	21	10	5	20	30	16	11	5	Lepidosauria
Vicugna_pacos	43	2.5	15	24	9	6	21	22	11	7	4	Mammals
Vombatus_ursinus	49	6.0	17	23	13	7	25	24	10	8	2	Mammals
Vulpes_lagopus	49	3.5	14	22	11	8	25	24	12	8	4	Mammals
Vulpes_vulpes	49	3.5	14	22	11	8	25	24	12	8	4	Mammals
Zalophus_californianus	49	3.5	17	24	10	7	24	25	12	8	4	Mammals
Zootoca_vivipara	50	4.5	17	25	9	3	19	31	17	11	6	Lepidosauria
