Group	test	back	RELAX_pval	RELAX_kval	aBSREL_pval	BUSTED_pval
Amphibia	Xenopus_laevis	`Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Node7,Node5,Xenopus_tropicalis,Node10,Node4,Bombina_bombina,Node3`	0.0000	0.23	NA	0.5000
Amphibia	Xenopus_tropicalis	`Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Node7,Node5,Xenopus_laevis,Node10,Node4,Bombina_bombina,Node3`	0.0294	0.22	0.01658	0.5000
Amphibia	Bombina_bombina	`Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Node7,Node5,Xenopus_laevis,Xenopus_tropicalis,Node10,Node4,Node3`	1.0000	0.28	NA	0.5000
Amphibia	Bufo_gargarizans	`Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Hyla_sarda,Node7,Node5,Xenopus_laevis,Xenopus_tropicalis,Node10,Node4,Bombina_bombina,Node3`	0.6193	11.39	NA	0.5000
Amphibia	Geotrypetes_seraphini	`Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Node7,Node5,Xenopus_laevis,Xenopus_tropicalis,Node10,Node4,Bombina_bombina,Node3`	0.1502	0.19	NA	0.5000
Amphibia	Hyla_sarda	`Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Node7,Node5,Xenopus_laevis,Xenopus_tropicalis,Node10,Node4,Bombina_bombina,Node3`	0.0186	3.09	0.00106	0.0313
Amphibia	Rhinatrema_bivittatum	`Geotrypetes_seraphini,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Node7,Node5,Xenopus_laevis,Xenopus_tropicalis,Node10,Node4,Bombina_bombina,Node3`	0.1428	2.50	NA	0.5000
Amphibia	Spea_bombifrons	`Geotrypetes_seraphini,Rhinatrema_bivittatum,Bufo_gargarizans,Hyla_sarda,Node7,Node5,Xenopus_laevis,Xenopus_tropicalis,Node10,Node4,Bombina_bombina,Node3`	0.3194	0.73	NA	0.5000
Artiodactyla	Balaenoptera_acutorostrata	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.8369	0.00	NA	0.4549
Artiodactyla	Balaenoptera_musculus	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.2405	21.96	NA	0.4926
Artiodactyla	Bison_bison	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.9600	0.00	NA	0.5000
Artiodactyla	Bos_indicus	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.5443	30.85	NA	0.5000
Artiodactyla	Bos_indicus	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.5443	30.85	NA	0.5000
Artiodactyla	Bos_mutus	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.1026	0.00	NA	0.2358
Artiodactyla	Bos_taurus	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.5825	0.00	NA	0.4726
Artiodactyla	Bubalus_bubalis	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.5984	0.00	NA	0.5000
Artiodactyla	Bubalus_carabanensis	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	1.0000	0.98	NA	0.5000
Artiodactyla	Budorcas_taxicolor	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	1.0000	0.00	NA	0.5000
Artiodactyla	Camelus_bactrianus	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.9756	50.00	NA	0.4715
Artiodactyla	Camelus_dromedarius	`Vicugna_pacos,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.1054	50.00	NA	0.5000
Artiodactyla	Camelus_ferus	`Vicugna_pacos,Camelus_dromedarius,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	1.0000	0.89	NA	0.5000
Artiodactyla	Capra_hircus	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.4253	50.00	NA	0.5000
Artiodactyla	Cervus_canadensis	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.9684	0.00	NA	0.5000
Artiodactyla	Cervus_elaphus	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.2517	50.00	NA	0.5000
Artiodactyla	Delphinapterus_leucas	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.2924	23.74	NA	0.5000
Artiodactyla	Globicephala_melas	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.0257	18.31	NA	0.1761
Artiodactyla	Hippopotamus_amphibius	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`			NA	0.5000
Artiodactyla	Lagenorhynchus_obliquidens	`Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Node4,Node2,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Node17,Neophocaena_asiaeorientalis,Phocoena_sinus,Node20,Node16,Orcinus_orca,Globicephala_melas,Tursiops_truncatus,Node27,Node25,Node23,Node15,Node13,Node11,Balaenoptera_musculus,Balaenoptera_acutorostrata,Node30,Node10,Hippopotamus_amphibius,Node9,Moschus_berezovskii,Bos_mutus,Bison_bison,Node41,Bos_taurus,Bos_indicus,Node44,Node40,Bubalus_bubalis,Bubalus_carabanensis,Node47,Node39,Oryx_dammah,Capra_hircus,Ovis_aries,Node53,Budorcas_taxicolor,Node52,Node50,Node38,Node36,Cervus_canadensis,Cervus_elaphus,Node59,Axis_porcinus,Node58,Odocoileus_virginianus,Rangifer_tarandus,Node63,Node57,Node35,Giraffa_camelopardalis,Node34,Node8,Phacochoerus_africanus,Sus_scrofa,Node68,Catagonus_wagneri,Node67,Node7`	0.9508	39.66	NA	0.4963
